rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,21,14,1327,14.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,10,9,805,8.9,0,2,2,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches
3,Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,5,2,185,2.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,16,15,1315,14.6,13,2,15,11,2,2,3,0,0.89,0.14,1.03,0.75,0.89,Matches
5,Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,15,4,426,4.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,18,16,1369,15.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,6,6,512,5.7,0,1,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches
8,Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,19,15,1180,13.1,2,1,3,2,0,1,2,1,0.15,0.08,0.23,0.15,0.23,Matches
9,Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,17,17,1514,16.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,16,16,1416,15.7,2,0,2,2,0,0,4,0,0.13,0.00,0.13,0.13,0.13,Matches
11,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,27,22,1719,19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches
12,Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,5,3,173,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,25,10,1017,11.3,1,2,3,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,Matches
15,Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,29,21,1632,18.1,6,1,7,6,0,0,3,1,0.33,0.06,0.39,0.33,0.39,Matches
