rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,14.7,1,0,0,11,15,0,18,5,10,,,0,Matches
2,Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,8.9,2,0,0,7,5,1,18,9,9,,,0,Matches
3,Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,2.1,2,1,1,4,4,1,3,3,0,,,0,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,14.6,3,0,0,13,16,5,3,4,6,,,0,Matches
5,Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,4.7,2,1,0,7,2,0,1,8,5,,,0,Matches
6,Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,15.2,4,0,0,10,10,5,41,17,11,,,0,Matches
7,Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,5.7,2,0,0,6,5,0,13,6,6,,,0,Matches
8,Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,13.1,2,1,0,19,24,5,1,2,12,,,0,Matches
9,Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,16.8,2,0,0,24,8,0,0,28,29,,,0,Matches
10,Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,15.7,4,0,0,17,19,0,0,32,11,,,0,Matches
11,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,19.1,3,0,0,27,35,2,57,13,18,,,0,Matches
12,Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,1.9,0,0,0,7,3,1,3,2,3,,,0,Matches
13,Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,0.5,0,0,0,1,0,0,0,3,0,,,0,Matches
14,Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,11.3,1,0,0,9,19,0,22,5,6,,,0,Matches
15,Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,18.1,3,1,0,28,22,11,41,6,8,,,0,Matches
