rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
39,Nicholas Anwan,ng NGA,MF,Fatih Karagümrük,21,2001,5.6,,,,,,,,,,,,0,,,,,,Matches
40,Aaron Appindangoyé,ga GAB,DF,Sivasspor,30,1992,14.6,,,,,,,,,,,,0,,,,,,Matches
41,Willian Arão,br BRA,MF,Fenerbahçe,29,1992,25.5,,,,,,,,,,,,4,,,,,,Matches
42,Alp Arda,,GK,İstanbulspor,27,1995,2.0,,,,,,,,,,,,0,,,,,,Matches
43,Ramón Arias,uy URU,DF,Giresunspor,30,1992,28.8,,,,,,,,,,,,0,,,,,,Matches
44,Batuhan Arici,,DF,Ümraniyespor,19,2003,1.1,,,,,,,,,,,,0,,,,,,Matches
45,Gboly Ariyibi,us USA,MF,Ankaragücü,27,1995,3.1,,,,,,,,,,,,0,,,,,,Matches
46,Hakan Arslan,tr TUR,MF,Sivasspor,34,1988,15.0,,,,,,,,,,,,0,,,,,,Matches
47,Muhammet Arslantaş,tr TUR,FW,Başakşehir,21,2001,0.3,,,,,,,,,,,,0,,,,,,Matches
48,Ömürcan Artan,,"DF,MF",Gaziantep FK,23,1999,3.2,,,,,,,,,,,,1,,,,,,Matches
49,Serkan Asan,tr TUR,DF,Trabzonspor,23,1999,1.1,,,,,,,,,,,,0,,,,,,Matches
50,Britt Assombalonga,cd COD,FW,Adana Demirspor,29,1992,4.5,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
51,Kerem Atakan Kesgin,tr TUR,MF,Beşiktaş,21,2000,0.5,,,,,,,,,,,,0,,,,,,Matches
52,Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,21,2000,1.7,,,,,,,,,,,,0,,,,,,Matches
53,Onur Atasayar,,DF,Ümraniyespor,27,1995,16.4,,,,,,,,,,,,1,,,,,,Matches
54,Christian Atsu,gh GHA,"FW,MF",Hatayspor,30,1992,0.5,,,,,,,,,,,,0,,,,,,Matches
55,Durel Avounou,cg CGO,MF,Ümraniyespor,24,1997,19.3,,,,,,,,,,,,2,,,,,,Matches
56,Abdullah Aydın,,MF,İstanbulspor,22,2000,0.2,,,,,,,,,,,,0,,,,,,Matches
57,Oğuz Aydın,tr TUR,"MF,FW",Alanyaspor,21,2000,13.8,,,,,,,,,,,,1,,,,,,Matches
58,Taylan Aydın,tr TUR,DF,Kasımpaşa,16,2006,0.1,,,,,,,,,,,,0,,,,,,Matches
59,Soner Aydoğdu,tr TUR,MF,Antalyaspor,31,1991,5.6,,,,,,,,,,,,1,,,,,,Matches
60,Berkay Aydoğmuş,,MF,Başakşehir,18,2004,0.7,,,,,,,,,,,,0,,,,,,Matches
61,Kaan Ayhan,tr TUR,DF,Galatasaray,27,1994,1.3,,,,,,,,,,,,0,,,,,,Matches
62,Onur Ayık,tr TUR,"FW,MF",Ümraniyespor,32,1990,16.5,,,,,,,,,,,,0,,,,,,Matches
63,Serdar Aziz,tr TUR,DF,Fenerbahçe,31,1990,10.8,,,,,,,,,,,,1,,,,,,Matches
64,Mahamadou Ba,ml MLI,MF,İstanbulspor,22,1999,12.7,,,,,,,,,,,,0,,,,,,Matches
65,Mame Baba Thiam,sn SEN,"FW,MF",Kayserispor,29,1992,21.5,,,,,,,,,,,,3,,,,,,Matches
66,Volkan Babacan,tr TUR,GK,Başakşehir,33,1988,21.0,,,,,,,,,,,,0,,,,,,Matches
67,Onurhan Babuscu,at AUT,MF,Gaziantep FK,18,2003,0.3,,,,,,,,,,,,0,,,,,,Matches
68,Kağan Bağış,,MF,İstanbulspor,24,1998,1.6,,,,,,,,,,,,0,,,,,,Matches
69,Stéphane Bahoken,cm CMR,FW,Kasımpaşa,30,1992,17.4,,,,,,,,,,,,2,,,,,,Matches
70,Riad Bajić,ba BIH,FW,Giresunspor,28,1994,31.9,,,,,,,,,,,,2,,,,,,Matches
71,Anastasios Bakasetas,gr GRE,MF,Trabzonspor,29,1993,23.3,,,,,,,,,,,,5,,,,,,Matches
72,Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,22,2000,31.2,,,,,,,,,,,,3,,,,,,Matches
73,Jure Balkovec,si SVN,DF,Alanyaspor,27,1994,21.2,,,,,,,,,,,,1,,,,,,Matches
74,Mario Balotelli,it ITA,FW,Adana Demirspor,31,1990,0.8,,,,,,,,,,,,0,,,,,,Matches
75,Rayyan Baniya,,DF,Fatih Karagümrük,23,1999,25.0,,,,,,,,,,,,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
