wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
1,Fri,2022-08-05,21:00 (20:00),İstanbulspor,0–2,Trabzonspor,,Necmi Kadıoğlu Stadyumu,Arda Kardeşler,Match Report,
1,Sat,2022-08-06,19:15 (18:15),Sivasspor,1–1,Gaziantep FK,,Yeni 4 Eylül Stadyumu,Ali Şansalan,Match Report,
1,Sat,2022-08-06,21:45 (20:45),Beşiktaş,1–0,Kayserispor,,Vodafone Arena,Umit Öztürk,Match Report,
1,Sun,2022-08-07,19:15 (18:15),Fatih Karagümrük,2–4,Alanyaspor,,Atatürk Olimpiyat Stadı,Zorbay Küçük,Match Report,
1,Sun,2022-08-07,19:15 (18:15),Giresunspor,2–3,Adana Demirspor,,Çotanak Stadyumu,Volkan Bayarslan,Match Report,
1,Sun,2022-08-07,21:45 (20:45),Antalyaspor,0–1,Galatasaray,,Corendon Airlines Park,Atilla Karaoğlan,Match Report,
1,Mon,2022-08-08,19:15 (18:15),Başakşehir,4–0,Kasımpaşa,,Başakşehir Fatih Terim Stadium,Ali Palabıyık,Match Report,
1,Mon,2022-08-08,21:45 (20:45),Ankaragücü,0–0,Konyaspor,,Eryaman Stadyumu,Bahattin Şimşek,Match Report,
1,Mon,2022-08-08,21:45 (20:45),Fenerbahçe,3–3,Ümraniyespor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Yaşar Kemal Uğurlu,Match Report,
2,Fri,2022-08-12,21:00 (20:00),Trabzonspor,1–0,Hatayspor,,Şenol Güneş Stadyumu,Abdulkadir Bitigen,Match Report,
2,Sat,2022-08-13,19:15 (18:15),Kayserispor,1–0,İstanbulspor,,Kadir Has Şehir Stadı,Suat Arslanboga,Match Report,
2,Sat,2022-08-13,21:45 (20:45),Adana Demirspor,3–0,Sivasspor,,Yeni Adana Stadyumu,Mert Güzenge,Match Report,
2,Sat,2022-08-13,21:45 (20:45),Galatasaray,0–1,Giresunspor,45484,Ali Sami Yen Stadyumu,Kadir Sağlam,Match Report,
2,Sun,2022-08-14,19:15 (18:15),Gaziantep FK,1–0,Ankaragücü,,Kalyon Arena,Mustafa Kürşad Filiz,Match Report,
2,Sun,2022-08-14,19:15 (18:15),Ümraniyespor,0–1,Antalyaspor,,Ümraniye Hekimbaşı Şehir Stadyumu,Çağdaş Altay,Match Report,
2,Sun,2022-08-14,21:45 (20:45),Alanyaspor,3–3,Beşiktaş,,Kırbıyık Holding Stadyumu,Yasin Kol,Match Report,
2,Mon,2022-08-15,19:15 (18:15),Konyaspor,0–0,Başakşehir,,Konya Büyükşehir Stadı,Sarper Barış Saka,Match Report,
2,Mon,2022-08-15,21:45 (20:45),Kasımpaşa,0–6,Fenerbahçe,,Recep Tayyip Erdoğan Stadyumu,Mete Kalkavan,Match Report,
3,Fri,2022-08-19,21:00 (20:00),Ümraniyespor,0–1,Galatasaray,,Ümraniye Hekimbaşı Şehir Stadyumu,Ali Şansalan,Match Report,
3,Sat,2022-08-20,19:15 (18:15),Giresunspor,1–0,Kasımpaşa,,Çotanak Stadyumu,Bahattin Şimşek,Match Report,
3,Sat,2022-08-20,19:15 (18:15),Hatayspor,1–2,Gaziantep FK,,Yeni Hatay Stadyumu,Atilla Karaoğlan,Match Report,
3,Sat,2022-08-20,21:45 (20:45),Antalyaspor,5–2,Trabzonspor,,Corendon Airlines Park,Volkan Bayarslan,Match Report,
3,Sun,2022-08-21,19:15 (18:15),Başakşehir,2–0,Kayserispor,,Başakşehir Fatih Terim Stadium,Yaşar Kemal Uğurlu,Match Report,
3,Sun,2022-08-21,21:45 (20:45),Beşiktaş,4–1,Fatih Karagümrük,,Vodafone Arena,Arda Kardeşler,Match Report,
3,Mon,2022-08-22,19:15 (18:15),Sivasspor,1–1,Alanyaspor,,Yeni 4 Eylül Stadyumu,Umit Öztürk,Match Report,
3,Mon,2022-08-22,19:15 (18:15),İstanbulspor,0–4,Konyaspor,,Necmi Kadıoğlu Stadyumu,Burak Şeker,Match Report,
3,Mon,2022-08-22,21:45 (20:45),Fenerbahçe,4–2,Adana Demirspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Abdulkadir Bitigen,Match Report,
4,Fri,2022-08-26,21:00 (20:00),Gaziantep FK,5–2,Antalyaspor,,Kalyon Arena,Suat Arslanboga,Match Report,
4,Sat,2022-08-27,19:15 (18:15),Fatih Karagümrük,4–1,Ankaragücü,,Atatürk Olimpiyat Stadı,Çağdaş Altay,Match Report,
4,Sat,2022-08-27,21:45 (20:45),Alanyaspor,0–1,İstanbulspor,,Kırbıyık Holding Stadyumu,Mustafa Kürşad Filiz,Match Report,
4,Sat,2022-08-27,21:45 (20:45),Adana Demirspor,1–0,Ümraniyespor,,Yeni Adana Stadyumu,Kadir Sağlam,Match Report,
4,Sun,2022-08-28,19:15 (18:15),Kayserispor,3–0,Giresunspor,,Kadir Has Şehir Stadı,Sarper Barış Saka,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sun,2022-08-28,19:15 (18:15),Kasımpaşa,1–0,Hatayspor,,Recep Tayyip Erdoğan Stadyumu,Mert Güzenge,Match Report,
4,Sun,2022-08-28,21:45 (20:45),Trabzonspor,0–0,Galatasaray,,Şenol Güneş Stadyumu,Ali Palabıyık,Match Report,
4,Mon,2022-08-29,19:15 (18:15),Konyaspor,1–0,Fenerbahçe,,Konya Büyükşehir Stadı,Arda Kardeşler,Match Report,
4,Mon,2022-08-29,21:45 (20:45),Beşiktaş,3–1,Sivasspor,,Vodafone Arena,Volkan Bayarslan,Match Report,
5,Fri,2022-09-02,21:00 (20:00),Ümraniyespor,0–1,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Arda Kardeşler,Match Report,
