rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,27,1994,27,27,2387,26.5,1,2,3,1,0,0,9,1,0.4,0.4,0.6,0.9,10,73,6,0.04,0.08,0.11,0.04,0.11,0.01,0.02,0.03,0.01,0.03,Matches
2,Giorgi Aburjania,ge GEO,MF,Gil Vicente FC,26,1995,26,7,774,8.6,2,1,3,2,0,0,8,1,0.8,0.8,1.4,2.2,10,51,12,0.23,0.12,0.35,0.23,0.35,0.10,0.16,0.26,0.10,0.26,Matches
3,Antonio Adán,es ESP,GK,Sporting CP,34,1987,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,João Afonso Crispim,br BRA,MF,Gil Vicente FC,26,1995,4,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,João Afonso,pt POR,DF,Santa Clara,31,1990,15,12,1119,12.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
6,Lucas Áfrico,br BRA,DF,Estoril,26,1995,11,11,967,10.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,7,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
7,Salvador Agra,pt POR,"FW,MF",Tondela,29,1991,32,31,2608,29.0,6,3,9,5,1,1,5,0,6.6,5.8,5.1,11.0,65,79,206,0.21,0.10,0.31,0.17,0.28,0.23,0.18,0.41,0.20,0.38,Matches
8,Mohamed Aidara,ci CIV,DF,Vizela,24,1996,18,14,1350,15.0,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,1,9,1,0.07,0.00,0.07,0.07,0.07,0.08,0.00,0.08,0.08,0.08,Matches
9,Chima Akas,ng NGA,DF,B-SAD,27,1994,25,21,1751,19.5,1,1,2,1,0,0,10,0,0.5,0.5,1.3,1.7,7,45,38,0.05,0.05,0.10,0.05,0.10,0.02,0.06,0.09,0.02,0.09,Matches
10,Alex,br BRA,DF,Famalicão,22,1999,19,17,1477,16.4,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.8,8,34,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches
11,Ali Alipour,ir IRN,FW,Marítimo,25,1995,34,16,1797,20.0,7,1,8,6,1,1,4,0,7.2,6.4,1.3,7.7,20,23,113,0.35,0.05,0.40,0.30,0.35,0.36,0.06,0.42,0.32,0.38,Matches
12,Allano,br BRA,"FW,MF",Santa Clara,26,1995,19,14,1092,12.1,2,4,6,0,2,2,7,2,2.8,1.2,2.0,3.2,33,41,87,0.16,0.33,0.49,0.00,0.33,0.23,0.17,0.40,0.10,0.27,Matches
13,André Almeida,pt POR,DF,Benfica,30,1990,15,9,805,8.9,0,0,0,0,0,0,3,1,0.4,0.4,1.2,1.6,21,57,58,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.18,0.04,0.18,Matches
14,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Vitória,21,2000,31,20,1819,20.2,0,0,0,0,0,1,5,0,1.4,1.3,1.7,3.0,60,130,53,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.06,0.15,Matches
15,Baptiste Aloé,fr FRA,DF,Arouca,27,1994,1,1,67,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
16,Omri Altman,il ISR,MF,Arouca,27,1994,5,1,137,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0,5,5,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.38,0.24,0.38,Matches
17,Alejandro Alvarado Jr.,us USA,"MF,FW",Vizela,18,2003,4,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Marcelo Alves,br BRA,DF,Tondela,23,1998,9,9,725,8.1,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
19,Ricardo Miguel Martins Alves,pt POR,"DF,MF",Tondela,30,1991,17,8,827,9.2,0,0,0,0,0,0,5,0,1.0,1.0,0.1,1.1,2,15,4,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
20,Pedro Amador,pt POR,"MF,DF",Moreirense,22,1998,20,13,1200,13.3,0,3,3,0,0,0,3,0,0.8,0.8,2.0,2.9,20,24,56,0.00,0.23,0.23,0.00,0.23,0.06,0.15,0.21,0.06,0.21,Matches
