rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
564,Sait Tlaxcalteco,mx MEX,"MF,FW",Toluca,20,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
565,Iván Tona,mx MEX,MF,Tijuana,23,2000,5.4,0,16,3,18.8,2.98,0.56,0.00,0.00,25.6,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
566,Alan Torres,mx MEX,MF,Guadalajara,23,2000,2.5,0,1,1,100.0,0.39,0.39,0.00,0.00,34.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
567,Félix Torres Caicedo,ec ECU,DF,Santos,26,1997,15.1,5,17,6,35.3,1.12,0.40,0.29,0.83,9.7,0,0,0,2.5,2.5,0.15,+2.5,+2.5,Matches
568,Erick Torres,mx MEX,"MF,FW",León,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
569,Jairo Torres,mx MEX,FW,FC Juárez,23,2000,3.3,0,6,0,0.0,1.80,0.00,0.00,,18.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
570,Jonathan Torres,ar ARG,MF,Querétaro,26,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
571,Christopher Trejo,mx MEX,"FW,MF",Atlas,23,1999,4.5,0,13,4,30.8,2.89,0.89,0.00,0.00,15.6,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
572,Santiago Trigos,mx MEX,MF,UNAM,21,2002,6.3,0,7,4,57.1,1.11,0.63,0.00,0.00,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
573,Ezequiel Unsain,ar ARG,GK,Necaxa,28,1995,24.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
574,Héctor Uribe,mx MEX,"MF,DF",León,19,2004,1.6,0,2,1,50.0,1.29,0.64,0.00,0.00,15.3,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
575,Diego Urtiaga,mx MEX,GK,Atlético,24,1998,10.0,0,1,0,0.0,0.10,0.00,0.00,,11.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
