squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,33,27.3,55.3,34,374,3060,34.0,67,51,118,62,5,7,63,3,62.6,57.7,48.1,105.8,680,1531,1.97,1.5,3.47,1.82,3.32,1.84,1.41,3.26,1.7,3.11
Atlas,30,27.9,50.7,34,374,3060,34.0,35,23,58,33,2,3,91,12,40.8,38.3,28.1,66.4,459,1119,1.03,0.68,1.71,0.97,1.65,1.2,0.83,2.02,1.13,1.95
Atlético,32,28.0,53.1,34,374,3060,34.0,54,34,88,49,5,7,78,5,42.5,37.0,27.4,64.3,586,1364,1.59,1.0,2.59,1.44,2.44,1.25,0.8,2.05,1.09,1.89
Cruz Azul,36,26.6,57.6,34,374,3060,34.0,43,30,73,38,5,7,85,4,52.8,47.3,35.4,82.7,628,1477,1.26,0.88,2.15,1.12,2.0,1.55,1.04,2.59,1.39,2.43
FC Juárez,41,28.0,47.9,34,374,3060,34.0,42,30,72,36,6,6,88,4,35.6,31.1,24.2,55.3,549,1184,1.24,0.88,2.12,1.06,1.94,1.05,0.71,1.76,0.91,1.63
Guadalajara,35,25.8,50.7,34,374,3060,34.0,44,27,71,36,8,10,87,5,43.8,36.0,28.1,64.0,630,1437,1.29,0.79,2.09,1.06,1.85,1.29,0.83,2.11,1.06,1.88
León,33,28.3,51.7,34,374,3060,34.0,44,31,75,40,4,4,62,8,47.5,44.4,34.2,78.6,590,1289,1.29,0.91,2.21,1.18,2.09,1.4,1.01,2.4,1.3,2.31
Mazatlán,36,27.0,48.1,34,374,3060,34.0,45,31,76,43,2,4,74,8,45.3,42.2,32.9,75.1,540,1228,1.32,0.91,2.24,1.26,2.18,1.33,0.97,2.3,1.24,2.21
Monterrey,37,28.1,53.9,34,374,3060,34.0,58,47,105,55,3,4,67,5,47.0,43.8,34.0,77.8,556,1671,1.71,1.38,3.09,1.62,3.0,1.38,1.0,2.38,1.29,2.29
Necaxa,36,25.1,37.5,34,374,3060,34.0,48,37,85,45,3,4,92,6,38.0,34.8,28.7,63.5,384,938,1.41,1.09,2.5,1.32,2.41,1.12,0.84,1.96,1.02,1.87
Pachuca,42,24.8,49.7,34,374,3060,34.0,49,37,86,47,2,4,87,2,48.5,45.4,36.9,82.2,673,1421,1.44,1.09,2.53,1.38,2.47,1.43,1.08,2.51,1.33,2.42
Puebla,31,29.0,48.9,34,374,3060,34.0,40,28,68,37,3,3,83,4,37.9,35.5,27.6,63.1,546,1106,1.18,0.82,2.0,1.09,1.91,1.11,0.81,1.93,1.04,1.86
Querétaro,36,28.8,37.5,34,374,3060,34.0,38,27,65,34,4,5,100,9,38.3,34.4,26.4,60.7,366,876,1.12,0.79,1.91,1.0,1.79,1.13,0.78,1.9,1.01,1.79
Santos,37,25.3,47.1,34,374,3060,34.0,45,32,77,40,5,6,82,6,44.6,40.0,33.0,73.0,498,1155,1.32,0.94,2.26,1.18,2.12,1.31,0.97,2.28,1.18,2.15
Tijuana,34,27.0,47.9,34,374,3060,34.0,43,23,66,36,7,8,79,4,41.4,35.4,26.5,61.9,575,1369,1.26,0.68,1.94,1.06,1.74,1.22,0.78,2.0,1.04,1.82
Toluca,30,27.0,56.8,34,374,3060,34.0,60,42,102,51,9,11,77,6,55.5,47.0,37.6,84.6,634,1516,1.76,1.24,3.0,1.5,2.74,1.63,1.11,2.74,1.38,2.49
UANL,31,29.8,56.0,34,374,3060,34.0,66,50,116,60,6,7,75,3,51.1,45.7,36.6,82.3,597,1570,1.94,1.47,3.41,1.76,3.24,1.5,1.08,2.58,1.34,2.42
UNAM,32,27.2,49.7,34,374,3060,34.0,52,34,86,44,8,8,98,4,48.7,42.4,32.4,74.8,589,1276,1.53,1.0,2.53,1.29,2.29,1.43,0.95,2.38,1.25,2.2
