rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,América,34,22,9,3,67,26,41,75,2.21,62.6,31.3,31.2,0.92,45115,Julián Quiñones - 12,Luis Ángel Malagón,
2,Monterrey,34,19,8,7,59,34,25,65,1.91,47.0,34.7,12.3,0.36,41409,Sergio Canales - 10,Esteban Andrada,
3,UANL,34,17,10,7,66,41,25,61,1.79,51.1,39.5,11.6,0.34,39738,André-Pierre Gignac - 14,Nahuel Guzmán,
4,Guadalajara,34,17,7,10,46,39,7,58,1.71,43.8,39.1,4.8,0.14,35493,Roberto Alvarado - 11,José Rangel Aguilar,
5,UNAM,34,15,10,9,54,40,14,55,1.62,48.7,39.9,8.7,0.26,26468,César Huerta - 9,Julio José González,
6,Toluca,34,14,11,9,61,42,19,53,1.56,55.5,43.8,11.7,0.34,24751,Tiago Volpi - 9,Tiago Volpi,
7,Pachuca,34,14,9,11,50,54,-4,51,1.5,48.5,47.4,1.1,0.03,13517,Erick Sánchez - 9,Carlos Moreno,
8,Cruz Azul,34,15,5,14,44,43,1,50,1.47,52.8,40.1,12.7,0.37,23886,Uriel Antuna - 13,Kevin Mier,
9,León,34,13,8,13,46,47,-1,47,1.38,47.5,42.8,4.7,0.14,22331,Federico Viñas - 14,Rodolfo Cota,
10,Querétaro,34,11,10,13,40,50,-10,43,1.26,38.3,51.7,-13.4,-0.39,14547,Pablo Barrera - 7,Guillermo Allison,
11,Necaxa,34,10,12,12,48,56,-8,42,1.24,38.0,46.7,-8.7,-0.26,13881,Diber Cambindo - 8,Ezequiel Unsain,
12,Atlético,34,12,3,19,56,61,-5,39,1.15,42.5,50.4,-7.9,-0.23,16675,Léo Bonatini - 9,Andrés Sánchez,
13,Mazatlán,34,10,8,16,46,59,-13,38,1.12,45.3,52.8,-7.5,-0.22,11587,Luis Amarilla - 11,Hugo González Durán,
14,Santos,34,11,5,18,46,62,-16,38,1.12,44.6,55.3,-10.8,-0.32,13640,Harold Preciado - 15,Carlos Acevedo,
15,Tijuana,34,8,10,16,44,56,-12,34,1.0,41.4,49.0,-7.6,-0.22,21446,Carlos González Espínola - 13,José Antonio Rodríguez,
16,FC Juárez,34,9,7,18,43,60,-17,34,1.0,35.6,48.3,-12.7,-0.37,11358,"Avilés Hurtado, Aitor García - 8",Alfredo Talavera,
17,Atlas,34,7,10,17,35,55,-20,31,0.91,40.8,47.1,-6.3,-0.19,17946,Eduardo Aguirre - 7,Camilo Vargas,
18,Puebla,34,8,6,20,42,68,-26,30,0.88,37.9,62.0,-24.1,-0.71,16345,Guillermo Martínez Ayala - 10,Jesús Rodríguez,
