rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,31,1992,2.3,,,,,,,,,,,,,,,,,,,,,Matches
2,Mehdi Abeid,dz ALG,"MF,FW",Başakşehir,30,1992,8.9,,,,,,,,,,,,,,,,,,,,,Matches
3,Pape Abou Cissé,sn SEN,DF,Adana Demirspor,27,1995,8.0,,,,,,,,,,,,,,,,,,,,,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,31,1992,11.9,,,,,,,,,,,,,,,,,,,,,Matches
5,Giorgi Aburjania,ge GEO,MF,Hatayspor,28,1995,13.9,,,,,,,,,,,,,,,,,,,,,Matches
6,Yaw Ackah,gh GHA,MF,Kayserispor,24,1999,9.3,,,,,,,,,,,,,,,,,,,,,Matches
7,Bryan Acosta,hn HON,MF,Gaziantep FK,29,1993,0.4,,,,,,,,,,,,,,,,,,,,,Matches
8,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,27,1996,21.1,,,,,,,,,,,,,,,,,,,,,Matches
9,Albian Ajeti,ch SUI,FW,Gaziantep FK,26,1997,0.7,,,,,,,,,,,,,,,,,,,,,Matches
10,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,27,1995,3.0,,,,,,,,,,,,,,,,,,,,,Matches
11,Samet Akaydın,tr TUR,DF,Fenerbahçe,29,1994,6.3,,,,,,,,,,,,,,,,,,,,,Matches
12,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,30,1992,29.7,,,,,,,,,,,,,,,,,,,,,Matches
13,Halil Akbunar,tr TUR,"MF,FW",Pendikspor,29,1993,31.0,,,,,,,,,,,,,,,,,,,,,Matches
14,Murat Akça,tr TUR,DF,Pendikspor,33,1990,7.7,,,,,,,,,,,,,,,,,,,,,Matches
15,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,17,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
16,İbrahim Akdağ,tr TUR,MF,Pendikspor,32,1991,10.4,,,,,,,,,,,,,,,,,,,,,Matches
17,İbrahim Akdağ,tr TUR,"MF,DF",Sivasspor,32,1991,8.0,,,,,,,,,,,,,,,,,,,,,Matches
18,Yunus Akgün,tr TUR,MF,Galatasaray,23,2000,0.3,,,,,,,,,,,,,,,,,,,,,Matches
19,Babajide Akintola,ng NGA,MF,Adana Demirspor,27,1996,10.1,,,,,,,,,,,,,,,,,,,,,Matches
20,Babajide Akintola,ng NGA,MF,Rizespor,27,1996,11.4,,,,,,,,,,,,,,,,,,,,,Matches
21,Gökhan Akkan,tr TUR,GK,Rizespor,28,1995,30.3,,,,,,,,,,,,,,,,,,,,,Matches
22,Efe Akman,tr TUR,MF,Galatasaray,17,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
23,Engin Aksoy,tr TUR,DF,Hatayspor,19,2003,4.0,,,,,,,,,,,,,,,,,,,,,Matches
24,Fatih Aksoy,tr TUR,DF,Alanyaspor,25,1997,10.7,,,,,,,,,,,,,,,,,,,,,Matches
25,Yılmaz Aktaş,de GER,GK,Adana Demirspor,20,2003,1.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
26,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,24,1998,27.4,,,,,,,,,,,,,,,,,,,,,Matches
27,Ufuk Akyol,de GER,MF,Antalyaspor,25,1997,7.5,,,,,,,,,,,,,,,,,,,,,Matches
28,Furkan Akyüz,,GK,Fenerbahçe,17,2005,0.0,,,,,,,,,,,,,,,,,,,,,Matches
29,Enes Albak,tr TUR,DF,Samsunspor,18,2005,0.5,,,,,,,,,,,,,,,,,,,,,Matches
30,Mehmet Albayrak,tr TUR,DF,Sivasspor,19,2004,1.9,,,,,,,,,,,,,,,,,,,,,Matches
31,Danijel Aleksić,rs SRB,MF,Başakşehir,32,1991,12.9,,,,,,,,,,,,,,,,,,,,,Matches
32,Mehmet Ali Büyüksayar,tr TUR,FW,Konyaspor,19,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
33,Hasan Ali Kaldırım,tr TUR,DF,Kayserispor,33,1989,13.1,,,,,,,,,,,,,,,,,,,,,Matches
34,Muhammet Ali Özbaskıcı,tr TUR,MF,Samsunspor,17,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
35,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,31,1992,13.3,,,,,,,,,,,,,,,,,,,,,Matches
36,Kerim Alıcı,tr TUR,DF,Hatayspor,26,1997,15.9,,,,,,,,,,,,,,,,,,,,,Matches
37,Nabil Alioui,fr FRA,MF,Adana Demirspor,24,1999,2.1,,,,,,,,,,,,,,,,,,,,,Matches
38,Xusniddin Aliqulov,uz UZB,DF,Rizespor,24,1999,14.5,,,,,,,,,,,,,,,,,,,,,Matches
39,Fidan Aliti,xk KVX,DF,Alanyaspor,29,1993,33.8,,,,,,,,,,,,,,,,,,,,,Matches
40,Barış Alper Yılmaz,tr TUR,"MF,DF",Galatasaray,23,2000,28.3,,,,,,,,,,,,,,,,,,,,,Matches
41,Daniel Amartey,gh GHA,"DF,MF",Beşiktaş,28,1994,11.8,,,,,,,,,,,,,,,,,,,,,Matches
