wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
1,Fri,2023-08-11,21:00 (20:00),Trabzonspor,1–0,Antalyaspor,,Şenol Güneş Stadyumu,Zorbay Küçük,Match Report,
1,Sat,2023-08-12,19:15 (18:15),Kasımpaşa,3–2,Ankaragücü,,Recep Tayyip Erdoğan Stadyumu,Bahattin Şimşek,Match Report,
1,Sat,2023-08-12,19:15 (18:15),Konyaspor,1–1,İstanbulspor,,Konya Büyükşehir Stadı,Burak Pakkan,Match Report,
1,Sat,2023-08-12,21:45 (20:45),Kayserispor,0–0,Galatasaray,,RHG Enertürk Enerji Stadyumu,Halil Umut Meler,Match Report,
1,Sat,2023-08-12,21:45 (20:45),Pendikspor,1–5,Hatayspor,,Pendik Stadyumu,Çağdaş Altay,Match Report,
1,Sun,2023-08-13,19:15 (18:15),Sivasspor,1–1,Samsunspor,,BG Grup 4 Eylül Stadyumu,Murat Erdoğan,Match Report,
1,Sun,2023-08-13,21:45 (20:45),Fenerbahçe,2–1,Gaziantep FK,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Abdulkadir Bitigen,Match Report,
1,Sun,2023-08-13,21:45 (20:45),Adana Demirspor,2–1,Rizespor,,Yeni Adana Stadyumu,Umit Öztürk,Match Report,
1,Mon,2023-08-14,21:00 (20:00),Fatih Karagümrük,0–1,Beşiktaş,,Atatürk Olimpiyat Stadı,Erkan Özdamar,Match Report,
1,Mon,2023-08-14,21:00 (20:00),Alanyaspor,2–0,Başakşehir,,Kırbıyık Holding Stadyumu,Tugay Kaan Numanoğlu,Match Report,
2,Fri,2023-08-18,21:00 (20:00),İstanbulspor,1–1,Kayserispor,,Necmi Kadıoğlu Stadyumu,Sarper Barış Saka,Match Report,
2,Fri,2023-08-18,21:00 (20:00),Antalyaspor,1–1,Konyaspor,,Corendon Airlines Park,Ali Şansalan,Match Report,
2,Sat,2023-08-19,19:15 (18:15),Rizespor,0–0,Alanyaspor,,Çaykur Didi Stadyumu,Yiğit Arslan,Match Report,
2,Sat,2023-08-19,21:45 (20:45),Galatasaray,2–0,Trabzonspor,,RAMS Park,Atilla Karaoğlan,Match Report,
2,Sat,2023-08-19,21:45 (20:45),Hatayspor,0–0,Kasımpaşa,,Mersin Arena,Mert Güzenge,Match Report,
2,Sun,2023-08-20,19:15 (18:15),Başakşehir,0–2,Fatih Karagümrük,,Başakşehir Fatih Terim Stadium,Burak Şeker,Match Report,
2,Sun,2023-08-20,21:45 (20:45),Gaziantep FK,1–3,Sivasspor,,Kalyon Arena,Arda Kardeşler,Match Report,
2,Sun,2023-08-20,21:45 (20:45),Beşiktaş,1–1,Pendikspor,,Tüpraş Stadyumu,Kadir Sağlam,Match Report,
2,Mon,2023-08-21,21:00 (20:00),Samsunspor,0–2,Fenerbahçe,,19 Mayıs Stadyumu,Volkan Bayarslan,Match Report,
2,Mon,2023-08-21,21:00 (20:00),Ankaragücü,1–1,Adana Demirspor,,Eryaman Stadyumu,Cihan Aydın,Match Report,
3,Fri,2023-08-25,21:00 (20:00),Konyaspor,2–0,Gaziantep FK,,Konya Büyükşehir Stadı,Mete Kalkavan,Match Report,
3,Sat,2023-08-26,19:15 (18:15),Kasımpaşa,1–1,Pendikspor,,Recep Tayyip Erdoğan Stadyumu,Yaşar Kemal Uğurlu,Match Report,
3,Sat,2023-08-26,19:15 (18:15),Trabzonspor,2–3,Rizespor,,Şenol Güneş Stadyumu,Halil Umut Meler,Match Report,
3,Sat,2023-08-26,21:45 (20:45),Sivasspor,1–1,Antalyaspor,,BG Grup 4 Eylül Stadyumu,Umit Öztürk,Match Report,
3,Sun,2023-08-27,19:15 (18:15),Fatih Karagümrük,1–1,Ankaragücü,,Atatürk Olimpiyat Stadı,Turgut Doman,Match Report,
3,Sun,2023-08-27,19:15 (18:15),Kayserispor,2–1,Samsunspor,,RHG Enertürk Enerji Stadyumu,Bahattin Şimşek,Match Report,
3,Sun,2023-08-27,21:45 (20:45),Alanyaspor,0–0,Hatayspor,,Kırbıyık Holding Stadyumu,Direnç Tonusluoğlu,Match Report,
4,Fri,2023-09-01,21:00 (20:00),Kasımpaşa,1–5,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Erkan Özdamar,Match Report,
4,Fri,2023-09-01,21:00 (20:00),Rizespor,1–0,Fatih Karagümrük,,Çaykur Didi Stadyumu,Murat Erdoğan,Match Report,
4,Sat,2023-09-02,19:15 (18:15),Pendikspor,1–1,Alanyaspor,,Ümraniye Hekimbaşı Şehir Stadyumu,Abdulkadir Bitigen,Match Report,
4,Sat,2023-09-02,19:15 (18:15),Başakşehir,0–1,Konyaspor,,Başakşehir Fatih Terim Stadium,Atilla Karaoğlan,Match Report,
4,Sat,2023-09-02,21:45 (20:45),Antalyaspor,1–1,Kayserispor,,Corendon Airlines Park,Yasin Kol,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sat,2023-09-02,21:45 (20:45),Gaziantep FK,0–3,Galatasaray,,Kalyon Arena,Ali Şansalan,Match Report,
4,Sun,2023-09-03,19:15 (18:15),Beşiktaş,2–0,Sivasspor,,Tüpraş Stadyumu,Zorbay Küçük,Match Report,
4,Sun,2023-09-03,21:45 (20:45),Hatayspor,3–3,Adana Demirspor,,Mersin Arena,Sarper Barış Saka,Match Report,
4,Sun,2023-09-03,21:45 (20:45),Ankaragücü,0–1,Fenerbahçe,,Eryaman Stadyumu,Arda Kardeşler,Match Report,
5,Sat,2023-09-16,17:00 (16:00),Konyaspor,1–2,Rizespor,,Konya Büyükşehir Stadı,Bahattin Şimşek,Match Report,
5,Sat,2023-09-16,17:00 (16:00),Kayserispor,2–0,Gaziantep FK,,RHG Enertürk Enerji Stadyumu,Umit Öztürk,Match Report,
5,Sat,2023-09-16,20:00 (19:00),Galatasaray,4–2,Samsunspor,,RAMS Park,Cihan Aydın,Match Report,
5,Sat,2023-09-16,20:00 (19:00),Adana Demirspor,3–0,Pendikspor,,Yeni Adana Stadyumu,Mert Güzenge,Match Report,
5,Sun,2023-09-17,17:00 (16:00),İstanbulspor,0–2,Başakşehir,,Necmi Kadıoğlu Stadyumu,Direnç Tonusluoğlu,Match Report,
5,Sun,2023-09-17,17:00 (16:00),Fenerbahçe,3–2,Antalyaspor,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Halil Umut Meler,Match Report,
5,Sun,2023-09-17,20:00 (19:00),Trabzonspor,3–0,Beşiktaş,,Şenol Güneş Stadyumu,Volkan Bayarslan,Match Report,
5,Sun,2023-09-17,20:00 (19:00),Alanyaspor,3–3,Kasımpaşa,,Kırbıyık Holding Stadyumu,Turgut Doman,Match Report,
5,Mon,2023-09-18,20:00 (19:00),Fatih Karagümrük,0–0,Hatayspor,,Atatürk Olimpiyat Stadı,Yaşar Kemal Uğurlu,Match Report,
