rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Boca Juniors,27,16,4,7,34,28,6,52,1.93,29.4,27.4,2.0,0.08,,Luca Langoni - 6,Agustín Rossi,
2,Racing Club,27,14,8,5,41,24,17,50,1.85,36.4,28.2,8.2,0.3,,Enzo Copetti - 11,Gabriel Arias,
3,River Plate,27,14,5,8,43,22,21,47,1.74,32.5,26.1,6.5,0.24,,Miguel Borja - 9,Franco Armani,
4,Huracán,27,12,11,4,35,21,14,47,1.74,32.6,19.1,13.5,0.5,,Franco Cristaldo - 14,Lucas Chávez,
5,Atlé Tucumán,27,12,10,5,32,22,10,46,1.7,29.2,24.9,4.2,0.16,,Ramiro Carrera - 7,Carlos Lampe,
6,San Lorenzo,27,10,13,4,33,23,10,43,1.59,29.6,22.5,7.1,0.26,,Adam Bareiro - 10,Augusto Batalla,
7,Tigre,27,11,10,6,41,32,9,43,1.59,35.2,26.9,8.3,0.31,,Mateo Retegui - 19,Manuel Roffo,
8,Arg Juniors,27,12,6,9,33,24,9,42,1.56,30.6,22.9,7.7,0.29,,Gastón Verón - 6,Federico Lanzillota,
9,Gimnasia–LP,27,11,8,8,26,18,8,41,1.52,27.4,25.8,1.5,0.06,,Brahian Alemán - 5,Rodrigo Rey,
10,Patronato,27,11,7,9,31,27,4,40,1.48,30.8,39.3,-8.5,-0.32,,Jonás Acevedo - 5,Facundo Altamirano,
11,Newell's OB,27,11,7,9,26,22,4,40,1.48,25.9,26.2,-0.3,-0.01,,"Juan Manuel García, Ramiro Sordo - 5",Lautaro Morales,
12,Defensa y Just,27,10,10,7,29,27,2,40,1.48,27.4,34.0,-6.6,-0.24,,"Nicolás Fernández, Gabriel Alanís - 4",Ezequiel Unsain,
13,Talleres,27,9,8,10,28,26,2,35,1.3,28.5,31.5,-3.1,-0.11,,Diego Valoyes - 5,Guido Herrera,
14,Independiente,27,9,8,10,31,31,0,35,1.3,28.0,23.1,4.9,0.18,,Leandro Fernández - 8,Milton Álvarez,
15,Godoy Cruz,27,9,8,10,25,29,-4,35,1.3,27.2,36.1,-8.9,-0.33,,"Martín Ojeda, Salomón Rodríguez - 6",Diego Matías Rodríguez,
16,Cen. Córdoba–SdE,27,10,4,13,34,37,-3,34,1.26,29.3,34.8,-5.5,-0.2,,Renzo López - 9,César Rigamonti,
17,Barracas Central,27,8,10,9,31,37,-6,34,1.26,29.0,31.2,-2.3,-0.08,,Bruno Sepúlveda - 6,Maximiliano Gagliardo,
18,Estudiantes–LP,27,9,6,12,28,40,-12,33,1.22,30.3,34.1,-3.8,-0.14,,Mauro Boselli - 7,Mariano Andújar,
19,Platense,27,7,11,9,23,25,-2,32,1.19,26.3,22.6,3.7,0.14,,"Mauro Zárate, Vicente Taborda... - 3",Marcos Ignacio Ledesma,
20,Rosario Central,27,7,11,9,24,28,-4,32,1.19,31.1,25.6,5.5,0.2,,Alejo Véliz - 6,Gaspar Servio,
21,Sarmiento,27,8,8,11,27,32,-5,32,1.19,27.9,31.5,-3.6,-0.13,,Lisandro López - 6,Sebastián Meza,
22,Unión,27,8,8,11,28,36,-8,32,1.19,32.2,33.8,-1.7,-0.06,,Daniel Juárez - 5,Santiago Mele,
23,Arsenal,27,6,12,9,28,29,-1,30,1.11,27.6,28.8,-1.2,-0.04,,Facundo Kruspzky - 6,Alejandro Medina,
24,Banfield,27,7,9,11,23,29,-6,30,1.11,27.8,30.7,-2.9,-0.11,,Ramiro Enrique - 5,Facundo Cambeses,
25,Colón,27,7,8,12,24,36,-12,29,1.07,36.8,34.8,2.0,0.07,,Ramón Ábila - 8,Ignacio Chicco,
26,Vélez Sarsfield,27,6,10,11,30,33,-3,28,1.04,28.4,31.5,-3.1,-0.12,,"Walter Bou, Abiel Osorio - 5",Lucas Hoyos,
27,Lanús,27,5,6,16,22,40,-18,21,0.78,26.8,29.4,-2.6,-0.09,,José Sand - 5,Fernando Monetti,
28,Aldosivi,27,4,4,19,16,48,-32,16,0.59,20.3,41.5,-21.2,-0.78,,Martín Cauteruccio - 6,José Devecchi,
