squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Aldosivi,40,26.2,49.9,27,297,2430,27.0,16,8,24,14,2,2,71,7,20.3,18.9,12.0,30.9,291,956,0.59,0.3,0.89,0.52,0.81,0.75,0.44,1.2,0.7,1.14
Arg Juniors,28,26.3,57.3,27,297,2430,27.0,33,23,56,29,4,4,56,1,30.6,27.5,21.3,48.8,327,1184,1.22,0.85,2.07,1.07,1.93,1.13,0.79,1.92,1.02,1.81
Arsenal,27,27.5,44.0,27,297,2430,27.0,27,16,43,24,3,3,57,1,27.6,25.2,16.3,41.5,266,871,1.0,0.59,1.59,0.89,1.48,1.02,0.6,1.63,0.93,1.54
Atlé Tucumán,30,28.0,46.2,27,297,2460,27.3,32,22,54,28,4,5,80,4,29.2,25.8,19.9,45.8,327,829,1.17,0.8,1.98,1.02,1.83,1.07,0.73,1.8,0.95,1.67
Banfield,34,26.3,50.7,27,297,2430,27.0,23,10,33,20,3,5,71,4,27.8,23.9,17.5,41.4,363,941,0.85,0.37,1.22,0.74,1.11,1.03,0.65,1.68,0.88,1.53
Barracas Central,27,27.9,44.6,27,297,2430,27.0,28,17,45,23,5,8,58,1,29.0,22.6,16.2,38.8,272,776,1.04,0.63,1.67,0.85,1.48,1.07,0.6,1.67,0.84,1.44
Boca Juniors,36,27.1,58.3,27,297,2430,27.0,33,23,56,31,2,5,93,3,29.4,25.5,20.2,45.7,454,1043,1.22,0.85,2.07,1.15,2.0,1.09,0.75,1.84,0.94,1.69
Cen. Córdoba–SdE,33,28.4,46.4,27,297,2430,27.0,33,22,55,29,4,5,63,5,29.3,25.3,19.0,44.3,316,894,1.22,0.81,2.04,1.07,1.89,1.08,0.7,1.79,0.94,1.64
Colón,38,27.4,45.8,27,297,2430,27.0,23,10,33,17,6,7,56,5,36.8,31.5,22.6,54.1,316,939,0.85,0.37,1.22,0.63,1.0,1.36,0.84,2.2,1.17,2.0
Defensa y Just,32,25.4,49.7,27,297,2430,27.0,28,21,49,26,2,2,59,6,27.4,25.8,19.0,44.9,406,921,1.04,0.78,1.81,0.96,1.74,1.01,0.71,1.72,0.96,1.66
Estudiantes–LP,35,28.8,52.3,27,297,2430,27.0,27,21,48,25,2,3,62,1,30.3,27.9,20.0,47.9,403,1025,1.0,0.78,1.78,0.93,1.7,1.12,0.74,1.86,1.03,1.78
Gimnasia–LP,29,26.5,44.7,27,297,2430,27.0,25,14,39,21,4,4,64,2,27.4,24.5,18.6,43.1,315,836,0.93,0.52,1.44,0.78,1.3,1.01,0.69,1.7,0.91,1.6
Godoy Cruz,32,25.5,47.9,27,297,2430,27.0,25,20,45,24,1,1,67,6,27.2,26.4,19.6,46.0,345,930,0.93,0.74,1.67,0.89,1.63,1.01,0.73,1.73,0.98,1.7
Huracán,31,25.4,52.0,27,297,2430,27.0,33,17,50,23,10,11,75,3,32.6,24.0,19.0,42.9,364,1032,1.22,0.63,1.85,0.85,1.48,1.21,0.7,1.91,0.89,1.59
Independiente,32,27.8,51.2,27,297,2460,27.3,31,24,55,29,2,2,70,1,28.0,26.4,20.2,46.6,394,1048,1.13,0.88,2.01,1.06,1.94,1.02,0.74,1.76,0.97,1.71
Lanús,37,26.7,49.9,27,297,2430,27.0,22,12,34,19,3,3,77,8,26.8,24.8,18.8,43.6,367,973,0.81,0.44,1.26,0.7,1.15,0.99,0.7,1.69,0.92,1.62
Newell's OB,32,24.3,46.2,27,297,2430,27.0,21,16,37,21,0,2,70,5,25.9,24.2,18.0,42.2,399,896,0.78,0.59,1.37,0.78,1.37,0.96,0.67,1.62,0.9,1.56
Patronato,30,26.2,48.3,27,297,2430,27.0,30,23,53,27,3,6,76,8,30.8,26.3,19.2,45.5,311,954,1.11,0.85,1.96,1.0,1.85,1.14,0.71,1.85,0.97,1.69
Platense,30,26.1,46.6,27,297,2430,27.0,23,12,35,20,3,4,73,6,26.3,23.2,16.2,39.4,352,877,0.85,0.44,1.3,0.74,1.19,0.97,0.6,1.57,0.86,1.46
Racing Club,33,28.3,61.7,27,297,2430,27.0,39,30,69,38,1,4,69,7,36.4,33.2,24.8,58.0,398,1278,1.44,1.11,2.56,1.41,2.52,1.35,0.92,2.27,1.23,2.15
River Plate,28,27.8,60.8,27,297,2430,27.0,43,31,74,43,0,0,73,5,32.5,32.5,25.3,57.9,517,1388,1.59,1.15,2.74,1.59,2.74,1.21,0.94,2.14,1.21,2.14
Rosario Central,33,25.0,50.1,27,297,2430,27.0,24,16,40,21,3,5,74,3,31.1,27.2,19.8,47.0,376,905,0.89,0.59,1.48,0.78,1.37,1.15,0.73,1.88,1.01,1.74
San Lorenzo,31,25.7,46.2,27,297,2430,27.0,32,23,55,26,6,8,65,2,29.6,23.3,19.6,42.9,381,892,1.19,0.85,2.04,0.96,1.81,1.1,0.73,1.82,0.86,1.59
Sarmiento,26,27.8,38.8,27,297,2430,27.0,26,13,39,20,6,6,79,3,27.9,23.2,16.2,39.5,254,637,0.96,0.48,1.44,0.74,1.22,1.03,0.6,1.63,0.86,1.46
