rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Alan Aguerre,ar ARG,GK,Talleres,31,1990,5,5,450,5.0,5,1.00,19,13,73.7,1,2,2,2,40.0,1,0,1,0,100.0,Matches
2,Facundo Altamirano,ar ARG,GK,Patronato,25,1996,25,25,2250,25.0,25,1.00,119,93,80.7,9,7,9,9,36.0,5,2,3,0,60.0,Matches
3,Milton Álvarez,ar ARG,GK,Independiente,33,1989,17,17,1530,17.0,14,0.82,61,48,77.0,8,6,3,7,41.2,0,0,0,0,,Matches
4,Guillermo de Amores,uy URU,GK,Lanús,27,1994,3,2,225,2.5,3,1.20,9,6,77.8,0,1,1,0,0.0,1,1,0,0,0.0,Matches
5,Mariano Andújar,ar ARG,GK,Estudiantes–LP,38,1983,25,25,2250,25.0,35,1.40,106,71,72.6,9,5,11,8,32.0,6,6,0,0,0.0,Matches
6,Cristian Arce,ar ARG,GK,Barracas Central,28,1993,6,5,458,5.1,4,0.79,20,16,80.0,2,2,1,2,40.0,0,0,0,0,,Matches
7,Gabriel Arias,cl CHI,GK,Racing Club,34,1987,14,14,1259,14.0,12,0.86,52,40,78.8,8,3,3,7,50.0,1,1,0,0,0.0,Matches
8,Franco Armani,ar ARG,GK,River Plate,35,1986,24,24,2160,24.0,21,0.87,82,59,79.3,13,4,7,10,41.7,6,4,2,0,33.3,Matches
9,Augusto Batalla,ar ARG,GK,San Lorenzo,25,1996,18,18,1620,18.0,12,0.67,44,32,72.7,8,7,3,10,55.6,0,0,0,0,,Matches
10,Enrique Bologna,ar ARG,GK,Banfield,39,1982,7,7,630,7.0,7,1.00,28,22,75.0,3,2,2,3,42.9,0,0,0,0,,Matches
11,Jorge Broun,ar ARG,GK,Rosario Central,35,1986,5,5,450,5.0,8,1.60,26,18,69.2,0,3,2,1,20.0,0,0,0,0,,Matches
12,Leonardo Burián,uy URU,GK,Colón,38,1984,4,4,360,4.0,4,1.00,23,19,87.0,1,2,1,1,25.0,1,1,0,0,0.0,Matches
13,Leonardo Burián,uy URU,GK,Vélez Sarsfield,38,1984,12,12,1035,11.5,12,1.04,48,36,81.3,3,3,6,2,16.7,3,3,0,0,0.0,Matches
