rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Luciano Abecasis,ar ARG,DF,Banfield,31,1990,12.8,393,582,67.5,7184,3459,176,197,167,237,45,114,0,0.6,0.8,-0.6,13,28,19,12,53,Matches
2,Ramón Ábila,ar ARG,FW,Colón,32,1989,21.8,245,366,66.9,3542,764,146,193,70,99,16,27,0,3.1,2.6,-3.1,28,12,19,0,38,Matches
3,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,22,2000,18.9,468,658,71.1,8121,2584,237,308,170,226,51,74,2,0.9,1.1,+1.1,14,59,10,1,83,Matches
4,Jonás Acevedo,ar ARG,MF,Patronato,24,1997,19.9,572,832,68.8,8880,2719,307,368,183,269,50,109,4,2.9,3.4,+1.1,26,64,31,8,113,Matches
5,Lucas Acevedo,ar ARG,DF,Colón,30,1991,6.6,161,237,67.9,3431,1538,35,51,99,120,24,56,0,0.0,0.0,0.0,0,7,0,0,11,Matches
6,Nelson Acevedo,ar ARG,MF,Godoy Cruz,33,1988,9.7,300,417,71.9,5834,2493,118,132,127,164,48,92,0,0.3,0.2,-0.3,9,40,2,0,48,Matches
7,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,33,1988,24.7,1029,1296,79.4,19988,6721,385,461,447,538,168,226,0,0.8,0.6,-0.8,22,98,5,0,121,Matches
8,Lautaro Acosta,ar ARG,"FW,MF",Lanús,33,1988,19.5,376,513,73.3,5053,1497,234,276,113,148,12,24,0,0.5,1.1,-0.5,11,35,15,1,62,Matches
9,Gustavo Adrián Ramírez,py PAR,"FW,MF",Rosario Central,31,1990,1.5,19,30,63.3,256,63,15,20,2,5,2,3,0,0.0,0.1,0.0,0,1,2,0,2,Matches
10,Luis Advíncula,pe PER,DF,Boca Juniors,31,1990,20.0,834,1054,79.1,14464,4742,380,418,351,433,85,168,0,0.7,0.7,-0.7,11,49,8,6,76,Matches
11,Facundo Aguero,ar ARG,DF,Unión,27,1995,9.5,274,348,78.7,5920,2587,63,77,173,203,34,59,2,0.9,0.8,+1.1,4,27,4,2,32,Matches
12,Alan Aguerre,ar ARG,GK,Talleres,31,1990,5.0,128,168,76.2,3607,2531,21,21,58,62,46,82,0,0.0,0.0,0.0,0,1,0,0,0,Matches
13,Brian Aguilar,ar ARG,DF,Lanús,18,2003,1.4,55,70,78.6,1011,394,27,30,19,20,9,16,0,0.3,0.2,-0.3,1,4,1,0,6,Matches
14,Felipe Aguilar,co COL,DF,Lanús,29,1993,4.2,133,176,75.6,2856,969,32,37,83,103,17,30,0,0.0,0.0,0.0,0,7,0,0,8,Matches
15,Braian Aguirre,ar ARG,"DF,MF",Lanús,21,2000,15.7,583,932,62.6,11458,5492,235,315,244,354,90,182,0,1.8,1.9,-1.8,20,69,16,8,85,Matches
16,Brian Aguirre,ar ARG,"FW,MF",Newell's OB,18,2003,7.7,129,206,62.6,2037,748,64,87,41,69,12,25,0,0.8,0.7,-0.8,12,10,5,1,19,Matches
17,Manuel Agustín Duarte,ar ARG,"MF,FW",Defensa y Just,20,2001,13.2,323,445,72.6,5255,1477,158,193,120,152,28,52,1,0.9,0.9,+0.1,13,36,12,2,68,Matches
18,Jorge Agustín Rodríguez,ar ARG,MF,Estudiantes–LP,26,1995,22.4,1081,1401,77.2,20771,8358,421,516,483,594,153,226,2,0.6,1.2,+1.4,16,128,20,3,179,Matches
19,Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,27,1994,17.1,357,504,70.8,6139,2023,167,201,135,191,40,77,3,1.9,2.4,+1.1,14,28,12,8,43,Matches
20,Lucas Albertengo,ar ARG,"FW,MF",Defensa y Just,31,1991,8.0,149,225,66.2,1625,364,96,125,32,49,1,4,0,0.4,0.3,-0.4,9,8,2,0,11,Matches
21,Carlos Alcaraz,ar ARG,MF,Racing Club,19,2002,11.3,398,509,78.2,6839,1601,183,230,149,174,48,62,0,0.9,0.8,-0.9,15,48,12,1,64,Matches
22,Brahian Alemán,uy URU,MF,Gimnasia–LP,32,1989,23.1,638,1079,59.1,13813,6212,257,344,219,329,150,341,4,6.0,5.8,-2.0,65,123,34,18,148,Matches
23,Brian Alexis Leizza,ar ARG,DF,Tigre,21,2000,8.6,301,382,78.8,5764,2167,109,130,148,174,40,64,0,0.1,0.1,-0.1,3,17,1,0,18,Matches
24,Rodrigo Aliendro,ar ARG,MF,Colón,30,1991,3.2,116,147,78.9,2390,1035,43,52,51,60,21,31,0,0.1,0.2,-0.1,1,22,6,0,33,Matches
25,Rodrigo Aliendro,ar ARG,MF,River Plate,30,1991,6.5,274,360,76.1,4336,1210,146,171,98,126,23,36,0,0.4,0.5,-0.4,8,32,6,1,49,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Tadeo Allende,ar ARG,"MF,FW",Godoy Cruz,22,1999,15.6,264,456,57.9,4112,1304,152,222,81,133,19,50,1,1.4,1.5,-0.4,17,34,10,6,46,Matches
27,Facundo Almada,ar ARG,DF,Rosario Central,23,1998,17.7,656,809,81.1,14264,6083,178,201,362,412,110,176,0,0.3,0.3,-0.3,2,34,1,1,51,Matches
28,Facundo Altamirano,ar ARG,GK,Patronato,25,1996,25.0,407,749,54.3,16699,13971,29,30,147,149,230,566,0,0.0,0.1,0.0,1,45,3,0,1,Matches
29,Fabio Álvarez,ar ARG,"MF,FW",Talleres,29,1993,2.8,112,140,80.0,1862,587,51,60,44,54,11,14,0,0.1,0.4,-0.1,5,15,4,0,22,Matches
30,Francisco Álvarez,ar ARG,DF,Patronato,21,2000,8.9,219,295,74.2,4851,1906,65,77,103,127,50,76,0,0.1,0.1,-0.1,1,15,2,0,20,Matches
31,Juan Álvarez,ar ARG,"MF,FW",Colón,25,1996,8.0,185,287,64.5,3214,1024,82,112,78,105,21,40,0,0.9,1.2,-0.9,6,16,9,6,30,Matches
32,Julián Álvarez,ar ARG,FW,River Plate,22,2000,4.3,125,194,64.4,2204,446,55,75,53,70,13,36,2,1.6,1.6,+0.4,13,5,12,0,23,Matches
33,Milton Álvarez,ar ARG,GK,Independiente,33,1989,17.0,222,407,54.5,7095,5757,44,44,71,73,104,287,0,0.0,0.0,0.0,0,11,0,0,0,Matches
34,Gonzalo Álvez,ar ARG,FW,Talleres,18,2003,3.7,43,76,56.6,739,211,20,27,15,24,5,12,1,0.2,0.3,+0.8,4,2,3,2,6,Matches
35,Jonatan Álvez,uy URU,FW,Unión,33,1988,7.6,96,156,61.5,1468,269,47,73,38,58,4,5,0,1.1,0.6,-1.1,13,5,3,0,14,Matches
36,Abel Amaya,ar ARG,DF,Banfield,19,2002,1.0,25,43,58.1,474,234,11,14,10,19,3,7,0,0.0,0.0,0.0,0,2,0,0,2,Matches
37,Guillermo de Amores,uy URU,GK,Lanús,27,1994,2.5,54,84,64.3,1823,1430,4,4,22,24,27,55,0,0.0,0.0,0.0,0,0,0,0,0,Matches
38,Federico Andrada,ar ARG,MF,Atlé Tucumán,27,1994,0.3,4,5,80.0,88,20,1,1,2,2,1,1,0,0.0,0.0,0.0,2,0,1,1,0,Matches
39,Juan Andrada,ar ARG,MF,Godoy Cruz,27,1995,17.6,569,730,77.9,11681,3663,182,221,295,345,86,129,1,1.0,0.6,0.0,10,91,9,2,101,Matches
40,Federico Andueza,uy URU,DF,Sarmiento,24,1997,20.9,332,525,63.2,7542,4017,77,114,195,252,57,145,0,0.1,0.3,-0.1,1,35,6,0,41,Matches
41,Mariano Andújar,ar ARG,GK,Estudiantes–LP,38,1983,25.0,548,833,65.8,17499,14346,76,76,228,234,241,519,0,0.1,0.1,-0.1,2,28,0,0,0,Matches
42,Fabián Ángel,co COL,MF,Newell's OB,21,2001,0.3,7,10,70.0,114,41,2,2,3,4,1,2,0,0.0,0.0,0.0,0,1,0,0,1,Matches
43,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,33,1988,19.5,1000,1214,82.4,23092,9862,247,273,510,561,233,353,0,0.3,0.6,-0.3,6,59,3,0,65,Matches
44,Alejo Antilef,ar ARG,"MF,FW",Arsenal,23,1998,2.5,91,108,84.3,1451,426,42,51,38,40,6,9,0,0.1,0.1,-0.1,3,9,2,1,11,Matches
45,Gabriel Aranda,ar ARG,DF,Boca Juniors,20,2001,5.0,197,222,88.7,3840,1221,54,63,116,122,23,28,0,0.0,0.0,0.0,0,5,0,0,12,Matches
46,Carlos Arce,ar ARG,MF,Barracas Central,31,1990,20.5,449,699,64.2,7813,3300,209,277,166,247,53,118,0,0.2,0.4,-0.2,13,81,5,1,75,Matches
47,Cristian Arce,ar ARG,GK,Barracas Central,28,1993,5.1,67,141,47.5,2480,2143,1,1,30,31,36,109,0,0.0,0.0,0.0,0,2,0,0,0,Matches
