rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
27,Facundo Almada,ar ARG,DF,Rosario Central,23,1998,17.7,2,10,5,50.0,0.56,0.28,0.20,0.40,12.6,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
28,Facundo Altamirano,ar ARG,GK,Patronato,25,1996,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Fabio Álvarez,ar ARG,"MF,FW",Talleres,29,1993,2.8,0,3,0,0.0,1.06,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
30,Francisco Álvarez,ar ARG,DF,Patronato,21,2000,8.9,1,7,2,28.6,0.78,0.22,0.14,0.50,9.9,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
31,Juan Álvarez,ar ARG,"MF,FW",Colón,25,1996,8.0,0,11,1,9.1,1.38,0.13,0.00,0.00,21.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
32,Julián Álvarez,ar ARG,FW,River Plate,22,2000,4.3,3,19,8,42.1,4.37,1.84,0.16,0.38,20.9,4,0,0,2.0,2.0,0.10,+1.0,+1.0,Matches
33,Milton Álvarez,ar ARG,GK,Independiente,33,1989,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,Gonzalo Álvez,ar ARG,FW,Talleres,18,2003,3.7,2,12,9,75.0,3.21,2.41,0.17,0.22,14.7,0,0,0,2.1,2.1,0.18,-0.1,-0.1,Matches
35,Jonatan Álvez,uy URU,FW,Unión,33,1988,7.6,3,23,5,21.7,3.04,0.66,0.09,0.40,15.0,0,1,2,3.2,1.6,0.07,-0.2,+0.4,Matches
36,Abel Amaya,ar ARG,DF,Banfield,19,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Guillermo de Amores,uy URU,GK,Lanús,27,1994,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
38,Federico Andrada,ar ARG,MF,Atlé Tucumán,27,1994,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,Juan Andrada,ar ARG,MF,Godoy Cruz,27,1995,17.6,0,13,0,0.0,0.74,0.00,0.00,,28.1,1,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
40,Federico Andueza,uy URU,DF,Sarmiento,24,1997,20.9,1,11,4,36.4,0.53,0.19,0.09,0.25,10.6,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
41,Mariano Andújar,ar ARG,GK,Estudiantes–LP,38,1983,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,Fabián Ángel,co COL,MF,Newell's OB,21,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,33,1988,19.5,2,6,1,16.7,0.31,0.05,0.00,0.00,33.5,3,2,2,1.8,0.2,0.03,+0.2,-0.2,Matches
44,Alejo Antilef,ar ARG,"MF,FW",Arsenal,23,1998,2.5,0,2,0,0.0,0.79,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
45,Gabriel Aranda,ar ARG,DF,Boca Juniors,20,2001,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,9.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
46,Carlos Arce,ar ARG,MF,Barracas Central,31,1990,20.5,0,9,1,11.1,0.44,0.05,0.00,0.00,28.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
47,Cristian Arce,ar ARG,GK,Barracas Central,28,1993,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Pablo Argañaraz,ar ARG,FW,Cen. Córdoba–SdE,23,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Gabriel Arias,cl CHI,GK,Racing Club,34,1987,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
50,Junior Arias,uy URU,FW,Barracas Central,28,1993,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,13.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Joaquín Ariel Novillo,ar ARG,DF,Colón,23,1998,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Franco Armani,ar ARG,GK,River Plate,35,1986,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Blas Armoa,py PAR,"FW,MF",Tigre,21,2000,7.3,8,28,11,39.3,3.82,1.50,0.29,0.73,17.2,0,0,0,3.2,3.2,0.11,+4.8,+4.8,Matches
54,Martin Aruga,ar ARG,DF,Patronato,23,1998,0.4,0,1,0,0.0,2.65,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
55,Gonzalo Asis,ar ARG,DF,Independiente,25,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Julián Aude,ar ARG,DF,Lanús,18,2003,10.3,0,4,2,50.0,0.39,0.19,0.00,0.00,25.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
57,Gabriel Ávalos,py PAR,FW,Arg Juniors,31,1990,17.3,5,41,11,26.8,2.37,0.64,0.10,0.36,14.6,0,1,1,6.3,5.5,0.14,-1.3,-1.5,Matches
58,Gastón Ávila,ar ARG,DF,Boca Juniors,20,2001,1.0,0,1,0,0.0,1.00,0.00,0.00,,20.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
59,Tomás Badaloni,ar ARG,FW,Godoy Cruz,21,2000,7.1,2,22,6,27.3,3.11,0.85,0.09,0.33,12.7,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
60,Cristian Báez,py PAR,DF,Rosario Central,31,1990,22.0,1,6,3,50.0,0.27,0.14,0.17,0.33,11.7,0,0,0,1.4,1.4,0.23,-0.4,-0.4,Matches
61,Andrés Balanta,co COL,"MF,DF",Atlé Tucumán,22,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Franco Baldassarra,ar ARG,MF,Platense,23,1998,5.5,0,8,1,12.5,1.44,0.18,0.00,0.00,31.6,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
63,Agustín Baldi,ar ARG,MF,Tigre,19,2002,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Guillermo Balzi,ar ARG,MF,Newell's OB,20,2001,7.8,1,16,3,18.8,2.05,0.38,0.06,0.33,19.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
65,Neri Bandiera,ar ARG,"FW,MF",Barracas Central,32,1989,19.6,4,28,17,60.7,1.43,0.87,0.14,0.24,14.3,0,0,0,2.6,2.6,0.09,+1.4,+1.4,Matches
66,Tiago Banega,ar ARG,MF,Patronato,22,1999,7.7,0,9,3,33.3,1.17,0.39,0.00,0.00,21.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
67,Nahuel Banegas,ar ARG,"DF,FW",Cen. Córdoba–SdE,25,1996,1.0,0,2,0,0.0,2.00,0.00,0.00,,8.0,0,0,0,0.6,0.6,0.28,-0.6,-0.6,Matches
68,Brandon Barbas,ar ARG,FW,Platense,20,2001,0.1,0,1,0,0.0,7.50,0.00,0.00,,26.7,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
69,Esequiel Barco,ar ARG,"MF,FW",River Plate,22,1999,13.6,1,29,7,24.1,2.14,0.52,0.03,0.14,21.0,4,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
70,Adam Bareiro,py PAR,FW,San Lorenzo,25,1996,23.4,10,53,19,35.8,2.26,0.81,0.13,0.37,18.0,6,3,5,9.7,5.8,0.11,+0.3,+1.2,Matches
71,Juan Barinaga,ar ARG,MF,Patronato,21,2000,3.5,0,6,2,33.3,1.70,0.57,0.00,0.00,28.5,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
72,José Barreto,ar ARG,FW,Patronato,21,2000,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,19.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
73,Sergio Barreto,ar ARG,DF,Independiente,22,1999,24.8,0,20,5,25.0,0.81,0.20,0.00,0.00,12.9,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
74,Alan Barrionuevo,ar ARG,DF,Cen. Córdoba–SdE,25,1997,3.3,0,1,0,0.0,0.31,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.00,0.0,0.0,Matches
75,Nahuel Barrios,ar ARG,"FW,MF",San Lorenzo,23,1998,14.9,2,24,8,33.3,1.61,0.54,0.08,0.25,21.7,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Pier Barrios,ar ARG,DF,Godoy Cruz,31,1990,21.4,2,19,6,31.6,0.89,0.28,0.11,0.33,16.2,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
77,Augusto Batalla,ar ARG,GK,San Lorenzo,25,1996,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Enmerson Batalla,co COL,"FW,MF",Patronato,20,2001,0.7,1,2,1,50.0,2.81,1.41,0.50,1.00,10.3,0,0,0,1.1,1.1,0.54,-0.1,-0.1,Matches
79,Damián Batallini,ar ARG,"MF,FW",Independiente,25,1996,16.0,3,31,10,32.3,1.94,0.62,0.10,0.30,19.4,1,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
80,Jonathan Bay,ar ARG,DF,Cen. Córdoba–SdE,28,1993,17.8,0,3,2,66.7,0.17,0.11,0.00,0.00,27.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
81,Matías Bazzo,ar ARG,FW,Gimnasia–LP,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
82,Tomás Belmonte,ar ARG,MF,Lanús,23,1998,16.3,0,23,12,52.2,1.41,0.74,0.00,0.00,16.1,0,0,0,1.8,1.8,0.08,-1.8,-1.8,Matches
83,Lucas Beltrán,ar ARG,FW,Colón,20,2001,1.0,0,2,2,100.0,2.00,2.00,0.00,0.00,13.8,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
