rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Mio Backhaus,de GER,GK,Volendam,19,2004,32.0,79,1,2,9,0,77.4,0.31,-1.6,-0.05,237,713,33.2,1109,164,43.1,36.7,288,81.6,58.6,513,40,7.8,40,1.25,12.8,Matches
2,Nordin Bakker,nl NED,GK,Almere City,25,1997,28.8,53,3,0,9,1,55.6,0.33,+3.6,+0.13,266,838,31.7,844,77,74.3,50.0,234,90.2,65.0,396,28,7.1,32,1.11,12.8,Matches
3,Vasilios Barkas,gr GRE,GK,Utrecht,29,1994,29.0,42,4,0,5,1,43.6,0.27,+2.6,+0.09,155,426,36.4,792,137,38.0,34.7,231,54.1,42.3,392,36,9.2,29,1.00,14.7,Matches
4,Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,32.9,20,3,0,0,2,23.5,0.29,+5.5,+0.17,122,249,49.0,878,99,23.1,28.0,150,30.7,33.1,301,23,7.6,44,1.34,15.7,Matches
5,Justin Bijlow,nl NED,GK,Feyenoord,25,1998,16.2,14,0,0,1,0,13.7,0.35,-0.3,-0.02,57,138,41.3,656,64,17.8,25.6,52,40.4,39.9,142,19,13.4,50,3.08,19.2,Matches
6,Mattijs Branderhorst,nl NED,GK,Utrecht,29,1993,5.0,5,1,0,0,0,5.1,0.26,+0.1,+0.02,25,63,39.7,120,20,38.3,35.7,25,68.0,49.0,72,8,11.1,4,0.80,13.6,Matches
7,Michael Brouwer,nl NED,GK,Heracles Almelo,30,1993,34.0,74,5,2,11,1,69.0,0.29,-4.0,-0.12,207,688,30.1,1037,160,49.5,40.0,308,56.8,47.2,580,30,5.2,18,0.53,10.0,Matches
8,Jasper Cillessen,nl NED,GK,NEC Nijmegen,34,1989,29.3,46,5,1,4,0,46.2,0.28,+0.2,+0.01,170,492,34.6,776,141,45.0,37.0,275,52.0,41.9,535,28,5.2,23,0.78,12.4,Matches
9,Jeffrey De Lange,nl NED,GK,Go Ahead Eag,25,1998,34.0,46,2,0,4,1,46.2,0.25,+1.2,+0.04,219,651,33.6,1211,127,45.0,37.3,223,47.5,40.7,670,17,2.5,32,0.94,15.3,Matches
10,Mickey van der Hart,nl NED,GK,Heerenveen,29,1994,12.0,27,1,0,5,1,20.2,0.34,-5.8,-0.48,69,189,36.5,339,43,40.7,34.8,86,59.3,47.7,184,7,3.8,4,0.33,10.0,Matches
