rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Mohammed Al Absi,sa KSA,GK,Al-Shabab,21,2002,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
2,Paulo Vítor Fagundes dos Anjos,br BRA,GK,Al Okhdood SC,35,1988,32,32,2836,31.5,49,1.56,136,95,69.9,8,7,17,7,21.9,8,8,0,0,0.0,Matches
3,Nawaf Al Aqidi,sa KSA,GK,Al-Fateh,24,2000,16,16,1440,16.0,22,1.37,79,60,74.7,8,3,5,2,12.5,4,2,1,1,33.3,Matches
4,Abdulquddus Atiah,sa KSA,GK,Al-Taawoun,27,1997,18,17,1531,17.0,23,1.35,80,60,75.0,5,4,8,4,23.5,3,3,0,0,0.0,Matches
5,Bento,br BRA,GK,Al-Nassr,25,1999,34,34,3060,34.0,40,1.18,143,105,74.1,21,7,6,10,29.4,4,3,0,1,0.0,Matches
6,Ameen Bokhari,sa KSA,GK,Damac,27,1997,2,2,180,2.0,3,1.50,6,4,66.7,1,0,1,0,0.0,1,1,0,0,0.0,Matches
7,Milan Borjan,ca CAN,GK,Al-Riyadh SC,36,1987,33,33,2970,33.0,51,1.55,162,116,71.6,10,8,15,8,24.2,5,5,0,0,0.0,Matches
8,Yassine Bounou,ma MAR,GK,Al-Hilal,33,1991,31,31,2790,31.0,41,1.32,88,52,58.0,20,6,5,9,29.0,5,4,1,0,20.0,Matches
9,Heorhiy Bushchan,ua UKR,GK,Al-Shabab,30,1994,11,11,990,11.0,21,1.91,58,38,65.5,5,2,4,0,0.0,2,1,0,1,0.0,Matches
10,Koen Casteels,be BEL,GK,Al-Qadsiah,32,1992,33,33,2970,33.0,29,0.88,106,81,76.4,21,5,7,14,42.4,4,4,0,0,0.0,Matches
11,Gaëtan Coucke,be BEL,GK,Al-Orobah,25,1998,32,32,2862,31.8,68,2.14,158,100,63.3,9,2,21,5,15.6,10,10,0,0,0.0,Matches
12,Ignacio De Arruabarrena,uy URU,GK,Al-Wehda,27,1997,2,2,180,2.0,8,4.00,13,5,38.5,1,0,1,0,0.0,0,0,0,0,,Matches
13,Abdulraouf Al Duqayl,sa KSA,GK,Al-Fayha,28,1995,5,4,399,4.4,12,2.71,27,17,63.0,0,1,3,0,0.0,2,2,0,0,0.0,Matches
14,Waleed Al-Enezi,sa KSA,GK,Al-Fateh,28,1996,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
15,Abdulrahman Al Ghamdi,sa KSA,GK,Al-Taawoun,18,2006,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
16,Marcelo Grohe,br BRA,GK,Al Kholood Saudi Club,37,1987,32,32,2880,32.0,60,1.87,154,102,66.2,11,4,17,5,15.6,8,8,0,0,0.0,Matches
17,Marwan Al Haidari,sa KSA,GK,Al-Khaleej,28,1996,1,1,90,1.0,4,4.00,7,3,42.9,0,0,1,0,0.0,0,0,0,0,,Matches
18,Abdulbasit Hawsawi,sa KSA,GK,Damac,27,1996,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
19,Ahmed Al-Kassar,sa KSA,GK,Al-Qadsiah,33,1991,1,1,90,1.0,2,2.00,7,6,85.7,0,0,1,0,0.0,1,1,0,0,0.0,Matches
20,Mohammed Al-Mahasneh,sa KSA,GK,Al-Ittihad,,,5,5,428,4.8,5,1.05,13,8,61.5,3,1,1,2,40.0,1,0,0,1,,Matches
