rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
47,Ahmed Assiri,sa KSA,DF,Al-Riyadh SC,32,1991,25.4,9,2,0,20,14,0,1,26,17,,,0,Matches
48,Abdulquddus Atiah,sa KSA,GK,Al-Taawoun,27,1997,17.0,0,0,0,0,5,0,0,0,2,,,0,Matches
49,Pierre-Emerick Aubameyang,ga GAB,FW,Al-Qadsiah,35,1989,31.4,1,1,0,21,20,14,48,5,4,,,0,Matches
50,Nawaf Al-Azizi,sa KSA,MF,Al-Wehda,24,1999,0.9,0,0,0,3,1,0,3,1,3,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Saeed Ba Atiyah,,"DF,MF",Al-Fateh,,,17.0,5,0,0,30,14,0,50,32,30,,,0,Matches
52,Juninho Bacuna,cw CUW,MF,Al-Wehda,26,1997,25.1,7,0,0,36,34,4,48,30,24,,,0,Matches
53,Hattan Bahebri,sa KSA,"MF,FW",Al-Taawoun,32,1992,4.7,1,0,0,7,7,1,6,4,4,,,0,Matches
54,Ahmed Bahusayn,sa KSA,MF,Al-Taawoun,23,2001,7.5,0,0,0,9,7,0,9,5,11,,,0,Matches
55,Yazeid Al Bakr,sa KSA,DF,Al-Riyadh SC,28,1995,0.7,1,0,0,3,0,0,0,0,0,,,0,Matches
56,Waleed Bakshween,sa KSA,MF,Al-Wehda,34,1989,19.4,5,1,1,36,12,0,10,25,28,,,0,Matches
57,Saif Balhareth,sa KSA,MF,Al Okhdood SC,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
58,Ahmed Bamasud,sa KSA,DF,Al-Ettifaq,28,1995,1.1,1,0,0,2,2,0,5,3,2,,,0,Matches
59,Mohammed Al Baqawi,sa KSA,"MF,DF",Al-Fayha,29,1995,24.8,5,0,0,19,43,0,29,13,29,,,1,Matches
60,Yoann Barbet,fr FRA,DF,Al-Riyadh SC,31,1993,28.9,2,0,0,16,7,1,17,37,12,,,1,Matches
61,Mohammed Barnawi,sa KSA,DF,Al-Orobah,18,2005,2.0,0,0,0,1,3,0,2,1,4,,,0,Matches
62,Musa Barrow,gm GAM,"FW,MF",Al-Taawoun,25,1998,28.2,1,0,0,11,21,12,49,6,11,,,0,Matches
63,Ousmane Barry,gn GUI,FW,Al Okhdood SC,32,1991,10.3,1,0,0,11,20,11,0,3,4,,,0,Matches
64,Christian Bassogog,cm CMR,"MF,FW",Al Okhdood SC,28,1995,30.2,1,0,0,24,45,26,114,10,19,,,0,Matches
65,Mourad Batna,ma MAR,MF,Al-Fateh,34,1990,26.7,4,0,0,47,57,20,179,12,8,,,0,Matches
66,Ibrahim Bayesh,iq IRQ,"MF,FW",Al-Riyadh SC,24,2000,30.0,4,0,0,57,48,16,65,16,51,,,0,Matches
67,Abdelkader Bedrane,dz ALG,DF,Damac,32,1992,29.9,6,2,1,21,20,8,4,43,31,,,0,Matches
68,Sofiane Bendebka,dz ALG,MF,Al-Fateh,31,1992,30.9,4,0,0,47,61,2,11,28,30,,,0,Matches
69,Bento,br BRA,GK,Al-Nassr,25,1999,34.0,2,0,0,0,2,0,0,0,0,,,0,Matches
70,Karim Benzema,fr FRA,FW,Al-Ittihad,36,1987,28.1,1,0,0,10,14,20,18,3,10,,,0,Matches
71,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Al-Orobah,33,1990,25.2,7,0,0,32,23,6,128,14,12,,,0,Matches
72,Steven Bergwijn,nl NED,"MF,FW",Al-Ittihad,26,1997,21.8,4,0,0,24,27,10,55,4,15,,,0,Matches
73,Karim El Berkaoui,ma MAR,FW,Al-Raed,28,1995,17.9,3,0,0,16,24,9,6,8,9,,,0,Matches
74,Mansor Al Beshe,sa KSA,MF,Al-Fayha,24,2000,19.4,3,0,0,27,22,2,20,38,25,,,0,Matches
75,Saad Bguir,tn TUN,"MF,FW",Al-Wehda,30,1994,14.9,1,0,0,16,23,0,58,4,10,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Fahad bin Jumayah,sa KSA,"DF,MF",Al-Taawoun,29,1995,15.5,6,0,0,19,29,3,40,22,25,,,0,Matches
77,Saud bin Zaydan,sa KSA,MF,Al-Riyadh SC,24,1999,3.7,1,0,0,6,3,0,1,7,2,,,0,Matches
78,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,30,1994,1.3,1,0,0,4,9,0,8,2,2,,,0,Matches
79,Rayan Al Bloushi,sa KSA,FW,Al-Riyadh SC,23,2001,0.9,0,0,0,1,1,3,1,0,0,,,0,Matches
80,Emmanuel Boateng,gh GHA,FW,Al-Orobah,28,1996,11.9,1,0,0,21,28,6,1,4,5,,,0,Matches
81,Ameen Bokhari,sa KSA,GK,Damac,27,1997,2.0,0,0,0,0,0,0,0,0,1,,,0,Matches
82,Giacomo Bonaventura,it ITA,"MF,FW",Al-Shabab,34,1989,24.8,5,0,0,26,41,7,61,14,12,,,0,Matches
83,Milan Borjan,ca CAN,GK,Al-Riyadh SC,36,1987,33.0,3,0,0,1,5,0,0,2,1,,,0,Matches
84,Yassine Bounou,ma MAR,GK,Al-Hilal,33,1991,31.0,2,0,0,1,1,0,0,0,1,,,0,Matches
85,Nawaf Boushal,sa KSA,DF,Al-Nassr,24,1999,24.3,8,1,1,27,26,3,47,53,59,,,0,Matches
86,Yousri Bouzok,dz ALG,"FW,MF",Al-Raed,27,1996,18.9,2,0,0,9,34,13,78,12,13,,,0,Matches
87,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,31,1992,0.0,0,0,0,1,0,0,0,0,0,,,0,Matches
88,Marcelo Brozović,hr CRO,MF,Al-Nassr,31,1992,26.5,12,0,0,38,17,2,130,28,29,,,0,Matches
