rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,26,1998,12,1,209,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Saleh Al Abbas,sa KSA,FW,Al Okhdood SC,30,1993,26,5,627,7.0,3,0,3,3,0,0,3,0,0.43,0.00,0.43,0.43,0.43,Matches
3,Faris Abdi,sa KSA,"DF,MF",Al-Fayha,25,1999,31,28,2480,27.6,1,1,2,1,0,0,9,0,0.04,0.04,0.07,0.04,0.07,Matches
4,Ali Abdoulraouf,,MF,Al-Khaleej,,,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Majed Abdullah,,FW,Al-Shabab,18,2006,10,0,67,0.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Mohammed Al Abdullah,,MF,Al-Khaleej,,,6,0,58,0.6,0,1,1,0,0,0,1,0,0.00,1.55,1.55,0.00,1.55,Matches
7,Reda Al Abdullah,,MF,Al-Fayha,,,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Mohamed Abdulrahman,sa KSA,DF,Al-Ettifaq,21,2003,25,18,1604,17.8,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
9,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,,,12,7,643,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Faisal Al Abdulwahed,sa KSA,FW,Al-Fateh,19,2004,4,1,96,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Nawaf Al Abed,sa KSA,MF,Al-Riyadh SC,34,1990,14,1,216,2.4,0,1,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
12,Mehdi Abeid,dz ALG,"MF,DF",Al-Raed,31,1992,30,28,2464,27.4,2,0,2,2,0,0,8,0,0.07,0.00,0.07,0.07,0.07,Matches
13,Hassan Abo Shararah,sa KSA,MF,Damac,27,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,29,1995,29,12,1155,12.8,7,7,14,7,0,0,3,0,0.55,0.55,1.09,0.55,1.09,Matches
15,Mohammed Al Absi,sa KSA,GK,Al-Shabab,21,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Mohannad Abu Taha,jo JOR,"DF,MF",Al-Orobah,21,2003,16,15,1363,15.1,2,5,7,2,0,0,2,0,0.13,0.33,0.46,0.13,0.46,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Taawoun,29,1995,27,8,951,10.6,4,1,5,4,0,0,6,0,0.38,0.09,0.47,0.38,0.47,Matches
18,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,25,1999,25,23,1951,21.7,2,0,2,2,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches
19,Mishal Al Alaeli,sa KSA,DF,Al-Wehda,20,2004,19,17,1347,15.0,1,1,2,1,0,0,5,0,0.07,0.07,0.13,0.07,0.13,Matches
20,Alexsander,br BRA,MF,Al-Ahli,20,2003,10,6,516,5.7,0,1,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches
21,Mukhtar Ali,sa KSA,MF,Al-Ettifaq,26,1997,15,12,1098,12.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Mukhtar Ali,sa KSA,MF,Al-Nassr,26,1997,5,0,44,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Mohammed Alkhaibari,sa KSA,DF,Damac,,,22,11,1137,12.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Iker Almena,es ESP,"MF,DF",Al-Qadsiah,20,2004,17,13,1181,13.1,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
25,Gastón Álvarez,uy URU,DF,Al-Qadsiah,24,2000,30,30,2550,28.3,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Awad Aman,sa KSA,DF,Al-Nassr,19,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Mohamed Amine Sbai,fr FRA,MF,Al-Fateh,23,2000,26,17,1471,16.3,5,4,9,5,0,0,0,0,0.31,0.24,0.55,0.31,0.55,Matches
28,Abdullah Al-Ammar,sa KSA,DF,Al-Ahli,30,1994,13,5,504,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Turki Al Ammar,sa KSA,MF,Al-Qadsiah,24,1999,30,27,2086,23.2,4,6,10,4,0,0,5,0,0.17,0.26,0.43,0.17,0.43,Matches
30,Abdulelah Al-Amri,sa KSA,DF,Al-Ittihad,27,1997,20,14,1320,14.7,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
31,Saleh Al-Amri,sa KSA,"MF,FW",Al-Raed,30,1993,33,30,2683,29.8,6,3,9,5,1,1,9,0,0.20,0.10,0.30,0.17,0.27,Matches
32,Youssef Amyn,iq IRQ,MF,Al-Wehda,20,2003,29,18,1793,19.9,4,2,6,4,0,1,3,0,0.20,0.10,0.30,0.20,0.30,Matches
33,Abdullah Al Anazi,sa KSA,MF,Al-Fateh,21,2003,15,5,402,4.5,1,2,3,1,0,0,1,1,0.22,0.45,0.67,0.22,0.67,Matches
