rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,3.7,3,8,5,62.5,2.14,1.34,0.38,0.60,15.7,1,0,0,1.1,1.1,0.14,+1.9,+1.9,Matches
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,36.2,14,77,32,41.6,2.12,0.88,0.12,0.28,17.5,11,5,7,14.6,9.0,0.12,-0.6,0.0,Matches
35,Roger Assalé,ci CIV,"FW,MF",Leganés,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,16.2,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Matches
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,0.3,0,2,0,0.0,6.00,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,17.7,9,69,28,40.6,3.90,1.58,0.13,0.32,18.5,0,0,0,7.7,7.7,0.12,+1.3,+1.3,Matches
38,Javier Avilés,es ESP,"MF,FW",Leganés,21,1997,2.0,1,5,2,40.0,2.45,0.98,0.20,0.50,18.0,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
39,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,22.2,0,11,0,0.0,0.50,0.00,0.00,,14.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
40,Ramon Azeez,ng NGA,MF,Granada,26,1992,15.1,2,20,3,15.0,1.32,0.20,0.10,0.67,21.0,0,0,0,2.4,2.4,0.12,-0.4,-0.4,Matches
41,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,32.3,0,15,2,13.3,0.47,0.06,0.00,0.00,22.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
42,Carlos Bacca,co COL,FW,Villarreal,32,1986,7.6,2,18,6,33.3,2.35,0.78,0.11,0.33,13.5,0,0,0,3.4,3.4,0.19,-1.4,-1.4,Matches
43,Alex Baena,es ESP,MF,Villarreal,18,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,30,1989,12.1,2,34,12,35.3,2.81,0.99,0.06,0.17,17.3,3,0,0,4.0,4.0,0.12,-2.0,-2.0,Matches
45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,1988,6.3,0,3,0,0.0,0.48,0.00,0.00,,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
46,Éver Banega,ar ARG,MF,Sevilla,31,1988,27.5,3,38,8,21.1,1.38,0.29,0.03,0.13,24.9,4,2,2,3.2,1.6,0.04,-0.2,-0.6,Matches
47,Federico Barba,it ITA,DF,Valladolid,25,1993,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,13.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
48,Enis Bardhi,mk MKD,MF,Levante,24,1995,23.5,7,58,19,32.8,2.47,0.81,0.12,0.37,21.4,11,0,0,5.1,5.1,0.09,+1.9,+1.9,Matches
49,Kike Barja,es ESP,"MF,FW",Osasuna,22,1997,3.5,0,6,3,50.0,1.73,0.86,0.00,0.00,18.4,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
50,Antonio Barragán,es ESP,DF,Betis,32,1987,7.1,0,2,0,0.0,0.28,0.00,0.00,,18.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,17,2001,4.9,1,15,5,33.3,3.05,1.02,0.07,0.20,17.5,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
52,Marc Bartra,es ESP,"DF,MF",Betis,28,1991,28.0,3,23,4,17.4,0.82,0.14,0.13,0.75,18.1,0,0,0,2.5,2.5,0.11,+0.5,+0.5,Matches
53,Gil Bastião Dias,pt POR,"MF,DF",Granada,22,1996,4.0,0,6,2,33.3,1.52,0.51,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
