rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Cruz Azul,34,22,4,8,49,27,22,70,2.06,51.9,36.5,15.4,0.45,900.0,Jonathan Rodríguez - 21,José Corona,
2,América,34,21,7,6,57,36,21,70,2.06,47.3,41.6,5.7,0.17,872.0,Henry Martín - 15,Guillermo Ochoa,
3,León,34,20,6,8,52,37,15,66,1.94,54.0,40.6,13.4,0.4,596.0,Ángel Mena - 15,Rodolfo Cota,
4,Monterrey,34,16,9,9,48,34,14,57,1.68,59.0,37.9,21.1,0.62,829.0,Rogelio Funes Mori - 15,Hugo González Durán,
5,UANL,34,13,12,9,46,36,10,51,1.5,50.5,34.2,16.3,0.48,,André-Pierre Gignac - 14,Nahuel Guzmán,
6,Santos,34,14,9,11,42,33,9,51,1.5,44.0,39.2,4.8,0.14,1318.0,Fernando Gorriarán - 6,Carlos Acevedo,
7,UNAM,34,12,14,8,39,29,10,50,1.47,40.1,48.8,-8.7,-0.25,,Juan Ignacio Dinenno - 14,Alfredo Talavera,
8,Guadalajara,34,12,13,9,41,38,3,49,1.44,43.5,39.6,3.9,0.12,554.0,José Juan Macías - 11,Raúl Gudiño,
9,Puebla,34,13,9,12,47,39,8,48,1.41,42.2,49.6,-7.4,-0.22,,Santiago Ormeño - 15,Antony Silva,
10,Pachuca,34,12,12,10,38,33,5,48,1.41,44.5,36.4,8.0,0.24,1478.0,Ismael Sosa - 6,Óscar Ustari,
11,Toluca,34,12,7,15,49,52,-3,43,1.26,44.9,56.6,-11.7,-0.34,,Alexis Canelo - 17,Luis Manuel García,
12,Atlas,34,10,9,15,33,35,-2,39,1.15,40.5,37.1,3.4,0.1,,Víctor Malcorra - 5,Camilo Vargas,
13,Mazatlán,34,10,7,17,43,57,-14,37,1.09,38.2,51.5,-13.3,-0.39,1012.0,Camilo Sanvezzo - 13,Nicolás Vikonis,
14,Tijuana,34,9,8,17,31,48,-17,35,1.03,43.2,48.8,-5.7,-0.17,,Fidel Martínez - 8,Jonathan Orozco,
15,Necaxa,34,9,8,17,30,49,-19,35,1.03,39.7,47.9,-8.2,-0.24,755.0,Ian Gonzalez Nieto - 6,Luis Ángel Malagón,
16,Querétaro,34,9,7,18,42,53,-11,34,1.0,38.4,44.0,-5.5,-0.16,,"Ángel Sepúlveda, Hugo Silveira - 9",Gil Alcalá,
17,FC Juárez,34,8,10,16,29,48,-19,34,1.0,34.7,49.4,-14.7,-0.43,654.0,Dario Lezcano - 15,"Iván Vázquez, Enrique Palos",
18,Atlético,34,6,5,23,36,68,-32,23,0.68,41.0,57.8,-16.9,-0.5,320.0,Nicolás Ibáñez - 13,Axel Werner,
