squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,32,26.3,52.3,34,374,3060,34.0,57,37,94,49,8,9,49,5,47.3,41.0,27.6,68.6,600,1054,1.68,1.09,2.76,1.44,2.53,1.39,0.81,2.2,1.21,2.02
Atlas,32,27.3,48.5,34,374,3060,34.0,29,12,41,23,6,8,70,8,40.5,34.4,25.6,60.0,514,1097,0.85,0.35,1.21,0.68,1.03,1.19,0.75,1.94,1.01,1.76
Atlético,35,27.4,46.8,34,374,3060,34.0,35,23,58,29,6,9,89,5,41.0,33.7,29.2,62.9,476,960,1.03,0.68,1.71,0.85,1.53,1.2,0.86,2.06,0.99,1.85
Cruz Azul,27,28.7,51.6,34,374,3060,34.0,49,34,83,41,8,11,59,1,51.9,43.4,36.4,79.8,510,1373,1.44,1.0,2.44,1.21,2.21,1.53,1.07,2.6,1.28,2.35
FC Juárez,33,28.7,46.4,34,374,3060,34.0,29,18,47,25,4,8,73,6,34.7,28.4,20.9,49.3,398,1083,0.85,0.53,1.38,0.74,1.26,1.02,0.61,1.64,0.83,1.45
Guadalajara,31,26.1,55.3,34,374,3060,34.0,41,34,75,39,2,6,53,4,43.5,38.8,32.8,71.6,577,1356,1.21,1.0,2.21,1.15,2.15,1.28,0.96,2.24,1.14,2.11
León,28,28.5,61.3,34,374,3060,34.0,51,34,85,43,8,9,64,5,54.0,46.9,40.4,87.3,656,1403,1.5,1.0,2.5,1.26,2.26,1.59,1.19,2.78,1.38,2.57
Mazatlán,36,28.0,49.0,34,374,3060,34.0,42,27,69,37,5,5,76,7,38.2,34.3,27.3,61.6,461,1023,1.24,0.79,2.03,1.09,1.88,1.12,0.8,1.93,1.01,1.81
Monterrey,26,27.6,47.3,34,374,3060,34.0,48,35,83,40,8,9,73,8,59.0,52.0,42.7,94.7,553,1365,1.41,1.03,2.44,1.18,2.21,1.73,1.26,2.99,1.53,2.78
Necaxa,35,26.2,46.1,34,374,3060,34.0,29,16,45,26,3,4,78,5,39.7,36.6,26.8,63.4,422,978,0.85,0.47,1.32,0.76,1.24,1.17,0.79,1.95,1.08,1.87
Pachuca,38,27.9,51.1,34,374,3060,34.0,37,20,57,28,9,11,69,7,44.5,36.0,27.0,62.9,578,1372,1.09,0.59,1.68,0.82,1.41,1.31,0.79,2.1,1.06,1.85
Puebla,34,27.9,47.5,34,374,3060,34.0,47,30,77,38,9,9,67,6,42.2,35.2,27.1,62.2,458,1007,1.38,0.88,2.26,1.12,2.0,1.24,0.8,2.04,1.03,1.83
Querétaro,39,27.9,41.1,34,374,3060,34.0,39,26,65,34,5,7,68,7,38.4,33.0,24.8,57.8,395,929,1.15,0.76,1.91,1.0,1.76,1.13,0.73,1.86,0.97,1.7
Santos,33,25.0,49.3,34,374,3060,34.0,39,27,66,33,6,7,51,3,44.0,38.5,28.7,67.3,595,1210,1.15,0.79,1.94,0.97,1.76,1.29,0.85,2.14,1.13,1.98
Tijuana,38,26.2,53.5,34,374,3060,34.0,30,20,50,25,5,7,81,4,43.2,37.8,30.8,68.5,561,1240,0.88,0.59,1.47,0.74,1.32,1.27,0.9,2.17,1.11,2.02
Toluca,35,28.6,49.0,34,374,3060,34.0,48,37,85,42,6,7,81,2,44.9,39.5,30.5,70.0,475,1037,1.41,1.09,2.5,1.24,2.32,1.32,0.9,2.22,1.16,2.06
UANL,27,29.7,57.2,34,374,3060,34.0,45,34,79,40,5,7,63,8,50.5,45.1,34.4,79.5,621,1378,1.32,1.0,2.32,1.18,2.18,1.49,1.01,2.5,1.33,2.34
UNAM,29,25.6,46.8,34,374,3060,34.0,36,21,57,30,6,7,80,6,40.1,34.6,25.7,60.4,459,1004,1.06,0.62,1.68,0.88,1.5,1.18,0.76,1.94,1.02,1.78
