rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
243,Andreu Fontàs,es ESP,DF,Sporting KC,31,1989,33,33,2970,33.0,0,0,0,0,0,0,2,0,2.3,2.3,0.7,3.0,54,257,11,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
244,Franco Fragapane,ar ARG,"FW,MF",Minnesota Utd,27,1993,19,19,1531,17.0,5,9,14,5,0,1,2,0,5.7,5.0,4.8,9.8,61,77,153,0.29,0.53,0.82,0.29,0.82,0.34,0.28,0.62,0.29,0.57,Matches
245,Waylon Francis,cr CRC,DF,Columbus Crew,30,1990,23,14,1344,14.9,0,0,0,0,0,0,4,0,0.0,0.0,0.6,0.6,21,64,52,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
246,Alan Franco,ar ARG,DF,Atlanta Utd,24,1996,25,23,2013,22.4,0,3,3,0,0,0,7,0,0.5,0.5,1.1,1.7,8,73,2,0.00,0.13,0.13,0.00,0.13,0.02,0.05,0.08,0.02,0.08,Matches
247,Przemysław Frankowski,pl POL,"FW,MF",Chicago Fire,25,1995,13,12,1062,11.8,2,2,4,2,0,0,2,0,3.8,3.8,3.0,6.8,37,64,108,0.17,0.17,0.34,0.17,0.34,0.32,0.25,0.57,0.32,0.57,Matches
248,Liam Fraser,ca CAN,MF,Toronto FC,22,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
249,Liam Fraser,ca CAN,MF,Columbus Crew,22,1998,23,11,1139,12.7,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,2,56,6,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
250,Matt Freese,us USA,GK,Philadelphia Union,22,1998,6,6,506,5.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
251,Stefan Frei,ch SUI,GK,Seattle Sounders,34,1986,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
252,Alejandro Fuenmayor,ve VEN,DF,Houston Dynamo,24,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
253,McKinze Gaines,us USA,FW,Austin,22,1998,9,1,212,2.4,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,5,4,7,0.42,0.00,0.42,0.42,0.42,0.19,0.07,0.25,0.19,0.25,Matches
254,Jon Gallagher,ie IRL,"FW,MF",Austin,24,1996,27,13,1270,14.1,3,1,4,3,0,0,1,0,4.6,4.6,2.5,7.1,35,15,79,0.21,0.07,0.28,0.21,0.28,0.33,0.18,0.51,0.33,0.51,Matches
255,Pedro Gallese,pe PER,GK,Orlando City,30,1990,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
256,Braian Galván,ar ARG,"DF,MF",Colorado Rapids,20,2000,24,14,1202,13.4,2,3,5,2,0,0,4,0,1.0,1.0,1.9,2.9,60,44,118,0.15,0.22,0.37,0.15,0.37,0.07,0.15,0.22,0.07,0.22,Matches
257,Boniek García,hn HON,"DF,MF",Houston Dynamo,36,1984,16,6,708,7.9,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.4,5,32,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
258,Bruno Gaspar,ao ANG,DF,Vancouver W'caps,27,1993,17,11,891,9.9,1,1,2,1,0,0,3,0,0.7,0.7,0.6,1.3,11,29,42,0.10,0.10,0.20,0.10,0.20,0.07,0.06,0.13,0.07,0.13,Matches
259,Chase Gasper,us USA,DF,Minnesota Utd,25,1996,30,30,2627,29.2,1,0,1,1,0,0,9,0,1.4,1.4,1.8,3.2,53,113,160,0.03,0.00,0.03,0.03,0.03,0.05,0.06,0.11,0.05,0.11,Matches
260,Ryan Gauld,sct SCO,"MF,FW",Vancouver W'caps,25,1995,18,13,1308,14.5,4,5,9,4,0,0,1,0,4.4,4.4,5.3,9.6,27,81,103,0.28,0.34,0.62,0.28,0.62,0.30,0.36,0.66,0.30,0.66,Matches
261,Dániel Gazdag,hu HUN,MF,Philadelphia Union,24,1996,23,17,1332,14.8,4,3,7,3,1,1,0,0,6.7,5.9,2.1,8.0,24,66,104,0.27,0.20,0.47,0.20,0.41,0.45,0.14,0.59,0.40,0.54,Matches
262,Kieran Gibbs,eng ENG,"DF,MF",Inter Miami,31,1989,12,10,693,7.7,1,0,1,1,0,0,2,0,0.4,0.4,0.6,1.0,18,29,36,0.13,0.00,0.13,0.13,0.13,0.05,0.08,0.13,0.05,0.13,Matches
263,Carles Gil,es ESP,MF,NE Revolution,28,1992,28,24,2284,25.4,4,11,15,3,1,1,3,0,5.7,4.9,14.4,19.4,138,309,193,0.16,0.43,0.59,0.12,0.55,0.22,0.57,0.79,0.19,0.76,Matches
264,Gastón Giménez,py PAR,MF,Chicago Fire,29,1991,25,22,1955,21.7,2,1,3,2,0,0,4,0,1.5,1.5,1.9,3.4,27,102,41,0.09,0.05,0.14,0.09,0.14,0.07,0.09,0.16,0.07,0.16,Matches
265,Francisco Ginella,uy URU,MF,LAFC,22,1999,17,9,885,9.8,0,0,0,0,0,0,1,0,0.9,0.9,1.7,2.6,9,74,22,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.26,0.09,0.26,Matches
266,Justen Glad,us USA,DF,Real Salt Lake,23,1997,31,31,2786,31.0,2,0,2,2,0,0,8,1,1.7,1.7,0.8,2.6,16,127,9,0.06,0.00,0.06,0.06,0.06,0.06,0.03,0.08,0.06,0.08,Matches
267,Jakob Glesnes,no NOR,DF,Philadelphia Union,26,1994,34,34,3060,34.0,3,2,5,3,0,0,7,0,1.5,1.5,0.8,2.3,43,116,1,0.09,0.06,0.15,0.09,0.15,0.05,0.02,0.07,0.05,0.07,Matches
268,Chris Gloster,us USA,DF,NYCFC,20,2000,4,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,Matches
269,Marcus Godinho,ca CAN,"DF,MF",Vancouver W'caps,23,1997,4,1,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,9,12,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
270,Aníbal Godoy,pa PAN,MF,Nashville SC,30,1990,26,22,2019,22.4,0,1,1,0,0,0,7,0,1.1,1.1,1.3,2.4,29,127,42,0.00,0.04,0.04,0.00,0.04,0.05,0.06,0.11,0.05,0.11,Matches
271,Erik Godoy,ar ARG,DF,Vancouver W'caps,27,1993,17,15,1308,14.5,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,9,56,5,0.07,0.00,0.07,0.07,0.07,0.06,0.00,0.06,0.06,0.06,Matches
272,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,28,1992,33,29,2660,29.6,1,0,1,1,0,0,9,0,1.9,1.9,0.9,2.7,4,84,6,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches
273,Omar Gonzalez,us USA,DF,Toronto FC,32,1988,27,26,2298,25.5,3,0,3,3,0,0,5,0,1.3,1.3,1.7,3.0,6,60,3,0.12,0.00,0.12,0.12,0.12,0.05,0.07,0.12,0.05,0.12,Matches
274,Leandro González Pirez,ar ARG,DF,Inter Miami,28,1992,30,30,2655,29.5,0,3,3,0,0,0,15,0,1.6,1.6,2.1,3.7,23,111,7,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.13,0.05,0.13,Matches
