rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,NE Revolution,34,22,7,5,65,41,24,73,2.15,59.4,48.1,11.3,0.33,13705,Adam Buksa - 16,Matt Turner,→ Conference Semifinals
2,Philadelphia Union,34,14,12,8,48,35,13,54,1.59,49.4,41.7,7.7,0.23,14749,Kacper Przybyłko - 12,Andre Blake,→ First Round
3,Nashville SC,34,12,18,4,55,33,22,54,1.59,50.5,37.9,12.6,0.37,19017,Hany Mukhtar - 16,Joe Willis,→ First Round
4,NYCFC,34,14,9,11,56,36,20,51,1.5,58.8,36.9,21.9,0.64,3401,Valentín Castellanos - 19,Sean Johnson,→ First Round
5,Atlanta Utd,34,13,12,9,45,37,8,51,1.5,47.7,48.8,-1.1,-0.03,43964,Josef Martínez - 12,Brad Guzan,→ First Round
6,Orlando City,34,13,12,9,50,48,2,51,1.5,46.4,43.3,3.1,0.09,14723,"Nani, Daryl Dike - 10",Pedro Gallese,→ First Round
7,NY Red Bulls,34,13,9,12,39,33,6,48,1.41,50.6,39.9,10.7,0.31,10065,Patryk Klimala - 8,Carlos Coronel,→ First Round
8,D.C. United,34,14,5,15,56,54,2,47,1.38,55.7,43.8,11.9,0.35,11880,Ola Kamara - 19,Bill Hamid,
9,Columbus Crew,34,13,8,13,46,45,1,47,1.38,43.3,49.3,-6.0,-0.18,16583,Lucas Zelarayán - 12,Eloy Room,
10,CF Montréal,34,12,10,12,46,44,2,46,1.35,48.5,44.3,4.2,0.12,647,Romell Quioto - 8,James Pantemis,
11,Inter Miami,34,12,5,17,36,53,-17,41,1.21,38.3,57.2,-18.9,-0.56,11635,Gonzalo Higuaín - 12,Nick Marsman,
12,Chicago Fire,34,9,7,18,36,54,-18,34,1.0,46.0,57.0,-11.0,-0.32,10226,"Luka Stojanović, Robert Berić - 8",Bobby Shuttleworth,
13,Toronto FC,34,6,10,18,39,66,-27,28,0.82,44.4,61.4,-16.9,-0.5,4181,"Jozy Altidore, Jonathan Osorio - 4",Alex Bono,
14,FC Cincinnati,34,4,8,22,37,74,-37,20,0.59,42.2,62.2,-20.0,-0.59,21175,Brenner - 8,Kenneth Vermeer,
