rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Paxten Aaronson,us USA,MF,Philadelphia Union,17,2003,6.6,3,11,9,81.8,1.66,1.35,0.27,0.33,17.5,0,0,0,1.0,1.0,0.09,+2.0,+2.0,Matches
2,Saad Abdul-Salaam,us USA,DF,Columbus Crew,29,1991,10.3,0,3,1,33.3,0.29,0.10,0.00,0.00,34.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
3,Luciano Abecasis,ar ARG,"DF,MF",SJ Earthquakes,30,1990,13.7,0,8,2,25.0,0.58,0.15,0.00,0.00,20.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
4,Ramón Ábila,ar ARG,"FW,MF",D.C. United,31,1989,2.5,3,8,5,62.5,3.20,2.00,0.38,0.60,10.4,0,0,0,0.8,0.8,0.10,+2.2,+2.2,Matches
5,Ramón Ábila,ar ARG,"FW,MF",Minnesota Utd,31,1989,3.0,2,12,5,41.7,4.03,1.68,0.17,0.40,14.8,0,0,1,2.5,1.6,0.14,-0.5,+0.4,Matches
6,Lalas Abubakar,gh GHA,DF,Colorado Rapids,26,1994,21.3,2,11,2,18.2,0.52,0.09,0.18,1.00,8.9,0,0,0,1.2,1.2,0.11,+0.8,+0.8,Matches
7,Nicolás Acevedo,uy URU,MF,NYCFC,21,1999,15.0,0,12,2,16.7,0.80,0.13,0.00,0.00,26.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
8,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,23,1997,9.1,2,18,8,44.4,1.97,0.88,0.11,0.25,14.5,0,0,0,2.7,2.7,0.15,-0.7,-0.7,Matches
9,Bryan Acosta,hn HON,MF,FC Dallas,27,1993,17.5,0,34,8,23.5,1.94,0.46,0.00,0.00,28.1,5,0,0,1.4,1.4,0.04,-1.4,-1.4,Matches
10,Danilo Acosta,hn HON,DF,LA Galaxy,23,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Kellyn Acosta,us USA,"MF,DF",Colorado Rapids,25,1995,19.1,1,17,2,11.8,0.89,0.10,0.06,0.50,23.8,2,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
12,Luciano Acosta,ar ARG,"MF,FW",FC Cincinnati,26,1994,29.9,7,60,24,40.0,2.00,0.80,0.12,0.29,19.3,9,0,0,6.6,6.6,0.11,+0.4,+0.4,Matches
13,Mo Adams,eng ENG,MF,Atlanta Utd,24,1996,1.6,0,1,0,0.0,0.61,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
14,Samuel Adeniran,us USA,"FW,MF",Seattle Sounders,22,1998,0.7,0,4,1,25.0,6.10,1.53,0.00,0.00,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
15,Fanendo Adi,ng NGA,"FW,MF",Minnesota Utd,30,1990,2.3,1,8,1,12.5,3.43,0.43,0.13,1.00,8.9,0,0,0,1.4,1.4,0.21,-0.4,-0.4,Matches
16,Harrison Afful,gh GHA,DF,Columbus Crew,34,1986,20.2,0,13,2,15.4,0.64,0.10,0.00,0.00,23.9,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
17,Juan Agudelo,us USA,FW,Minnesota Utd,28,1992,2.7,0,10,2,20.0,3.67,0.73,0.00,0.00,11.8,0,0,0,1.8,1.8,0.18,-1.8,-1.8,Matches
18,Raul Aguilera Jr.,us USA,MF,Orlando City,21,1999,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
19,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,21,1999,0.4,0,2,0,0.0,5.29,0.00,0.00,,12.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
20,Matheus Aiás,br BRA,FW,Orlando City,24,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Arnaud Ake,ci CIV,"FW,MF",Nashville SC,22,1998,4.4,1,5,3,60.0,1.14,0.69,0.20,0.33,19.1,0,0,0,0.7,0.7,0.15,+0.3,+0.3,Matches
22,Tesho Akindele,ca CAN,FW,Orlando City,28,1992,15.2,3,28,10,35.7,1.84,0.66,0.11,0.30,13.6,0,0,1,6.3,5.5,0.20,-3.3,-2.5,Matches
23,Ayo Akinola,ca CAN,FW,Toronto FC,21,2000,7.2,3,14,6,42.9,1.95,0.84,0.21,0.50,14.2,0,0,0,2.5,2.5,0.18,+0.5,+0.5,Matches
24,Oswaldo Alanís,mx MEX,DF,SJ Earthquakes,31,1989,22.7,2,16,7,43.8,0.71,0.31,0.00,0.00,21.2,5,2,2,2.2,0.7,0.04,-0.2,-0.7,Matches
25,Caio Alexandre,br BRA,MF,Vancouver W'caps,21,1999,10.6,0,17,2,11.8,1.60,0.19,0.00,0.00,19.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Tony Alfaro,us USA,DF,D.C. United,27,1993,20.5,1,10,1,10.0,0.49,0.05,0.10,1.00,9.9,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
27,Ignacio Aliseda,ar ARG,"FW,MF",Chicago Fire,20,2000,17.7,4,27,14,51.9,1.52,0.79,0.15,0.29,16.9,0,0,0,3.4,3.4,0.13,+0.6,+0.6,Matches
28,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,35,1985,15.7,1,16,1,6.3,1.02,0.06,0.06,1.00,25.5,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
29,Jozy Altidore,us USA,FW,Toronto FC,31,1989,8.5,4,22,9,40.9,2.58,1.05,0.18,0.44,13.8,2,0,0,3.0,3.0,0.14,+1.0,+1.0,Matches
30,Alexander Alvarado,ec ECU,"MF,FW",Orlando City,21,1999,2.2,0,1,0,0.0,0.46,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
31,Ventura Alvarado,us USA,DF,Inter Miami,28,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Efrain Alvarez,mx MEX,"FW,MF",LA Galaxy,18,2002,13.9,2,36,9,25.0,2.59,0.65,0.06,0.22,21.0,5,0,0,2.5,2.5,0.07,-0.5,-0.5,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,20,2000,9.3,1,10,4,40.0,1.07,0.43,0.10,0.25,21.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
34,Mikey Ambrose,us USA,"DF,MF",Atlanta Utd,27,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,Malte Amundsen,dk DEN,DF,NYCFC,22,1998,15.5,1,10,3,30.0,0.65,0.19,0.10,0.33,20.7,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
36,Sebastian Anderson,us USA,DF,Colorado Rapids,18,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,José Andrés Martínez,ve VEN,MF,Philadelphia Union,26,1994,21.7,0,23,2,8.7,1.06,0.09,0.00,0.00,32.3,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
38,Jalil Anibaba,us USA,DF,Nashville SC,32,1988,7.1,1,3,1,33.3,0.43,0.14,0.33,1.00,15.1,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
39,Brian Anunga,cm CMR,MF,Nashville SC,24,1996,16.8,1,17,3,17.6,1.01,0.18,0.06,0.33,24.3,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
40,Cristian Arango,co COL,FW,LAFC,25,1995,15.5,14,58,27,46.6,3.74,1.74,0.16,0.33,18.5,7,5,5,12.3,8.4,0.15,+1.7,+0.6,Matches
41,Julian Araujo,mx MEX,DF,LA Galaxy,19,2001,31.0,0,14,1,7.1,0.45,0.03,0.00,0.00,18.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
42,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,24,1996,12.8,4,47,17,36.2,3.68,1.33,0.09,0.24,22.2,4,0,0,4.4,4.4,0.09,-0.4,-0.4,Matches
43,Daniel Armando Ríos,mx MEX,FW,Nashville SC,25,1995,4.1,1,17,5,29.4,4.10,1.21,0.06,0.20,13.3,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
44,Xavier Arreaga,ec ECU,DF,Seattle Sounders,26,1994,24.0,2,10,6,60.0,0.42,0.25,0.20,0.33,8.0,0,0,0,1.7,1.7,0.17,+0.3,+0.3,Matches
45,Paul Arriola,us USA,"FW,MF",D.C. United,25,1995,15.1,6,39,11,28.2,2.59,0.73,0.15,0.55,16.6,1,0,0,5.1,5.1,0.13,+0.9,+0.9,Matches
46,Artur,br BRA,MF,Columbus Crew,24,1996,4.8,0,3,2,66.7,0.63,0.42,0.00,0.00,17.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
47,Yamil Asad,ar ARG,"MF,FW",D.C. United,26,1994,7.2,2,9,3,33.3,1.25,0.42,0.11,0.33,24.3,1,1,1,1.7,0.9,0.10,+0.3,+0.1,Matches
48,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,28,1992,23.2,10,62,22,35.5,2.67,0.95,0.15,0.41,16.7,0,1,1,7.5,6.7,0.11,+2.5,+2.3,Matches
49,Isaac Atanga,gh GHA,"FW,MF",FC Cincinnati,20,2000,11.4,1,19,8,42.1,1.67,0.70,0.05,0.13,17.2,0,0,0,2.3,2.3,0.12,-1.3,-1.3,Matches
50,Joshua Atencio,us USA,MF,Seattle Sounders,19,2002,16.8,0,6,4,66.7,0.36,0.24,0.00,0.00,27.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Jeff Attinella,us USA,GK,Portland Timbers,32,1988,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,Eduard Atuesta,co COL,MF,LAFC,23,1997,23.6,2,42,13,31.0,1.78,0.55,0.02,0.08,24.9,14,1,1,3.0,2.2,0.05,-1.0,-1.2,Matches
53,Auro,br BRA,"DF,MF",Toronto FC,25,1996,22.1,0,11,4,36.4,0.50,0.18,0.00,0.00,24.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
54,Brandon Austin,eng ENG,GK,Orlando City,22,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Edison Azcona,do DOM,"FW,MF",Inter Miami,17,2003,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Dominique Badji,sn SEN,FW,Nashville SC,28,1992,2.1,0,10,5,50.0,4.79,2.39,0.00,0.00,18.9,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
57,Dominique Badji,sn SEN,"FW,MF",Colorado Rapids,28,1992,3.6,5,12,7,58.3,3.29,1.92,0.42,0.71,14.4,0,0,0,1.7,1.7,0.14,+3.3,+3.3,Matches
58,Zico Bailey,ph PHI,DF,FC Cincinnati,20,2000,7.6,1,6,5,83.3,0.79,0.66,0.17,0.20,16.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
59,Theo Bair,ca CAN,FW,Vancouver W'caps,21,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Corey Baird,us USA,FW,Houston Dynamo,25,1996,4.0,0,9,5,55.6,2.24,1.24,0.00,0.00,16.9,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
61,Corey Baird,us USA,FW,LAFC,25,1996,8.3,3,15,8,53.3,1.80,0.96,0.20,0.38,14.9,0,0,0,2.6,2.6,0.18,+0.4,+0.4,Matches
62,Mateo Bajamich,ar ARG,"FW,MF",Houston Dynamo,21,1999,1.5,0,3,1,33.3,1.94,0.65,0.00,0.00,17.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
63,Reed Baker-Whiting,us USA,"MF,FW",Seattle Sounders,15,2005,2.2,0,3,2,66.7,1.34,0.90,0.00,0.00,11.6,0,0,0,0.8,0.8,0.25,-0.8,-0.8,Matches
64,Michael Baldisimo,ph PHI,MF,Vancouver W'caps,20,2000,13.9,0,7,1,14.3,0.50,0.07,0.00,0.00,28.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
65,Grayson Barber,us USA,FW,Sporting KC,20,2000,2.4,0,2,0,0.0,0.83,0.00,0.00,,18.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches
66,Esequiel Barco,ar ARG,"FW,MF",Atlanta Utd,21,1999,23.7,7,60,19,31.7,2.53,0.80,0.10,0.32,23.1,15,1,1,5.2,4.4,0.07,+1.8,+1.6,Matches
67,Tom Barlow,us USA,"FW,MF",NY Red Bulls,25,1995,5.5,1,11,3,27.3,1.98,0.54,0.09,0.33,13.6,0,0,0,2.2,2.2,0.20,-1.2,-1.2,Matches
68,Luis Barraza,us USA,GK,NYCFC,24,1996,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Álvaro Barreal,ar ARG,"FW,MF",FC Cincinnati,20,2000,24.5,3,55,13,23.6,2.24,0.53,0.05,0.23,20.4,9,0,0,4.7,4.7,0.09,-1.7,-1.7,Matches
70,Michael Barrios,co COL,"FW,MF",Colorado Rapids,29,1991,23.3,8,55,21,38.2,2.37,0.90,0.15,0.38,15.7,0,0,0,7.1,7.1,0.13,+0.9,+0.9,Matches
71,Cole Bassett,us USA,"MF,FW",Colorado Rapids,19,2001,24.6,5,59,17,28.8,2.40,0.69,0.07,0.24,16.3,1,1,1,8.0,7.2,0.12,-3.0,-3.2,Matches
72,Zorhan Bassong,ca CAN,DF,CF Montréal,21,1999,13.9,0,5,1,20.0,0.36,0.07,0.00,0.00,18.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
73,Clement Bayiha,ca CAN,DF,CF Montréal,21,1999,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Tanner Beason,us USA,DF,SJ Earthquakes,23,1997,21.4,0,14,3,21.4,0.65,0.14,0.00,0.00,9.6,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Matches
75,Alejandro Bedoya,us USA,MF,Philadelphia Union,33,1987,29.5,3,36,15,41.7,1.22,0.51,0.08,0.20,13.8,0,0,0,4.6,4.6,0.13,-1.6,-1.6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Steven Beitashour,ir IRN,DF,Colorado Rapids,33,1987,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,Jon Bell,jm JAM,DF,NE Revolution,23,1997,9.1,1,3,2,66.7,0.33,0.22,0.33,0.50,9.1,0,0,0,0.6,0.6,0.19,+0.4,+0.4,Matches
78,George Bello,us USA,"DF,MF",Atlanta Utd,19,2002,27.1,1,29,9,31.0,1.07,0.33,0.03,0.11,16.1,0,0,0,3.8,3.8,0.13,-2.8,-2.8,Matches
79,Joe Bendik,us USA,GK,Philadelphia Union,31,1989,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,Nicolas Benezet,fr FRA,"MF,FW",Colorado Rapids,29,1991,3.2,0,5,1,20.0,1.54,0.31,0.00,0.00,18.3,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
81,Nicolas Benezet,fr FRA,"MF,FW",Seattle Sounders,29,1991,7.4,3,14,9,64.3,1.90,1.22,0.21,0.33,14.4,0,0,0,3.0,3.0,0.22,0.0,0.0,Matches
82,Sebastian Berhalter,us USA,MF,Austin,19,2001,7.3,0,3,0,0.0,0.41,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
83,Robert Berić,si SVN,FW,Chicago Fire,29,1991,24.4,8,78,26,33.3,3.20,1.07,0.10,0.31,12.5,0,0,0,11.6,11.6,0.15,-3.6,-3.6,Matches
84,Miguel Berry,es ESP,FW,Columbus Crew,23,1997,9.4,8,27,17,63.0,2.88,1.81,0.30,0.47,11.1,0,0,0,5.8,5.8,0.22,+2.2,+2.2,Matches
85,Matt Besler,us USA,DF,Austin,33,1987,19.4,0,2,0,0.0,0.10,0.00,0.00,,5.4,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
86,Nick Besler,us USA,MF,Real Salt Lake,27,1993,18.3,0,8,2,25.0,0.44,0.11,0.00,0.00,13.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
87,Janio Bikel,gw GNB,"MF,DF",Vancouver W'caps,25,1995,25.6,1,6,2,33.3,0.23,0.08,0.17,0.50,17.3,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
88,Steve Birnbaum,us USA,DF,D.C. United,30,1991,18.0,2,12,5,41.7,0.67,0.28,0.17,0.40,9.8,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
89,José Bizama,cl CHI,DF,Houston Dynamo,26,1994,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Tyler Blackett,eng ENG,DF,FC Cincinnati,26,1994,8.6,1,4,2,50.0,0.46,0.23,0.25,0.50,8.2,0,0,0,0.5,0.5,0.11,+0.5,+0.5,Matches
91,Jamal Blackman,eng ENG,GK,LAFC,27,1993,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,Tristan Blackmon,us USA,DF,LAFC,24,1996,14.4,1,7,1,14.3,0.49,0.07,0.14,1.00,10.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
93,Andre Blake,jm JAM,GK,Philadelphia Union,30,1990,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,Sebastián Blanco,ar ARG,"MF,FW",Portland Timbers,32,1988,13.1,7,43,19,44.2,3.28,1.45,0.16,0.37,18.3,0,0,0,5.7,5.7,0.13,+1.3,+1.3,Matches
95,Latif Blessing,gh GHA,"MF,DF",LAFC,24,1996,24.5,2,24,9,37.5,0.98,0.37,0.08,0.22,16.8,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches
96,Emmanuel Boateng,gh GHA,"MF,FW",NE Revolution,27,1994,4.2,2,6,2,33.3,1.42,0.47,0.33,1.00,12.6,0,0,0,0.8,0.8,0.13,+1.2,+1.2,Matches
97,Blake Bodily,us USA,"FW,DF",Portland Timbers,23,1998,2.3,0,5,2,40.0,2.20,0.88,0.00,0.00,17.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
98,Jonathan Bond,eng ENG,GK,LA Galaxy,27,1993,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Pablo Bonilla,ve VEN,DF,Portland Timbers,21,1999,15.1,0,8,1,12.5,0.53,0.07,0.00,0.00,21.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
100,Alex Bono,us USA,GK,Toronto FC,26,1994,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Jonathan Bornstein,us USA,"DF,FW",Chicago Fire,36,1984,24.7,0,5,1,20.0,0.20,0.04,0.00,0.00,14.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
102,Gustavo Bou,ar ARG,FW,NE Revolution,30,1990,25.8,15,89,33,37.1,3.45,1.28,0.16,0.42,19.4,3,1,2,11.9,10.2,0.11,+3.1,+3.8,Matches
103,Michael Boxall,nz NZL,DF,Minnesota Utd,32,1988,24.3,0,9,1,11.1,0.37,0.04,0.00,0.00,9.0,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
104,Michael Bradley,us USA,MF,Toronto FC,33,1987,29.9,1,18,4,22.2,0.60,0.13,0.06,0.25,24.2,2,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
