squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
B-SAD,29,26.6,45.3,34,374,3060,34.0,25,14,39,22,3,4,87,5,33.9,30.7,22.1,52.8,375,1028,0.74,0.41,1.15,0.65,1.06,1.0,0.65,1.64,0.9,1.55
Benfica,32,27.2,62.6,34,374,3060,34.0,65,56,121,63,2,2,83,0,69.7,68.1,61.3,129.4,766,1932,1.91,1.65,3.56,1.85,3.5,2.05,1.8,3.85,2.0,3.81
Boavista,25,24.1,43.4,34,374,3060,34.0,36,27,63,33,3,3,85,10,38.5,36.2,26.1,62.3,484,882,1.06,0.79,1.85,0.97,1.76,1.13,0.77,1.9,1.06,1.83
Braga,33,26.5,57.1,34,374,3060,34.0,53,36,89,48,5,6,62,5,55.0,50.3,42.6,92.9,583,1598,1.56,1.06,2.62,1.41,2.47,1.62,1.25,2.87,1.48,2.73
Famalicão,40,22.9,51.0,34,374,3060,34.0,40,22,62,35,5,7,98,4,37.7,32.1,21.8,53.9,524,1112,1.18,0.65,1.82,1.03,1.68,1.11,0.64,1.75,0.94,1.58
Farense,30,27.1,43.2,34,374,3060,34.0,30,18,48,25,5,8,82,7,42.3,35.9,25.8,61.7,340,928,0.88,0.53,1.41,0.74,1.26,1.24,0.76,2.0,1.06,1.82
Gil Vicente FC,29,26.5,47.9,34,374,3060,34.0,32,18,50,26,6,9,69,5,38.0,30.9,24.4,55.3,475,1169,0.94,0.53,1.47,0.76,1.29,1.12,0.72,1.84,0.91,1.63
Marítimo,33,26.3,44.4,34,374,3060,34.0,27,17,44,25,2,4,102,3,35.4,32.5,23.8,56.3,428,823,0.79,0.5,1.29,0.74,1.24,1.04,0.7,1.74,0.96,1.66
Moreirense,31,26.1,47.3,34,374,3060,34.0,32,19,51,28,4,5,84,1,36.9,33.0,24.4,57.4,460,1024,0.94,0.56,1.5,0.82,1.38,1.08,0.72,1.8,0.97,1.69
Nacional,30,26.5,46.9,34,374,3060,34.0,28,23,51,28,0,2,97,5,32.9,31.3,23.3,54.6,462,916,0.82,0.68,1.5,0.82,1.5,0.97,0.68,1.65,0.92,1.6
Paços de Ferreira,27,26.4,46.1,34,374,3060,34.0,39,25,64,34,5,6,71,3,36.8,32.5,23.4,55.9,397,919,1.15,0.74,1.88,1.0,1.74,1.08,0.69,1.77,0.96,1.64
Portimonense,28,26.0,51.0,34,374,3060,34.0,33,24,57,30,3,4,83,1,37.6,34.5,26.4,60.9,413,1133,0.97,0.71,1.68,0.88,1.59,1.11,0.78,1.88,1.01,1.79
Porto,31,27.3,60.6,34,374,3060,34.0,72,50,122,59,13,16,63,4,65.6,53.1,43.2,96.4,638,1645,2.12,1.47,3.59,1.74,3.21,1.93,1.27,3.2,1.56,2.83
Rio Ave,30,27.6,51.8,34,374,3060,34.0,24,15,39,21,3,5,71,6,36.2,32.1,23.6,55.7,557,1160,0.71,0.44,1.15,0.62,1.06,1.06,0.69,1.76,0.94,1.64
Santa Clara,29,27.1,47.9,34,374,3060,34.0,41,25,66,34,7,9,96,4,45.0,37.9,29.1,67.0,420,1061,1.21,0.74,1.94,1.0,1.74,1.32,0.86,2.18,1.11,1.97
Sporting CP,30,25.5,57.2,34,374,3060,34.0,64,36,100,56,8,10,89,3,62.6,55.0,42.9,97.9,594,1244,1.88,1.06,2.94,1.65,2.71,1.84,1.26,3.1,1.62,2.88
Tondela,26,26.1,47.4,34,374,3060,34.0,36,28,64,34,2,5,80,6,34.0,30.3,24.4,54.7,402,1101,1.06,0.82,1.88,1.0,1.82,1.0,0.72,1.72,0.89,1.61
Vitória,30,24.7,49.0,34,374,3060,34.0,36,21,57,33,3,5,77,3,36.9,32.9,24.3,57.2,572,1191,1.06,0.62,1.68,0.97,1.59,1.08,0.71,1.8,0.97,1.68
