rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Vissel Kobe,34,21,8,5,60,29,31,71,2.09,22256,Yuya Osako - 22,Daiya Maekawa,
2,Marinos,34,19,7,8,63,40,23,64,1.88,27716,Anderson Lopes - 22,Jun Ichimori,
3,Sanfrecce,34,17,7,10,42,28,14,58,1.71,16128,Douglas Vieira - 8,Keisuke Ōsako,
4,Urawa Reds,34,15,12,7,42,27,15,57,1.68,30509,José Kanté - 8,Shusaku Nishikawa,
5,Kashima Antlers,34,14,10,10,43,34,9,52,1.53,22031,Yuma Suzuki - 14,Tomoki Hayakawa,
6,Grampus,34,14,10,10,41,36,5,52,1.53,27504,Kasper Junker - 16,Mitchell Langerak,
7,Avispa Fukuoka,34,15,6,13,37,43,-6,51,1.5,9766,Yuya Yamagishi - 10,Masaaki Murakami,
8,Kawa Frontale,34,14,8,12,51,45,6,50,1.47,19872,Yasuto Wakizaka - 9,Jung Sung-ryong,
9,Cerezo Osaka,34,15,4,15,39,34,5,49,1.44,17074,Leonardo - 11,Kim Jin-hyeon,
10,Albirex Niigata,34,11,12,11,36,40,-4,45,1.32,23061,Ryotaro Ito - 7,Ryosuke Kojima,
11,FC Tokyo,34,12,7,15,42,46,-4,43,1.26,29410,Diego Oliveira - 15,Jakub Słowik,
12,Consa Sapporo,34,10,10,14,56,61,-5,40,1.18,16059,Yuya Asano - 12,Takanori Sugeno,
13,Kyoto Sanga,34,12,4,18,40,45,-5,40,1.18,13229,"Yuta Toyokawa, Patric - 10",Tomoya Wakahara,
14,Sagan Tosu,34,9,11,14,43,47,-4,38,1.12,10231,Yoichi Naganuma - 10,Park Iru-gyu,
15,Shonan Bellmare,34,8,10,16,40,56,-16,34,1.0,13161,Yuki Ohashi - 13,Song Bumkeun,
16,Gamba Osaka,34,9,7,18,38,61,-23,34,1.0,23273,Juan Alano - 7,Masaaki Higashiguchi,
17,Kashiwa Reysol,34,6,15,13,33,47,-14,33,0.97,11130,Mao Hosoya - 14,Kenta Matsumoto,
18,Yokohama FC,34,7,8,19,31,58,-27,29,0.85,9128,Koki Ogawa - 6,Kengo Nagai,Relegated
