squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Albirex Niigata,28,26.7,57.7,34,374,3060,34.0,35,25,60,34,1,1,41,2,1.03,0.74,1.76,1.0,1.74
Avispa Fukuoka,28,28.2,42.9,34,374,3060,34.0,37,26,63,32,5,6,57,0,1.09,0.76,1.85,0.94,1.71
Cerezo Osaka,29,28.6,50.9,34,374,3060,34.0,35,25,60,32,3,3,27,1,1.03,0.74,1.76,0.94,1.68
Consa Sapporo,28,27.6,55.7,34,374,3060,34.0,56,36,92,53,3,5,54,2,1.65,1.06,2.71,1.56,2.62
FC Tokyo,32,28.6,49.4,34,374,3060,34.0,40,32,72,37,3,5,66,3,1.18,0.94,2.12,1.09,2.03
Gamba Osaka,30,27.4,52.6,34,374,3060,34.0,38,28,66,35,3,4,57,1,1.12,0.82,1.94,1.03,1.85
Grampus,29,28.9,44.7,34,374,3060,34.0,40,28,68,38,2,3,46,0,1.18,0.82,2.0,1.12,1.94
Kashima Antlers,28,26.2,47.0,34,374,3060,34.0,43,28,71,40,3,4,47,5,1.26,0.82,2.09,1.18,2.0
Kashiwa Reysol,32,25.9,43.1,34,374,3060,34.0,31,21,52,28,3,3,58,4,0.91,0.62,1.53,0.82,1.44
Kawa Frontale,29,28.8,56.4,34,374,3060,34.0,48,32,80,42,6,7,42,7,1.41,0.94,2.35,1.24,2.18
Kyoto Sanga,31,25.9,45.1,34,374,3060,34.0,39,28,67,35,4,4,46,3,1.15,0.82,1.97,1.03,1.85
Marinos,30,27.8,57.6,34,374,3060,34.0,60,49,109,58,2,2,33,4,1.76,1.44,3.21,1.71,3.15
Sagan Tosu,28,27.4,52.6,34,374,3060,34.0,41,29,70,37,4,5,42,3,1.21,0.85,2.06,1.09,1.94
Sanfrecce,29,27.1,51.8,34,374,3060,34.0,40,29,69,36,4,4,43,0,1.18,0.85,2.03,1.06,1.91
Shonan Bellmare,33,27.3,48.4,34,374,3060,34.0,39,28,67,34,5,5,59,1,1.15,0.82,1.97,1.0,1.82
Urawa Reds,27,28.9,50.9,34,374,3060,34.0,41,22,63,34,7,8,43,2,1.21,0.65,1.85,1.0,1.65
Vissel Kobe,28,29.1,49.0,34,374,3060,34.0,59,40,99,53,6,6,45,1,1.74,1.18,2.91,1.56,2.74
Yokohama FC,30,26.3,45.3,34,374,3060,34.0,29,19,48,25,4,5,55,1,0.85,0.56,1.41,0.74,1.29
