rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
1,Hiroyuki Abe,jp JPN,FW,Shonan Bellmare,33,1989,16.3,,,,,,,,,,,,,,,,,,,,,Matches
2,Shuto Abe,jp JPN,MF,FC Tokyo,25,1997,13.7,,,,,,,,,,,,,,,,,,,,,Matches
3,Adaílton,br BRA,"FW,MF",FC Tokyo,32,1990,14.9,,,,,,,,,,,,,,,,,,,,,Matches
4,Takahiro Akimoto,jp JPN,DF,Urawa Reds,25,1998,22.1,,,,,,,,,,,,,,,,,,,,,Matches
5,Hiroki Akiyama,jp JPN,MF,Albirex Niigata,22,2000,14.9,,,,,,,,,,,,,,,,,,,,,Matches
6,Juan Alano,br BRA,"FW,MF",Gamba Osaka,26,1996,25.3,,,,,,,,,,,,,,,,,,,,,Matches
7,Lukian Araújo de Almeida,br BRA,"FW,MF",Avispa Fukuoka,31,1991,22.2,,,,,,,,,,,,,,,,,,,,,Matches
8,Koki Anzai,jp JPN,DF,Kashima Antlers,27,1995,29.4,,,,,,,,,,,,,,,,,,,,,Matches
9,Soma Anzai,jp JPN,DF,FC Tokyo,20,2002,0.8,,,,,,,,,,,,,,,,,,,,,Matches
10,Ryota Aoki,jp JPN,MF,Consa Sapporo,26,1996,11.8,,,,,,,,,,,,,,,,,,,,,Matches
11,Takuya Aoki,jp JPN,MF,FC Tokyo,33,1989,2.5,,,,,,,,,,,,,,,,,,,,,Matches
12,Toshihiro Aoyama,jp JPN,MF,Sanfrecce,36,1986,0.9,,,,,,,,,,,,,,,,,,,,,Matches
13,Haruki Arai,jp JPN,MF,Cerezo Osaka,24,1998,0.9,,,,,,,,,,,,,,,,,,,,,Matches
14,Mizuki Arai,jp JPN,MF,Vissel Kobe,25,1997,1.0,,,,,,,,,,,,,,,,,,,,,Matches
15,Mizuki Arai,jp JPN,MF,Yokohama FC,25,1997,1.3,,,,,,,,,,,,,,,,,,,,,Matches
16,Naoto Arai,jp JPN,DF,Albirex Niigata,26,1996,19.6,,,,,,,,,,,,,,,,,,,,,Matches
17,Yūta Arai,jp JPN,MF,FC Tokyo,18,2004,0.3,,,,,,,,,,,,,,,,,,,,,Matches
18,Daigo Araki,jp JPN,DF,Kyoto Sanga,28,1994,2.7,,,,,,,,,,,,,,,,,,,,,Matches
19,Hayato Araki,jp JPN,DF,Sanfrecce,26,1996,30.7,,,,,,,,,,,,,,,,,,,,,Matches
20,Ryotaro Araki,jp JPN,"MF,FW",Kashima Antlers,21,2002,5.0,,,,,,,,,,,,,,,,,,,,,Matches
21,Takuma Arano,jp JPN,MF,Consa Sapporo,29,1993,26.3,,,,,,,,,,,,,,,,,,,,,Matches
22,Arthur,br BRA,"FW,MF",Kashima Antlers,30,1992,3.2,,,,,,,,,,,,,,,,,,,,,Matches
23,Shogo Asada,jp JPN,DF,Kyoto Sanga,24,1998,33.0,,,,,,,,,,,,,,,,,,,,,Matches
24,Yuya Asano,jp JPN,"MF,FW",Consa Sapporo,25,1997,29.4,,,,,,,,,,,,,,,,,,,,,Matches
25,Shun Ayukawa,jp JPN,FW,Sanfrecce,21,2001,0.5,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
26,Seiya Baba,jp JPN,MF,Consa Sapporo,21,2001,11.0,,,,,,,,,,,,,,,,,,,,,Matches
27,Kashif Bangunagande,jp JPN,DF,FC Tokyo,21,2001,12.3,,,,,,,,,,,,,,,,,,,,,Matches
28,Akimi Barada,jp JPN,MF,Shonan Bellmare,31,1991,7.2,,,,,,,,,,,,,,,,,,,,,Matches
29,Nassim Ben Khalifa,ch SUI,FW,Sanfrecce,31,1992,13.2,,,,,,,,,,,,,,,,,,,,,Matches
30,Paulinho Bóia,br BRA,"FW,MF",Kyoto Sanga,24,1998,1.9,,,,,,,,,,,,,,,,,,,,,Matches
31,Svend Brodersen,de GER,GK,Yokohama FC,25,1997,13.0,,,,,,,,,,,,,,,,,,,,,Matches
32,Song Bumkeun,kr KOR,GK,Shonan Bellmare,25,1997,24.0,,,,,,,,,,,,,,,,,,,,,Matches
33,Capixaba,br BRA,"MF,FW",Cerezo Osaka,26,1997,19.1,,,,,,,,,,,,,,,,,,,,,Matches
34,Caprini,br BRA,MF,Yokohama FC,25,1997,13.5,,,,,,,,,,,,,,,,,,,,,Matches
35,Yusuke Chajima,jp JPN,MF,Sanfrecce,31,1991,4.6,,,,,,,,,,,,,,,,,,,,,Matches
36,Kazuhiko Chiba,jp JPN,DF,Albirex Niigata,37,1985,10.7,,,,,,,,,,,,,,,,,,,,,Matches
37,Kei Chinen,jp JPN,"FW,MF",Kashima Antlers,27,1995,12.4,,,,,,,,,,,,,,,,,,,,,Matches
38,Jordy Croux,be BEL,"MF,FW",Cerezo Osaka,29,1994,19.7,,,,,,,,,,,,,,,,,,,,,Matches
39,Leandro Damião,br BRA,FW,Kawa Frontale,33,1989,5.6,,,,,,,,,,,,,,,,,,,,,Matches
40,Wellington Daniel Bueno,br BRA,DF,Kashiwa Reysol,27,1995,0.2,,,,,,,,,,,,,,,,,,,,,Matches
41,Danilo,br BRA,MF,Albirex Niigata,23,1999,5.1,,,,,,,,,,,,,,,,,,,,,Matches
42,Dawhan,br BRA,MF,Gamba Osaka,26,1996,28.3,,,,,,,,,,,,,,,,,,,,,Matches
43,Thomas Deng,au AUS,DF,Albirex Niigata,25,1997,22.3,,,,,,,,,,,,,,,,,,,,,Matches
44,Diego,br BRA,DF,Kashiwa Reysol,27,1995,12.2,,,,,,,,,,,,,,,,,,,,,Matches
45,Akira Disaro,jp JPN,FW,Shonan Bellmare,26,1996,2.2,,,,,,,,,,,,,,,,,,,,,Matches
46,Kanta Doi,jp JPN,DF,FC Tokyo,18,2004,0.1,,,,,,,,,,,,,,,,,,,,,Matches
47,Shoma Doi,jp JPN,"MF,FW",Kashima Antlers,30,1992,8.8,,,,,,,,,,,,,,,,,,,,,Matches
48,Douglas,br BRA,FW,Kashiwa Reysol,35,1987,1.1,,,,,,,,,,,,,,,,,,,,,Matches
49,Dudu,br BRA,DF,Marinos,29,1993,23.5,,,,,,,,,,,,,,,,,,,,,Matches
50,Yusei Egawa,jp JPN,DF,Gamba Osaka,22,2000,4.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
51,Takatora Einaga,jp JPN,MF,Kawa Frontale,19,2003,0.7,,,,,,,,,,,,,,,,,,,,,Matches
52,Élber,br BRA,"MF,FW",Marinos,30,1992,26.3,,,,,,,,,,,,,,,,,,,,,Matches
53,Blessing Eleke,ng NGA,FW,Kashima Antlers,26,1996,0.3,,,,,,,,,,,,,,,,,,,,,Matches
