squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Barnsley,34,23.1,44.9,46,506,4140,46.0,33,25,58,31,2,2,82,0,43.5,42.0,32.8,74.8,523,1299,0.72,0.54,1.26,0.67,1.22,0.95,0.71,1.66,0.91,1.63
Birmingham City,35,27.3,44.3,46,506,4140,46.0,49,34,83,46,3,3,83,4,60.2,57.9,42.1,99.9,579,1339,1.07,0.74,1.8,1.0,1.74,1.31,0.91,2.22,1.26,2.17
Blackburn,32,24.4,45.2,46,506,4140,46.0,58,40,98,54,4,6,115,5,60.7,56.0,40.4,96.4,747,1316,1.26,0.87,2.13,1.17,2.04,1.32,0.88,2.2,1.22,2.1
Blackpool,34,26.0,46.1,46,506,4140,46.0,53,34,87,47,6,7,71,2,57.2,52.4,38.3,90.7,671,1222,1.15,0.74,1.89,1.02,1.76,1.24,0.83,2.08,1.14,1.97
Bournemouth,32,24.8,56.4,46,506,4140,46.0,73,52,125,69,4,5,99,5,75.0,71.1,56.0,127.1,869,1924,1.59,1.13,2.72,1.5,2.63,1.63,1.22,2.85,1.54,2.76
Bristol City,30,26.2,45.1,46,506,4140,46.0,60,50,110,59,1,1,87,1,59.2,58.4,48.0,106.4,534,1328,1.3,1.09,2.39,1.28,2.37,1.29,1.04,2.33,1.27,2.31
Cardiff City,32,25.7,45.2,46,506,4140,46.0,49,44,93,48,1,1,104,3,58.0,57.3,46.8,104.0,527,1261,1.07,0.96,2.02,1.04,2.0,1.26,1.02,2.28,1.24,2.26
Coventry City,25,26.1,53.3,46,506,4140,46.0,56,43,99,53,3,4,76,3,74.2,71.1,54.4,125.5,854,1980,1.22,0.93,2.15,1.15,2.09,1.61,1.18,2.8,1.55,2.73
Derby County,31,26.6,51.2,46,506,4140,46.0,43,29,72,39,4,4,92,7,46.4,43.3,30.6,73.8,630,1255,0.93,0.63,1.57,0.85,1.48,1.01,0.66,1.67,0.94,1.6
Fulham,29,26.7,60.3,46,506,4140,46.0,102,78,180,96,6,7,70,2,95.3,89.8,70.5,160.3,962,2238,2.22,1.7,3.91,2.09,3.78,2.07,1.53,3.61,1.95,3.49
Huddersfield,28,26.1,47.8,46,506,4140,46.0,61,39,100,59,2,3,73,0,57.9,55.6,41.4,97.0,733,1404,1.33,0.85,2.17,1.28,2.13,1.26,0.9,2.16,1.21,2.11
Hull City,34,24.5,46.6,46,506,4140,46.0,39,29,68,39,0,1,76,3,49.5,48.8,36.7,85.5,761,1372,0.85,0.63,1.48,0.85,1.48,1.08,0.8,1.88,1.06,1.86
Luton Town,29,26.9,44.5,46,506,4140,46.0,58,45,103,54,4,6,90,2,62.1,58.4,44.5,102.9,559,1250,1.26,0.98,2.24,1.17,2.15,1.35,0.97,2.32,1.27,2.24
Middlesbrough,30,26.7,49.5,46,506,4140,46.0,54,40,94,48,6,7,100,3,69.5,64.4,51.4,115.9,813,1637,1.17,0.87,2.04,1.04,1.91,1.51,1.12,2.63,1.4,2.52
Millwall,26,27.5,46.8,46,506,4140,46.0,51,35,86,48,3,5,83,0,58.4,54.4,40.3,94.8,662,1400,1.11,0.76,1.87,1.04,1.8,1.27,0.88,2.15,1.18,2.06
Nott'ham Forest,33,25.2,50.4,46,506,4140,46.0,71,51,122,65,6,7,88,3,68.6,63.6,48.8,112.4,886,1380,1.54,1.11,2.65,1.41,2.52,1.49,1.06,2.55,1.38,2.44
P'borough Utd,33,25.1,47.8,46,506,4140,46.0,41,27,68,36,5,5,84,2,46.7,42.8,32.5,75.2,635,1306,0.89,0.59,1.48,0.78,1.37,1.02,0.71,1.72,0.93,1.64
Preston,29,25.5,49.7,46,506,4140,46.0,49,35,84,45,4,5,90,4,57.4,53.7,39.5,93.3,635,1565,1.07,0.76,1.83,0.98,1.74,1.25,0.86,2.11,1.17,2.03
QPR,27,26.8,53.7,46,506,4140,46.0,59,42,101,56,3,4,91,3,55.6,52.4,41.6,94.0,730,1566,1.28,0.91,2.2,1.22,2.13,1.21,0.9,2.11,1.14,2.04
Reading,36,26.7,47.7,46,506,4140,46.0,53,38,91,49,4,4,71,1,49.8,47.2,37.5,84.7,680,1376,1.15,0.83,1.98,1.07,1.89,1.08,0.81,1.9,1.03,1.84
Sheffield Utd,33,27.8,56.8,46,506,4140,46.0,62,51,113,59,3,4,89,2,72.2,69.2,57.8,127.0,818,2042,1.35,1.11,2.46,1.28,2.39,1.57,1.26,2.83,1.5,2.76
Stoke City,34,26.6,52.1,46,506,4140,46.0,53,41,94,50,3,5,89,4,57.0,53.7,41.6,95.3,664,1559,1.15,0.89,2.04,1.09,1.98,1.24,0.9,2.14,1.17,2.07
Swansea City,31,25.6,63.3,46,506,4140,46.0,58,46,104,57,1,1,89,4,51.9,51.7,41.6,93.3,819,1774,1.26,1.0,2.26,1.24,2.24,1.13,0.9,2.03,1.12,2.03
West Brom,29,27.0,51.3,46,506,4140,46.0,48,34,82,44,4,7,81,7,75.9,70.4,54.2,124.6,735,1660,1.04,0.74,1.78,0.96,1.7,1.65,1.18,2.83,1.53,2.71
