rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Hiroki Fujiharu,jp JPN,"DF,MF",Gamba Osaka,31,1988,21.8,,10,,,,,,,,,,17,,,,Matches
52,Haruya Fujii,jp JPN,DF,Grampus,19,2000,0.0,,0,,,,,,,,,,0,,,,Matches
53,Tomoya Fujii,jp JPN,MF,Sanfrecce,21,1998,4.3,,6,,,,,,,,,,2,,,,Matches
54,Kazuki Fujimoto,jp JPN,MF,Oita Trinita,21,1998,1.2,,2,,,,,,,,,,0,,,,Matches
55,Noriaki Fujimoto,jp JPN,FW,Vissel Kobe,30,1989,14.0,,3,,,,,,,,,,7,,,,Matches
56,Shota Fujio,jp JPN,FW,Cerezo Osaka,18,2001,0.3,,1,,,,,,,,,,0,,,,Matches
57,Naoyuki Fujita,jp JPN,MF,Cerezo Osaka,32,1987,27.3,,28,,,,,,,,,,34,,,,Matches
58,So Fujitani,jp JPN,"MF,DF",Vissel Kobe,22,1997,6.0,,7,,,,,,,,,,11,,,,Matches
59,Kazuki Fukai,jp JPN,MF,Consa Sapporo,24,1995,10.6,,10,,,,,,,,,,21,,,,Matches
60,Yuya Fukuda,jp JPN,"MF,DF",Gamba Osaka,20,1999,19.4,,48,,,,,,,,,,32,,,,Matches
61,Akito Fukumori,jp JPN,DF,Consa Sapporo,27,1992,26.7,,30,,,,,,,,,,58,,,,Matches
62,Akito Fukuta,jp JPN,MF,Shonan Bellmare,27,1992,3.2,,5,,,,,,,,,,5,,,,Matches
63,Kyogo Furuhashi,jp JPN,"FW,MF",Vissel Kobe,25,1995,24.4,,32,,,,,,,,,,9,,,,Matches
64,Ryo Germain,jp JPN,"MF,FW",Vegalta Sendai,24,1995,8.6,,6,,,,,,,,,,2,,,,Matches
65,Yuta Goke,jp JPN,"MF,FW",Vissel Kobe,20,1999,15.3,,11,,,,,,,,,,14,,,,Matches
66,Masaaki Goto,jp JPN,GK,Shonan Bellmare,25,1994,3.0,,1,,,,,,,,,,0,,,,Matches
67,Yusuke Goto,jp JPN,"MF,FW",S-Pulse,26,1993,23.9,,12,,,,,,,,,,11,,,,Matches
68,Hiroto Goya,jp JPN,"FW,MF",Kashiwa Reysol,26,1994,10.1,,6,,,,,,,,,,3,,,,Matches
69,Alexandre Guedes,pt POR,"FW,MF",Vegalta Sendai,25,1994,16.2,,6,,,,,,,,,,7,,,,Matches
70,Koji Hachisuka,jp JPN,DF,Vegalta Sendai,29,1990,15.6,,8,,,,,,,,,,26,,,,Matches
71,Yutaro Hakamata,jp JPN,DF,Yokohama FC,23,1996,21.8,,17,,,,,,,,,,44,,,,Matches
72,Takuma Hamasaki,jp JPN,MF,Vegalta Sendai,26,1993,18.7,,18,,,,,,,,,,16,,,,Matches
73,Kento Haneda,jp JPN,"MF,DF",Oita Trinita,22,1997,9.6,,8,,,,,,,,,,21,,,,Matches
74,Taichi Hara,jp JPN,"FW,MF",FC Tokyo,20,1999,7.2,,13,,,,,,,,,,4,,,,Matches
75,Teruki Hara,jp JPN,DF,Sagan Tosu,21,1998,26.2,,8,,,,,,,,,,34,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Riki Harakawa,jp JPN,MF,Sagan Tosu,26,1993,25.3,,30,,,,,,,,,,38,,,,Matches
77,Tatsuya Hasegawa,jp JPN,"MF,FW",Kawa Frontale,25,1994,6.3,,4,,,,,,,,,,0,,,,Matches
78,Yushi Hasegawa,jp JPN,MF,Oita Trinita,23,1996,25.0,,19,,,,,,,,,,27,,,,Matches
79,Kento Hashimoto,jp JPN,MF,FC Tokyo,26,1993,3.3,,11,,,,,,,,,,10,,,,Matches
80,Daiki Hashioka,jp JPN,DF,Urawa Reds,20,1999,30.4,,40,,,,,,,,,,45,,,,Matches
81,Sodai Hasukawa,jp JPN,DF,FC Tokyo,21,1998,0.1,,0,,,,,,,,,,0,,,,Matches
82,Taiga Hata,jp JPN,MF,Shonan Bellmare,18,2002,13.0,,9,,,,,,,,,,14,,,,Matches
83,Shinnosuke Hatanaka,jp JPN,DF,Marinos,24,1995,24.0,,24,,,,,,,,,,69,,,,Matches
84,Go Hatano,jp JPN,GK,FC Tokyo,21,1998,10.0,,0,,,,,,,,,,0,,,,Matches
85,Reo Hatate,jp JPN,"MF,FW",Kawa Frontale,22,1997,16.5,,13,,,,,,,,,,19,,,,Matches
86,Ryo Hatsuse,jp JPN,"MF,DF",Vissel Kobe,22,1997,8.1,,26,,,,,,,,,,9,,,,Matches
87,Ryota Hayasaka,jp JPN,MF,Consa Sapporo,34,1985,1.9,,2,,,,,,,,,,2,,,,Matches
88,Akihiro Hayashi,jp JPN,GK,FC Tokyo,32,1987,23.0,,0,,,,,,,,,,0,,,,Matches
89,Daichi Hayashi,jp JPN,"FW,MF",Sagan Tosu,22,1997,15.4,,4,,,,,,,,,,6,,,,Matches
90,Takuto Hayashi,jp JPN,GK,Sanfrecce,37,1982,19.0,,0,,,,,,,,,,1,,,,Matches
91,Keigo Higashi,jp JPN,"MF,FW",FC Tokyo,29,1990,5.0,,5,,,,,,,,,,9,,,,Matches
92,Shunki Higashi,jp JPN,MF,Sanfrecce,19,2000,19.9,,16,,,,,,,,,,22,,,,Matches
93,Masaaki Higashiguchi,jp JPN,GK,Gamba Osaka,33,1986,34.0,,3,,,,,,,,,,2,,,,Matches
94,Yuta Higuchi,jp JPN,MF,Sagan Tosu,23,1996,23.7,,26,,,,,,,,,,26,,,,Matches
95,Rei Hirakawa,jp JPN,MF,FC Tokyo,19,2000,0.1,,1,,,,,,,,,,0,,,,Matches
96,Sho Hiramatsu,jp JPN,MF,Shonan Bellmare,21,1998,0.3,,0,,,,,,,,,,0,,,,Matches
97,Yasuhiro Hiraoka,jp JPN,DF,Vegalta Sendai,33,1986,26.2,,14,,,,,,,,,,52,,,,Matches
98,Rikuto Hirose,jp JPN,DF,Kashima Antlers,24,1995,9.9,,18,,,,,,,,,,17,,,,Matches
99,Fuchi Honda,jp JPN,"MF,FW",Sagan Tosu,18,2001,14.8,,13,,,,,,,,,,8,,,,Matches
100,Kyowaan Hoshi,jp JPN,DF,Yokohama FC,22,1997,7.3,,8,,,,,,,,,,17,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Yuji Hoshi,jp JPN,MF,Oita Trinita,27,1992,6.1,,5,,,,,,,,,,13,,,,Matches
