squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Cerezo Osaka,24,28.4,47.9,34,374,3060,34.0,43,35,78,42,1,1,24,1,1.26,1.03,2.29,1.24,2.26
Consa Sapporo,27,26.7,53.3,34,374,3060,34.0,46,37,83,45,1,2,53,2,1.35,1.09,2.44,1.32,2.41
FC Tokyo,32,26.4,41.4,34,374,3060,34.0,46,30,76,42,4,5,43,1,1.35,0.88,2.24,1.24,2.12
Gamba Osaka,29,27.6,48.2,34,374,3060,34.0,45,30,75,40,5,5,27,0,1.32,0.88,2.21,1.18,2.06
Grampus,22,27.6,49.2,34,374,3060,34.0,42,27,69,38,4,4,34,4,1.24,0.79,2.03,1.12,1.91
Kashima Antlers,30,25.9,54.4,34,374,3060,34.0,52,37,89,51,1,1,48,2,1.53,1.09,2.62,1.5,2.59
Kashiwa Reysol,31,27.5,44.9,34,374,3060,34.0,60,47,107,59,1,2,54,3,1.76,1.38,3.15,1.74,3.12
Kawa Frontale,22,27.9,56.4,34,374,3060,34.0,87,61,148,80,7,8,22,1,2.56,1.79,4.35,2.35,4.15
Marinos,30,26.5,62.5,34,374,3060,34.0,65,52,117,63,2,2,47,2,1.91,1.53,3.44,1.85,3.38
Oita Trinita,31,27.1,52.5,34,374,3060,34.0,35,26,61,34,1,2,23,0,1.03,0.76,1.79,1.0,1.76
S-Pulse,30,26.4,50.4,34,374,3060,34.0,47,36,83,46,1,1,39,1,1.38,1.06,2.44,1.35,2.41
Sagan Tosu,30,24.5,51.6,34,374,3060,34.0,37,25,62,36,1,2,24,1,1.09,0.74,1.82,1.06,1.79
Sanfrecce,25,27.4,49.1,34,374,3060,34.0,45,34,79,43,2,3,29,1,1.32,1.0,2.32,1.26,2.26
Shonan Bellmare,32,25.0,41.4,34,374,3060,34.0,29,24,53,28,1,2,35,0,0.85,0.71,1.56,0.82,1.53
Urawa Reds,28,27.6,46.0,34,374,3060,34.0,42,25,67,36,6,6,46,1,1.24,0.74,1.97,1.06,1.79
Vegalta Sendai,30,27.1,41.9,34,374,3060,34.0,35,24,59,34,1,2,40,0,1.03,0.71,1.74,1.0,1.71
Vissel Kobe,26,28.4,58.1,34,374,3060,34.0,50,40,90,48,2,2,43,0,1.47,1.18,2.65,1.41,2.59
Yokohama FC,32,26.3,51.2,34,374,3060,34.0,37,27,64,36,1,1,31,0,1.09,0.79,1.88,1.06,1.85
