squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Albirex Niigata,29,27.6,58.3,38,418,3420,38.0,43,31,74,42,1,2,40,1,1.13,0.82,1.95,1.11,1.92
Avispa Fukuoka,28,28.1,39.9,38,418,3420,38.0,32,21,53,30,2,2,68,1,0.84,0.55,1.39,0.79,1.34
Cerezo Osaka,29,28.5,52.6,38,418,3420,38.0,42,29,71,37,5,7,27,2,1.11,0.76,1.87,0.97,1.74
Consa Sapporo,32,28.3,54.3,38,418,3420,38.0,41,25,66,39,2,4,63,2,1.08,0.66,1.74,1.03,1.68
FC Tokyo,31,26.8,49.4,38,418,3420,38.0,51,37,88,47,4,4,52,5,1.34,0.97,2.32,1.24,2.21
Gamba Osaka,27,27.5,51.1,38,418,3420,38.0,48,32,80,43,5,5,40,2,1.26,0.84,2.11,1.13,1.97
Grampus,29,29.5,46.2,38,418,3420,38.0,43,27,70,41,2,3,57,5,1.13,0.71,1.84,1.08,1.79
Júbilo Iwata,34,27.6,42.2,38,418,3420,38.0,46,29,75,41,5,8,52,3,1.21,0.76,1.97,1.08,1.84
Kashima Antlers,27,26.8,48.8,38,418,3420,38.0,59,41,100,53,6,6,39,1,1.55,1.08,2.63,1.39,2.47
Kashiwa Reysol,31,26.4,47.1,38,418,3420,38.0,39,30,69,38,1,4,56,2,1.03,0.79,1.82,1.0,1.79
Kawa Frontale,32,28.2,56.8,38,418,3420,38.0,66,40,106,61,5,5,53,3,1.74,1.05,2.79,1.61,2.66
Kyoto Sanga,32,26.3,44.9,38,418,3420,38.0,41,26,67,40,1,1,58,3,1.08,0.68,1.76,1.05,1.74
Machida Zelvia,32,26.4,43.5,38,418,3420,38.0,50,35,85,44,6,7,56,2,1.32,0.92,2.24,1.16,2.08
Marinos,33,28.3,60.8,38,418,3420,38.0,60,41,101,54,6,6,54,2,1.58,1.08,2.66,1.42,2.5
Sagan Tosu,38,27.2,49.4,38,418,3420,38.0,46,33,79,43,3,4,48,3,1.21,0.87,2.08,1.13,2.0
Sanfrecce,31,27.5,51.9,38,418,3420,38.0,71,48,119,65,6,7,33,1,1.87,1.26,3.13,1.71,2.97
Shonan Bellmare,32,26.9,52.1,38,418,3420,38.0,52,35,87,49,3,4,54,4,1.37,0.92,2.29,1.29,2.21
Tokyo Verdy,27,25.6,45.1,38,418,3420,38.0,48,24,72,42,6,6,47,2,1.26,0.63,1.89,1.11,1.74
Urawa Reds,33,28.5,56.3,38,418,3420,38.0,49,37,86,43,6,7,43,1,1.29,0.97,2.26,1.13,2.11
Vissel Kobe,23,29.5,50.5,38,418,3420,38.0,60,42,102,57,3,7,37,3,1.58,1.11,2.68,1.5,2.61
