round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Bundesliga,1,Fri,2022-08-05,20:30,Eint Frankfurt,0.9,1–6,4.0,Bayern Munich,51500,Deutsche Bank Park,Deniz Aytekin,Match Report,
Bundesliga,1,Sat,2022-08-06,15:30,Augsburg,0.7,0–4,1.2,Freiburg,25310,WWK Arena,Bastian Dankert,Match Report,
Bundesliga,1,Sat,2022-08-06,15:30,Wolfsburg,1.0,2–2,0.8,Werder Bremen,28015,Volkswagen Arena,Sascha Stegemann,Match Report,
Bundesliga,1,Sat,2022-08-06,15:30,Bochum,0.9,1–2,1.4,Mainz 05,24110,Vonovia Ruhrstadion,Felix Zwayer,Match Report,
Bundesliga,1,Sat,2022-08-06,15:30,Gladbach,1.9,3–1,0.1,Hoffenheim,49659,Stadion im Borussia-Park,Daniel Siebert,Match Report,
Bundesliga,1,Sat,2022-08-06,15:30,Union Berlin,1.0,3–1,0.3,Hertha BSC,22012,Stadion An der Alten Försterei,Marco Fritz,Match Report,
Bundesliga,1,Sat,2022-08-06,18:30,Dortmund,1.8,1–0,1.3,Leverkusen,81365,Signal Iduna Park,Felix Brych,Match Report,
Bundesliga,1,Sun,2022-08-07,15:30,Stuttgart,0.8,1–1,1.6,RB Leipzig,46000,Mercedes-Benz Arena,Tobias Stieler,Match Report,
Bundesliga,1,Sun,2022-08-07,17:30,Köln,4.1,3–1,0.2,Schalke 04,50000,RheinEnergieSTADION,Robert Schröder,Match Report,
Bundesliga,2,Fri,2022-08-12,20:30,Freiburg,1.0,1–3,1.1,Dortmund,34700,Europa-Park Stadion,Tobias Welz,Match Report,
Bundesliga,2,Sat,2022-08-13,15:30,Werder Bremen,0.5,2–2,1.4,Stuttgart,41000,Wohninvest Weserstadion,Robert Hartmann,Match Report,
Bundesliga,2,Sat,2022-08-13,15:30,RB Leipzig,1.0,2–2,1.5,Köln,49579,Red Bull Arena,Benjamin Brand,Match Report,
Bundesliga,2,Sat,2022-08-13,15:30,Hoffenheim,2.6,3–2,1.5,Bochum,17005,PreZero Arena,Patrick Ittrich,Match Report,
Bundesliga,2,Sat,2022-08-13,15:30,Hertha BSC,1.7,1–1,1.6,Eint Frankfurt,45000,Olympiastadion Berlin,Frank Willenborg,Match Report,
Bundesliga,2,Sat,2022-08-13,15:30,Leverkusen,2.5,1–2,0.4,Augsburg,22903,BayArena,Benjamin Cortus,Match Report,
Bundesliga,2,Sat,2022-08-13,18:30,Schalke 04,1.4,2–2,1.3,Gladbach,62271,Veltins-Arena,Sven Jablonski,Match Report,
Bundesliga,2,Sun,2022-08-14,15:30,Mainz 05,0.7,0–0,0.4,Union Berlin,25009,Mewa Arena,Daniel Schlager,Match Report,
Bundesliga,2,Sun,2022-08-14,17:30,Bayern Munich,2.0,2–0,0.5,Wolfsburg,75000,Allianz Arena,Harm Osmers,Match Report,
Bundesliga,3,Fri,2022-08-19,20:30,Gladbach,2.7,1–0,1.0,Hertha BSC,48411,Stadion im Borussia-Park,Matthias Jöllenbeck,Match Report,
