rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Amir Abedzadeh,ir IRN,GK,Marítimo,26,1993,25.0,915,808,912,3,0,0,915,0,0,,0,,438,2873,2003,0,0,0,2,0,324,0,Matches
2,Vincent Aboubakar,cm CMR,FW,Porto,27,1992,0.8,39,1,3,12,24,10,39,3,1,33.3,2,66.7,23,66,13,0,2,1,5,4,29,7,Matches
3,Elias Abouchabaka,de GER,MF,Vitória,19,2000,0.1,11,0,1,4,6,1,11,1,1,100.0,0,0.0,8,38,5,0,1,0,0,2,9,1,Matches
4,Fábio Abreu,ao ANG,FW,Moreirense,26,1993,26.6,585,31,57,290,242,75,585,31,18,58.1,13,41.9,385,1672,709,28,25,11,56,33,466,72,Matches
5,Yaw Ackah,gh GHA,MF,Boavista,20,1999,21.1,918,31,239,618,75,1,918,16,13,81.3,3,18.8,400,1628,632,6,9,0,17,19,509,9,Matches
6,Marcos Acuña,ar ARG,"DF,FW",Sporting CP,27,1991,22.4,1810,46,454,825,553,22,1810,46,28,60.9,18,39.1,966,5087,2774,58,35,8,31,28,1138,164,Matches
7,Raphael Aflalo,br BRA,GK,Aves,23,1996,5.0,152,135,152,0,0,0,152,0,0,,0,,65,459,345,0,0,0,1,0,34,0,Matches
8,João Afonso Crispim,br BRA,MF,Gil Vicente FC,24,1995,15.0,773,28,144,515,120,4,773,10,9,90.0,1,10.0,371,1893,810,14,7,2,11,22,456,9,Matches
9,João Afonso,pt POR,DF,Santa Clara,29,1990,31.9,1557,213,1007,501,57,35,1557,3,2,66.7,1,33.3,642,2972,1681,6,5,0,10,3,924,6,Matches
10,Mikel Agu,ng NGA,MF,Vitória,26,1993,13.7,714,42,179,460,88,14,714,15,13,86.7,2,13.3,320,1376,564,5,4,1,11,4,372,5,Matches
11,Chima Akas,ng NGA,DF,B-SAD,25,1994,14.4,749,59,336,317,101,6,749,4,3,75.0,1,25.0,349,1688,889,9,6,1,10,4,365,23,Matches
12,Alex,pt POR,"FW,MF",Vitória Setúbal,27,1991,1.8,118,5,26,57,40,2,118,5,3,60.0,2,40.0,50,269,160,3,5,0,3,0,48,10,Matches
13,André Almeida,pt POR,DF,Benfica,28,1990,22.3,1593,51,338,756,506,48,1593,22,9,40.9,13,59.1,802,3264,1471,33,29,6,20,12,991,155,Matches
14,Diogo Almeida,pt POR,"FW,MF",Paços de Ferreira,18,2000,2.7,76,2,5,34,38,7,76,2,0,0.0,2,100.0,52,262,89,3,3,1,4,3,60,19,Matches
15,Domingos André Ribeiro Almeida,pt POR,MF,Vitória,19,2000,2.4,92,0,16,46,30,4,92,2,1,50.0,1,50.0,43,282,133,5,3,2,6,3,54,5,Matches
16,Ricardo Miguel Martins Alves,pt POR,DF,Tondela,28,1991,12.5,670,80,378,280,16,13,670,2,0,0.0,2,100.0,345,1634,903,2,1,1,4,0,418,0,Matches
17,Pedro Amador,pt POR,"DF,MF",Braga,20,1998,6.9,475,17,114,200,165,10,475,13,7,53.8,6,46.2,241,1146,540,17,10,5,8,3,290,69,Matches
18,João Amaral,pt POR,"FW,MF",Paços de Ferreira,27,1991,12.3,468,1,45,172,255,24,468,25,12,48.0,13,52.0,255,1256,441,8,14,2,25,16,260,69,Matches
19,Pedro Amaral,pt POR,DF,Rio Ave,21,1997,7.5,532,26,172,234,128,14,532,9,4,44.4,5,55.6,262,1213,493,9,11,3,12,6,329,53,Matches
