wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
5,Sat,2019-09-14,21:30 (22:30),Vitória,2.2,5–1,1.4,Aves,14529,Estádio Dom Afonso Henriques,Nuno Almeida,Match Report,
5,Sun,2019-09-15,15:00 (17:00),Santa Clara,2.0,2–0,0.6,Moreirense,2248,Estádio de São Miguel,Hélder Malheiro,Match Report,
5,Sun,2019-09-15,16:00 (17:00),Rio Ave,3.0,2–4,0.7,Tondela,2103,Estádio do Rio Ave Futebol Clube,Rui Oliveira,Match Report,
5,Sun,2019-09-15,16:00 (17:00),Marítimo,0.7,1–3,1.5,B-SAD,5551,Estádio dos Barreiros,João Bento,Match Report,
5,Sun,2019-09-15,18:00 (19:00),Portimonense,0.7,2–3,3.2,Porto,5499,Estádio do Portimonense SC,Rui Costa,Match Report,
5,Sun,2019-09-15,20:00 (21:00),Boavista,0.4,1–1,0.9,Sporting CP,12314,Estádio do Bessa Século XXI,Jorge de Sousa,Match Report,
6,Fri,2019-09-20,20:30 (21:30),Paços de Ferreira,1.6,2–1,0.3,Aves,2239,Estádio da Capital do Móvel,Cláudio Ruivo Pereira,Match Report,
6,Sat,2019-09-21,18:00 (19:00),B-SAD,0.9,0–2,2.0,Rio Ave,821,Estádio Nacional,André Narciso,Match Report,
6,Sat,2019-09-21,20:30 (21:30),Moreirense,0.7,1–2,2.0,Benfica,4220,P.D. Comendador Joaquim de Almeida Freit...,Artur Soares Dias,Match Report,
6,Sun,2019-09-22,15:30 (16:30),Gil Vicente FC,0.7,0–0,0.3,Boavista,3885,Estádio Cidade de Barcelos,Fábio Costa,Match Report,
6,Sun,2019-09-22,18:00 (19:00),Vitória Setúbal,0.4,0–0,0.4,Portimonense,4833,Estádio do Bonfim,João Pinheiro,Match Report,
6,Sun,2019-09-22,18:00 (19:00),Tondela,0.4,1–3,2.5,Vitória,3178,Estádio João Cardoso,Hélder Malheiro,Match Report,
6,Sun,2019-09-22,20:30 (21:30),Porto,1.3,2–0,0.2,Santa Clara,36120,Estádio Do Dragão,Luís Godinho,Match Report,
6,Mon,2019-09-23,19:00 (20:00),Braga,2.6,2–2,1.7,Marítimo,8184,Estádio Municipal de Braga,Manuel Oliveira,Match Report,
