rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
18,Kevin Müller,de GER,GK,Heidenheim,33,1991,33,33,2939,32.7,64,1.96,169,105,65.7,7,5,21,7,21.2,6,6,0,0,0.0,Matches
19,Marius Müller,de GER,GK,Wolfsburg,31,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,,Matches
20,Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22,22,1980,22.0,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0.0,Matches
21,Moritz Nicolas,de GER,GK,Gladbach,26,1997,19,19,1639,18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0,Matches
22,Alexander Nübel,de GER,GK,Stuttgart,27,1996,34,34,3060,34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,Matches
23,Jonas Omlin,ch SUI,GK,Gladbach,30,1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3,Matches
24,Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,,Matches
25,Luca Philipp,de GER,GK,Hoffenheim,23,2000,6,6,540,6.0,15,2.50,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,0,0.0,0,0,0,0,,Matches
27,Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0,Matches
28,Kauã Santos,br BRA,GK,Eint Frankfurt,21,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0,Matches
29,Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0,Matches
30,Tobias Sippel,de GER,GK,Gladbach,36,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches
31,Kevin Trapp,de GER,GK,Eint Frankfurt,34,1990,26,26,2295,25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0,Matches
32,Sven Ulreich,de GER,GK,Bayern Munich,35,1988,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
33,Jonas Urbig,de GER,GK,Bayern Munich,20,2003,8,8,720,8.0,12,1.50,28,16,57.1,4,3,1,2,25.0,0,0,0,0,,Matches
34,Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,,Matches
35,Nikola Vasilj,ba BIH,GK,St. Pauli,28,1995,33,33,2969,33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0,Matches
36,Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,25,2250,25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0,Matches
37,Robin Zentner,de GER,GK,Mainz 05,29,1994,32,32,2880,32.0,41,1.28,142,100,73.9,13,9,10,9,28.1,5,4,1,0,20.0,Matches
38,Michael Zetterer,de GER,GK,Werder Bremen,29,1995,34,34,3060,34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,Matches
