rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,1.0,2,0,0,0,0,2.4,0.48,+0.4,+0.41,7,28,25.0,37,5,59.5,44.7,13,46.2,39.7,15,0,0.0,0,0.00,,Matches
2,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,37,0,1,3,0,37.0,0.30,0.0,0.00,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9.0,28,1.09,12.7,Matches
3,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,53,2,1,7,2,52.1,0.36,+1.1,+0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5,Matches
4,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,3,0,0,0,0,4.7,0.20,+1.7,+0.39,23,62,37.1,148,22,27.0,29.2,31,71.0,48.9,96,14,14.6,1,0.24,5.6,Matches
5,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,19,2,0,3,2,24.2,0.29,+7.2,+0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7,Matches
6,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,19,2,1,1,1,18.5,0.30,+0.5,+0.06,47,133,35.3,304,55,25.7,30.3,91,60.4,45.6,177,15,8.5,5,0.56,9.3,Matches
7,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8,Matches
8,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,0,0,0.3,0.16,+0.3,+0.24,10,34,29.4,54,7,42.6,38.0,11,100.0,68.4,25,1,4.0,1,0.74,14.8,Matches
9,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,49,2,0,9,1,49.7,0.35,+1.7,+0.06,186,511,36.4,979,114,41.7,36.7,154,66.9,51.9,413,15,3.6,19,0.66,12.2,Matches
10,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,39,2,1,4,0,42.6,0.30,+3.6,+0.12,79,209,37.8,705,140,20.3,28.6,196,33.7,34.3,434,23,5.3,34,1.16,14.8,Matches
