rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,558,678,82.3,10633,3990,214,239,280,325,60,95,0,0.4,0.5,-0.4,2,50,3,1,55,Matches
2,Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,18,23,78.3,258,20,11,14,4,5,2,2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
3,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,19,32,59.4,222,43,12,17,5,6,0,0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
4,Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,1173,1375,85.3,17415,5037,670,730,394,456,65,108,1,0.9,1.5,+0.1,14,97,24,3,113,Matches
5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,103,156,66.0,1445,379,61,80,29,41,7,11,3,2.3,0.9,+0.7,11,5,7,2,17,Matches
6,Felix Agu,ng NGA,DF,Werder Bremen,20,1999,7.8,210,299,70.2,3068,1068,125,150,66,101,11,24,0,0.5,0.4,-0.5,3,10,3,2,9,Matches
7,Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,110,125,88.0,1600,377,61,68,36,37,5,7,0,0.0,0.1,0.0,1,12,0,0,11,Matches
8,Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,1961,2137,91.8,37492,12871,698,744,1018,1067,216,273,0,0.3,0.8,-0.3,3,151,6,0,159,Matches
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,600,735,81.6,11026,4298,216,246,329,357,49,112,0,0.4,0.5,-0.4,2,33,4,1,56,Matches
10,David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,1929,2290,84.2,35563,12318,736,817,1003,1125,172,283,4,2.1,3.1,+1.9,28,212,35,4,242,Matches
11,Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,226,308,73.4,2804,292,152,188,49,64,9,16,2,0.9,0.6,+1.1,15,15,3,0,21,Matches
12,Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,732,916,79.9,15862,7234,183,221,433,490,114,187,0,0.1,0.6,-0.1,3,44,4,1,55,Matches
13,Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,930,1139,81.7,15414,3793,464,512,325,377,102,168,6,3.1,3.7,+2.9,38,96,27,3,113,Matches
14,Sebastian Andersson,se SWE,FW,Köln,29,1991,12.5,168,247,68.0,2188,346,96,128,56,86,3,5,0,0.3,0.4,-0.3,6,15,4,1,20,Matches
15,Robert Andrich,de GER,MF,Union Berlin,25,1994,28.1,1127,1442,78.2,19061,5611,534,632,460,553,99,170,2,2.0,2.4,0.0,20,111,12,0,128,Matches
16,Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,1057,1500,70.5,17210,6049,561,634,373,516,92,248,4,5.5,7.2,-1.5,52,70,55,28,93,Matches
17,Waldemar Anton,de GER,DF,Stuttgart,24,1996,30.1,1835,2097,87.5,34500,14015,630,678,1039,1118,147,243,1,0.9,1.1,+0.1,9,69,10,3,116,Matches
18,Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,18.5,998,1168,85.4,16391,5528,476,526,416,461,71,115,0,0.6,1.1,-0.6,15,113,13,0,119,Matches
19,Santiago Arias,co COL,DF,Leverkusen,28,1992,1.0,47,57,82.5,806,240,17,21,27,31,2,3,0,0.1,0.0,-0.1,1,2,0,0,5,Matches
20,Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,28.7,1323,1664,79.5,27177,8485,456,519,586,677,248,391,6,4.2,5.2,+1.8,49,139,25,3,180,Matches
21,Tolu Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,26,37,70.3,421,68,11,14,11,15,2,2,0,0.2,0.4,-0.2,3,1,2,0,4,Matches
22,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,291,358,81.3,4862,1446,143,162,108,128,28,37,0,0.3,0.3,-0.3,6,21,4,0,31,Matches
23,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,26,1994,21.7,762,1177,64.7,12691,5651,397,480,281,412,67,221,4,2.7,3.8,+1.3,41,42,27,24,60,Matches
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,194,295,65.8,2588,456,120,164,54,81,10,18,2,1.3,0.8,+0.7,20,8,2,0,16,Matches
25,Mehmet Aydin,de GER,DF,Schalke 04,18,2002,5.6,136,204,66.7,2017,775,79,98,50,74,6,20,0,0.5,0.5,-0.5,1,7,2,0,7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,668,962,69.4,10811,2275,385,439,156,241,89,174,8,6.0,6.6,+2.0,48,26,37,16,63,Matches
27,Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,1095,1484,73.8,17435,5110,575,668,432,575,67,136,7,4.1,5.0,+2.9,44,62,49,17,104,Matches
28,Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,63,91,69.2,1038,521,37,43,17,27,8,17,0,0.0,0.1,0.0,0,7,3,1,11,Matches
29,Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,15,16,93.8,239,90,9,9,6,6,0,0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
30,Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,362,495,73.1,5510,1769,201,245,118,159,26,51,3,3.2,2.6,-0.2,26,30,19,5,46,Matches
31,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,449,702,64.0,6871,2878,225,316,178,236,27,74,2,2.7,2.1,-0.7,18,46,9,2,76,Matches
