rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Diego Abella,mx MEX,"FW,MF",Puebla,20,1998,10.1,6,4,2,3,1,2,9,7,3,1,2,1,7,10,0,Matches
2,José Abella,mx MEX,DF,Santos,25,1994,2.0,3,2,3,0,0,3,6,3,0,0,0,4,7,8,0,Matches
3,José Abella,mx MEX,DF,Atlas,25,1994,6.6,10,7,7,3,0,4,18,14,5,0,5,5,15,12,0,Matches
4,Clifford Aboagye,gh GHA,MF,Querétaro,24,1995,25.3,49,25,17,22,10,14,50,36,19,4,15,36,85,13,0,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,23,1996,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
6,Gabriel Achilier,ec ECU,DF,Morelia,34,1985,18.8,28,22,25,2,1,17,24,7,14,11,3,23,51,67,1,Matches
7,Alan Acosta,mx MEX,"FW,MF",Puebla,22,1996,10.9,23,15,12,10,1,16,28,12,6,1,5,10,33,13,0,Matches
8,Luciano Acosta,ar ARG,"MF,FW",Atlas,25,1994,9.0,11,8,1,7,3,8,19,11,9,0,9,0,11,1,0,Matches
9,Francisco Acuña,mx MEX,"FW,MF",Puebla,31,1988,0.8,1,0,0,1,0,0,2,2,2,0,2,0,1,1,0,Matches
10,Daniel Aguilar,mx MEX,"MF,DF",Atlas,21,1998,0.3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,Matches
11,Jorge Aguilar,py PAR,DF,Querétaro,26,1993,7.1,14,9,9,4,1,6,16,10,8,5,3,12,26,31,0,Matches
12,Paul Aguilar,mx MEX,DF,América,33,1986,26.9,40,29,20,18,2,22,56,34,11,2,9,22,62,50,1,Matches
13,Emanuel Aguilera,ar ARG,DF,América,30,1989,26.4,18,8,13,5,0,9,24,15,16,12,4,49,67,74,1,Matches
14,Eduardo Aguirre,mx MEX,"FW,MF",Santos,20,1998,6.5,4,2,0,2,2,2,19,17,6,0,6,2,6,3,0,Matches
15,Érick Aguirre,mx MEX,"DF,MF",Pachuca,22,1997,24.3,87,52,47,33,7,36,80,44,19,3,16,28,115,34,0,Matches
16,Arnaud Ake,ci CIV,FW,Querétaro,21,1998,12.9,10,5,2,6,2,1,5,4,7,1,6,1,11,8,0,Matches
17,Arnaud Ake,ci CIV,FW,Monterrey,21,1998,1.3,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,Matches
18,Oswaldo Alanís,mx MEX,DF,Guadalajara,30,1989,9.9,7,6,5,2,0,2,5,3,6,4,2,7,14,32,0,Matches
19,Jesús Alberto Angulo,mx MEX,DF,Atlas,21,1998,14.5,28,19,18,7,3,16,40,24,17,6,11,22,50,31,0,Matches
20,Carlos Alberto Gutiérrez,mx MEX,DF,Veracruz,29,1990,10.9,26,21,15,11,0,11,19,8,11,2,9,14,40,37,0,Matches
21,Gil Alcalá,mx MEX,GK,Querétaro,27,1992,28.0,0,0,0,0,0,0,1,1,0,0,0,2,2,4,2,Matches
22,Adrián Aldrete,mx MEX,DF,Cruz Azul,31,1988,23.2,36,21,20,13,3,19,38,19,13,5,8,25,61,58,0,Matches
23,Daniel Alexis Parra,mx MEX,DF,Monterrey,20,1999,1.4,1,1,1,0,0,1,2,1,1,0,1,6,7,2,0,Matches
24,Luis Alfonso Rodríguez,mx MEX,DF,UANL,28,1991,23.1,52,37,21,30,1,20,41,21,18,2,16,18,70,23,0,Matches
25,Carlos Alonso Vargas,mx MEX,DF,América,20,1999,5.1,7,4,5,2,0,2,6,4,7,5,2,8,15,22,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Carlos Alonso Vargas,mx MEX,DF,Morelia,20,1999,2.2,6,4,1,5,0,2,3,1,2,1,1,3,9,3,0,Matches
27,Ángel Alonzo,mx MEX,GK,Necaxa,19,2000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Matías Alustiza,mx MEX,"FW,MF",Puebla,35,1984,3.7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Matches
29,Alfonso Alvarado,mx MEX,"MF,FW",Monterrey,19,2000,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Roberto Alvarado,mx MEX,"MF,FW",Cruz Azul,20,1998,22.1,41,27,23,13,5,19,56,37,24,2,22,11,52,22,0,Matches
31,Ventura Alvarado,us USA,DF,Necaxa,26,1992,21.0,33,24,26,7,0,15,32,17,24,14,10,25,58,75,1,Matches
32,Daniel Álvarez,mx MEX,"MF,FW",Necaxa,25,1994,8.3,8,5,5,2,1,6,16,10,5,0,5,0,8,5,0,Matches
