round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Apertura 2019 Regular Season,1,Sat,2019-07-20,17:00 (00:00),Pachuca,2.8,1–3,1.8,León,21240,Estadio Hidalgo,Adonai Escobedo,Match Report,
Apertura 2019 Regular Season,1,Sat,2019-07-20,17:00 (00:00),Atlético,1.4,0–2,2.2,UNAM,25103,Estadio Alfonso Lastras Ramírez,Diego Montaño,Match Report,
Apertura 2019 Regular Season,1,Fri,2019-07-19,19:00 (02:00),Puebla,1.1,1–3,1.4,Tijuana,15080,Estadio Cuauhtémoc,Luis Santander,Match Report,
Apertura 2019 Regular Season,1,Fri,2019-07-19,21:00 (04:00),Atlas,1.0,1–0,1.5,FC Juárez,28893,Estadio Jalisco,Alfredo Peñaloza,Match Report,
Apertura 2019 Regular Season,1,Sun,2019-07-21,12:00 (19:00),Toluca,0.7,0–2,1.5,Querétaro,13015,Estadio Nemesio Díez,Marco Antonio Nava,Match Report,
Apertura 2019 Regular Season,1,Sun,2019-07-21,18:45 (01:45),Santos,2.3,3–0,0.4,Guadalajara,26572,Estadio Nuevo Corona,Jorge Rojas,Match Report,
Apertura 2019 Regular Season,1,Sat,2019-07-20,19:00 (02:00),América,2.7,4–2,1.5,Monterrey,31129,Estadio Azteca,César Arturo Ramos,Match Report,
Apertura 2019 Regular Season,1,Sat,2019-07-20,21:00 (04:00),UANL,1.7,4–2,1.5,Morelia,41580,Estadio Universitario de Nuevo León,Roberto García,Match Report,
Apertura 2019 Regular Season,1,Sat,2019-07-20,21:00 (04:00),Necaxa,1.1,0–0,1.5,Cruz Azul,19361,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
Apertura 2019 Regular Season,2,Fri,2019-07-26,19:00 (02:00),Morelia,1.7,0–1,0.6,Atlas,20136,Estadio Generalísimo José María Morelos ...,Oscar Mejia,Match Report,
Apertura 2019 Regular Season,2,Fri,2019-07-26,21:00 (04:00),Veracruz,1.6,3–3,0.8,Pachuca,14620,Estadio Luis de la Fuente,Fernando Hernández,Match Report,
Apertura 2019 Regular Season,2,Sun,2019-07-28,12:00 (19:00),UNAM,1.8,2–0,0.1,Necaxa,24708,Estadio Olímpico de Universitario,Eduardo Basulto,Match Report,
Apertura 2019 Regular Season,2,Sun,2019-07-28,17:00 (00:00),Atlético,1.0,1–0,1.1,Monterrey,25187,Estadio Alfonso Lastras Ramírez,Alfredo Peñaloza,Match Report,
Apertura 2019 Regular Season,2,Sun,2019-07-28,18:45 (01:45),Santos,2.6,3–0,0.3,FC Juárez,25181,Estadio Nuevo Corona,Erick Yair Miranda,Match Report,
Apertura 2019 Regular Season,2,Sat,2019-07-27,19:00 (02:00),León,2.2,0–0,0.3,América,26632,Estadio León,Roberto García,Match Report,
Apertura 2019 Regular Season,2,Sat,2019-07-27,19:06 (04:06),Tijuana,1.9,1–1,1.3,Querétaro,26933,Estadio Caliente,Adonai Escobedo,Match Report,
Apertura 2019 Regular Season,2,Sat,2019-07-27,21:00 (04:00),Cruz Azul,1.9,1–1,1.0,Toluca,25320,Estadio Azteca,Diego Montaño,Match Report,
Apertura 2019 Regular Season,2,Sun,2019-07-28,19:00 (02:00),Guadalajara,1.8,2–0,0.8,UANL,39313,Estadio Akron,Óscar Macias,Match Report,
Apertura 2019 Regular Season,3,Sat,2019-08-03,17:00 (00:00),Querétaro,1.6,3–0,0.5,Cruz Azul,29329,Estadio La Corregidora,Oscar Mejia,Match Report,
Apertura 2019 Regular Season,3,Fri,2019-08-02,19:00 (02:00),Puebla,1.9,1–1,0.9,Guadalajara,27611,Estadio Cuauhtémoc,Marco Antonio Nava,Match Report,
Apertura 2019 Regular Season,3,Fri,2019-08-02,21:00 (04:00),Atlas,1.8,1–2,3.0,Santos,31317,Estadio Jalisco,Adonai Escobedo,Match Report,
