rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,6,4,1,4,1,2,7,5,4,1,3,4,10,4,0,Matches
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,51,32,34,13,4,18,40,22,24,15,9,76,127,121,2,Matches
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,18,10,11,7,0,6,19,13,10,5,5,15,33,10,0,Matches
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,39,28,9,15,15,12,34,22,30,0,30,10,49,2,0,Matches
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,38,25,13,22,3,8,27,19,24,6,18,18,56,13,0,Matches
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,43,24,15,19,9,15,73,58,41,2,39,13,56,11,1,Matches
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,13,10,10,3,0,7,9,2,17,12,5,26,39,81,0,Matches
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,39,22,11,24,4,18,48,30,30,5,25,23,62,12,0,Matches
11,Djavan Anderson,sr SUR,DF,Lazio,25,1995,0.8,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,Matches
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Matches
14,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Matches
