rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
176,Guillermo Celis,co COL,MF,Colón,26,1993,1,1,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
177,Maximiliano Centurión,ar ARG,DF,Arg Juniors,20,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
178,Ricardo Centurión,ar ARG,"FW,DF",Vélez Sarsfield,26,1993,5,3,307,3.4,1,2,3,1,0,0,1,0,1.6,1.6,1.8,3.5,23,17,31,0.29,0.59,0.88,0.29,0.88,0.47,0.54,1.01,0.47,1.01,Matches
179,Ezequiel Cérica,ar ARG,"FW,MF",Arsenal,32,1986,11,2,319,3.5,1,0,1,1,0,0,1,0,0.8,0.8,0.6,1.4,6,3,23,0.28,0.00,0.28,0.28,0.28,0.22,0.16,0.39,0.22,0.39,Matches
180,Francisco Cerro,ar ARG,MF,Defensa y Just,31,1988,10,2,344,3.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,3,19,4,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
181,Ezequiel Cerutti,ar ARG,"MF,FW",San Lorenzo,27,1992,4,2,192,2.1,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,6,11,26,0.00,0.47,0.47,0.00,0.47,0.04,0.10,0.14,0.04,0.14,Matches
182,Tomás Chancalay,ar ARG,"MF,FW",Colón,20,1999,17,8,811,9.0,0,0,0,0,0,0,4,0,1.2,1.2,1.1,2.3,26,37,54,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.26,0.14,0.26,Matches
183,Andrés Chávez,ar ARG,FW,Huracán,28,1991,11,7,592,6.6,1,0,1,1,0,0,3,0,2.4,2.4,0.6,2.9,8,14,26,0.15,0.00,0.15,0.15,0.15,0.36,0.08,0.45,0.36,0.45,Matches
184,Cristian Chávez,ar ARG,"FW,MF",Independiente,32,1987,7,0,126,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,5,9,0.00,0.00,0.00,0.00,0.00,0.27,0.13,0.41,0.27,0.41,Matches
185,Cristian Chávez,ar ARG,FW,Cen. Córdoba–SdE,32,1987,3,0,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,2,3,8,0.00,0.00,0.00,0.00,0.00,0.14,0.38,0.52,0.14,0.52,Matches
186,Lucas Chávez,ar ARG,GK,Arg Juniors,23,1995,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
187,Ignacio Chicco,ar ARG,GK,Colón,23,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
188,Julián Chicco,ar ARG,MF,Patronato,21,1998,15,13,1039,11.5,1,0,1,1,0,0,3,0,0.7,0.7,0.4,1.1,9,66,16,0.09,0.00,0.09,0.09,0.09,0.06,0.04,0.10,0.06,0.10,Matches
189,Cristian Chimino,ar ARG,DF,Patronato,31,1988,19,19,1700,18.9,2,0,2,1,1,1,4,1,1.1,0.3,1.4,1.8,27,78,22,0.11,0.00,0.11,0.05,0.05,0.06,0.08,0.13,0.02,0.09,Matches
190,Renato Civelli,ar ARG,DF,Banfield,35,1983,18,15,1340,14.9,0,0,0,0,0,0,5,1,1.2,1.2,1.3,2.5,9,60,2,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
191,Enzo Coacci,ar ARG,"MF,FW",Defensa y Just,20,1998,3,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,4,0,4,0.00,0.00,0.00,0.00,0.00,0.18,0.95,1.13,0.18,1.13,Matches
192,Sebastián Cocimano,ar ARG,FW,Gimnasia–LP,19,2000,2,0,50,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,0,6,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches
193,Nicolás Colazo,ar ARG,"DF,MF",Rosario Central,29,1990,9,5,461,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,3,12,10,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches
194,Iván Colman,ar ARG,MF,Arg Juniors,24,1995,12,10,711,7.9,0,1,1,0,0,0,1,0,0.5,0.5,1.0,1.5,21,49,51,0.00,0.13,0.13,0.00,0.13,0.06,0.13,0.19,0.06,0.19,Matches
195,Fabricio Coloccini,ar ARG,DF,San Lorenzo,37,1982,16,16,1345,14.9,0,0,0,0,0,0,1,2,0.2,0.2,0.7,0.9,3,43,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
196,Nazareno Colombo,ar ARG,DF,Estudiantes–LP,20,1999,11,8,771,8.6,2,0,2,2,0,0,5,0,0.9,0.9,0.2,1.0,9,52,7,0.23,0.00,0.23,0.23,0.23,0.10,0.02,0.12,0.10,0.12,Matches
197,Gastón Comas,ar ARG,MF,Unión,21,1998,5,2,194,2.2,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,2,8,21,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
198,Lautaro Comas,ar ARG,"MF,FW",Patronato,24,1995,14,13,1087,12.1,2,1,3,2,0,0,5,1,1.4,1.4,0.9,2.3,38,23,74,0.17,0.08,0.25,0.17,0.25,0.12,0.07,0.19,0.12,0.19,Matches
199,Maximiliano Comba,ar ARG,"MF,FW",Gimnasia–LP,25,1994,17,11,930,10.3,0,1,1,0,0,0,3,0,1.3,1.3,0.6,1.9,13,32,51,0.00,0.10,0.10,0.00,0.10,0.13,0.06,0.19,0.13,0.19,Matches
200,Gabriel Compagnucci,ar ARG,MF,Patronato,27,1991,19,15,1261,14.0,0,3,3,0,0,0,2,0,1.8,1.8,2.9,4.7,34,27,103,0.00,0.21,0.21,0.00,0.21,0.13,0.21,0.34,0.13,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
201,Esteban Conde,uy URU,GK,Banfield,36,1983,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
202,Fernando Coniglio,ar ARG,"FW,MF",Huracán,27,1991,17,8,795,8.8,3,0,3,3,0,0,2,0,1.9,1.9,1.1,3.0,11,12,53,0.34,0.00,0.34,0.34,0.34,0.22,0.12,0.34,0.22,0.34,Matches
203,Leandro Contín,ar ARG,FW,Gimnasia–LP,23,1995,15,12,1042,11.6,4,3,7,4,0,0,3,0,4.1,4.1,2.2,6.3,7,11,70,0.35,0.26,0.60,0.35,0.60,0.36,0.19,0.54,0.36,0.54,Matches
204,Rodrigo Contreras,ar ARG,FW,Aldosivi,23,1995,3,0,103,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,2,18,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
