rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
605,Diego Rodríguez,uy URU,MF,Defensa y Just,29,1989,13.2,0,7,2,28.6,0.53,0.15,0.00,0.00,25.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
606,Gonzalo Rodríguez,ar ARG,DF,San Lorenzo,35,1984,8.2,1,4,2,50.0,0.49,0.24,0.25,0.50,9.6,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
607,Joao Rodríguez,co COL,"FW,MF",Cen. Córdoba–SdE,23,1996,4.9,2,13,4,30.8,2.68,0.82,0.08,0.25,24.1,0,1,1,1.6,0.8,0.06,+0.4,+0.2,Matches
608,Juan Rodríguez,ar ARG,DF,Defensa y Just,25,1994,21.5,0,9,1,11.1,0.42,0.05,0.00,0.00,9.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
609,Lucas Rodríguez,ar ARG,"MF,DF",Estudiantes–LP,22,1997,6.5,0,3,0,0.0,0.46,0.00,0.00,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
610,Maxi Rodríguez,ar ARG,"FW,MF",Newell's OB,38,1981,22.4,6,33,10,30.3,1.47,0.45,0.09,0.30,19.5,1,3,4,6.7,3.4,0.10,-0.7,-0.4,Matches
611,Ariel Rojas,ar ARG,MF,Atlé Tucumán,33,1986,15.3,0,8,0,0.0,0.52,0.00,0.00,,23.8,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
612,Matías Rojas,py PAR,"MF,FW",Racing Club,23,1995,15.5,1,41,11,26.8,2.64,0.71,0.02,0.09,26.0,7,0,0,2.9,2.9,0.07,-1.9,-1.9,Matches
613,Robert Rojas,py PAR,DF,River Plate,23,1996,13.0,1,12,2,16.7,0.92,0.15,0.08,0.50,12.7,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
614,Marcos Rojo,ar ARG,DF,Estudiantes–LP,29,1990,1.0,0,3,0,0.0,3.00,0.00,0.00,,17.3,0,0,0,0.7,0.7,0.23,-0.7,-0.7,Matches
615,Benjamín Rollheiser,ar ARG,"MF,FW",River Plate,19,2000,1.0,0,4,2,50.0,3.91,1.96,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
616,Nicolás Romat,ar ARG,DF,Huracán,31,1988,6.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
