rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
33,Julián Álvarez,ar ARG,"FW,MF",River Plate,19,2000,4.3,259,3,13,88,158,27,259,25,12,48.0,13,52.0,155,1002,376,18,9,9,14,9,165,50,Matches
34,Ricky Álvarez,ar ARG,MF,Vélez Sarsfield,31,1988,0.1,12,0,0,2,11,1,12,3,2,66.7,1,33.3,9,76,24,2,2,1,0,0,10,1,Matches
35,Gastón Álvarez Suárez,ae UAE,MF,Arsenal,26,1993,20.7,1258,25,218,709,347,38,1257,44,29,65.9,15,34.1,736,3593,2049,51,43,8,30,31,883,86,Matches
36,Tomás Álvarez,ar ARG,DF,Godoy Cruz,19,2000,1.1,55,8,27,23,6,0,55,0,0,,0,,14,174,82,1,1,0,2,0,16,0,Matches
37,Lisandro Alzugaray,ar ARG,MF,Cen. Córdoba–SdE,29,1990,10.7,499,9,82,238,195,27,499,66,39,59.1,27,40.9,313,2454,1286,32,31,9,26,17,329,60,Matches
38,Lucas Ambrogio,ar ARG,FW,Arg Juniors,20,1999,0.1,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,Matches
39,Esteban Andrada,ar ARG,GK,Boca Juniors,28,1991,20.0,691,525,688,3,0,0,691,1,1,100.0,0,0.0,351,2628,2001,0,0,0,0,0,243,0,Matches
40,Federico Andrada,ar ARG,FW,Aldosivi,25,1994,15.9,535,9,28,255,257,49,535,27,22,81.5,5,18.5,336,1375,494,18,12,5,55,26,415,108,Matches
41,Juan Andrada,ar ARG,MF,Godoy Cruz,24,1995,15.2,751,44,159,525,78,4,751,32,25,78.1,7,21.9,357,1738,835,14,14,2,30,12,383,16,Matches
42,Luca Andrada,ar ARG,MF,Racing Club,18,2001,0.8,41,1,11,22,9,0,41,0,0,,0,,18,76,47,1,2,0,1,2,27,1,Matches
43,Tomás Andrade,ar ARG,"FW,MF",Arg Juniors,22,1996,0.6,41,0,2,23,18,0,41,4,1,25.0,3,75.0,31,198,119,4,3,0,2,1,28,4,Matches
44,Walter Andrade,ar ARG,DF,Patronato,34,1984,2.0,58,10,27,26,5,5,58,0,0,,0,,8,18,11,0,0,0,1,1,12,0,Matches
45,Fernando Andrés Márquez,ar ARG,FW,Defensa y Just,31,1987,8.9,375,17,30,178,173,48,374,11,6,54.5,5,45.5,166,644,302,9,6,2,29,10,264,61,Matches
46,Mariano Andújar,ar ARG,GK,Estudiantes–LP,36,1983,23.0,688,592,686,2,0,0,688,1,1,100.0,0,0.0,318,1838,1451,0,0,0,1,0,214,0,Matches
47,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,30,1988,21.5,1204,98,482,704,34,6,1203,6,6,100.0,0,0.0,496,2876,2048,18,6,0,16,3,449,1,Matches
48,Marcos Angeleri,ar ARG,DF,Arg Juniors,36,1983,5.1,175,22,94,68,13,3,175,1,1,100.0,0,0.0,56,313,135,2,0,0,3,0,51,2,Matches
49,Fabrizio Angileri,ar ARG,"DF,MF",River Plate,25,1994,4.0,219,8,39,102,83,2,219,6,3,50.0,3,50.0,122,885,449,15,12,2,6,5,128,25,Matches
50,Alejo Antilef,ar ARG,MF,Arsenal,21,1998,1.0,47,0,1,29,17,3,47,2,2,100.0,0,0.0,25,118,66,3,2,0,1,2,37,8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
