rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558,23,19,0,28,13,1202,14,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687,24,23,3,42,30,1481,47,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353,30,39,3,52,40,1410,73,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,12,0,0,5,8,1,12,0,0,,0,,7,11,1,0,0,0,3,0,9,4,Matches
5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17,1,1,0,1,3,12,6,Matches
6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,9,0,2,5,2,0,9,0,0,,0,,9,34,12,0,0,0,0,0,8,0,Matches
7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,193,8,42,91,64,7,193,9,6,66.7,3,33.3,108,528,247,5,5,1,8,6,101,13,Matches
8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,1531,16,266,793,491,45,1531,80,46,57.5,34,42.5,996,5781,2665,66,50,17,59,47,1050,99,Matches
9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,1210,55,354,666,206,30,1210,32,22,68.8,10,31.3,705,3509,1564,16,19,6,19,17,741,28,Matches
10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,2469,221,1143,1274,59,34,2469,6,5,83.3,1,16.7,1611,7937,4516,11,7,0,7,4,1849,1,Matches
11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,1995,76,507,1015,487,27,1995,11,5,45.5,6,54.5,1133,5438,2920,61,54,4,31,5,1187,101,Matches
12,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,22,1999,15.0,1005,94,459,495,60,13,1005,4,1,25.0,3,75.0,715,4227,2449,18,14,3,8,5,669,12,Matches
13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,541,12,84,319,146,17,541,23,11,47.8,12,52.2,322,1663,769,16,11,2,21,10,341,39,Matches
14,Ludovic Ajorque,fr FRA,FW,Strasbourg,27,1994,30.4,1232,37,103,649,494,138,1229,27,14,51.9,13,48.1,651,2517,751,21,22,9,70,36,944,217,Matches
15,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,34,0,3,12,19,3,34,1,0,0.0,1,100.0,27,154,66,2,1,1,5,1,29,7,Matches
16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,131,6,32,69,30,0,131,4,2,50.0,2,50.0,72,244,142,3,5,0,6,2,85,10,Matches
17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,10,2,5,4,1,1,10,0,0,,0,,6,21,11,0,0,0,0,0,6,2,Matches
18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,419,334,415,4,0,0,419,0,0,,0,,272,1272,648,0,0,0,0,0,209,0,Matches
19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,570,2,42,227,313,70,570,58,25,43.1,33,56.9,388,2889,1418,60,31,20,91,32,410,150,Matches
20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,747,8,105,339,319,64,747,68,32,47.1,36,52.9,565,4604,2177,77,48,17,42,40,595,118,Matches
21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,517,44,251,255,16,4,517,7,6,85.7,1,14.3,339,1743,917,6,4,0,9,5,363,1,Matches
