rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Abner,br BRA,"DF,MF",Ath Paranaense,20,2000,21.6,0,14,0,0.0,0.65,0.00,0.00,,19.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
2,Luiz Adriano,br BRA,FW,Palmeiras,33,1987,10.4,3,26,12,46.2,2.50,1.15,0.12,0.25,13.3,0,0,0,4.2,4.2,0.16,-1.2,-1.2,Matches
3,Adson,br BRA,"FW,MF",Corinthians,20,2000,6.2,3,9,4,44.4,1.46,0.65,0.33,0.75,17.5,0,0,0,1.2,1.2,0.14,+1.8,+1.8,Matches
4,Airton,br BRA,FW,Ceará,21,1999,1.7,0,1,0,0.0,0.58,0.00,0.00,,4.3,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
5,Marcelo Ajul,br BRA,DF,Sport Recife,18,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Carlos Alberto,br BRA,"FW,MF",América (MG),18,2002,2.3,1,4,3,75.0,1.71,1.28,0.25,0.33,13.5,0,0,0,0.9,0.9,0.23,+0.1,+0.1,Matches
7,Yuri Alberto,br BRA,FW,Internacional,19,2001,29.9,12,90,43,47.8,3.01,1.44,0.13,0.28,15.2,0,0,0,14.2,14.2,0.16,-2.2,-2.2,Matches
8,Ale,br BRA,MF,América (MG),30,1990,22.3,3,31,9,29.0,1.39,0.40,0.10,0.33,20.4,0,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
9,Alerrandro,br BRA,FW,RB Bragantino,21,2000,8.6,4,17,9,52.9,1.97,1.04,0.24,0.44,19.1,1,0,0,2.4,2.4,0.14,+1.6,+1.6,Matches
10,Alesson,br BRA,MF,Bahia,21,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Alison,br BRA,"MF,DF",Santos,27,1993,4.7,0,2,0,0.0,0.42,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
12,Alisson,br BRA,"FW,MF",Grêmio,27,1993,20.8,3,56,19,33.9,2.69,0.91,0.05,0.16,20.5,0,0,0,4.2,4.2,0.07,-1.2,-1.2,Matches
