rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
645,Vinicius Silvestre,br BRA,GK,Palmeiras,26,1994,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
646,Raí Soares,br BRA,MF,Bahia,19,2001,1,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32,Matches
647,Fernando Sobral,br BRA,MF,Ceará,26,1994,36,35,3004,33.4,0,1,1,0,0,0,2,1,1.0,1.0,2.3,3.3,63,171,55,0.00,0.03,0.03,0.00,0.03,0.03,0.07,0.10,0.03,0.10,Matches
648,Diego Souza,br BRA,FW,Grêmio,35,1985,31,24,1764,19.6,10,2,12,10,0,2,2,0,7.1,5.6,4.3,10.0,18,47,84,0.51,0.10,0.61,0.51,0.61,0.36,0.22,0.58,0.29,0.51,Matches
649,Flávio Souza,br BRA,FW,Sport Recife,19,2001,3,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
650,Hugo Souza,br BRA,GK,Flamengo,22,1999,8,7,693,7.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
651,Igor Vinícius de Souza,br BRA,"DF,FW",São Paulo,23,1997,22,18,1676,18.6,0,0,0,0,0,0,6,0,0.7,0.7,1.5,2.1,44,89,102,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.11,0.04,0.11,Matches
652,Jackson de Souza,br BRA,DF,Fortaleza,30,1990,7,4,396,4.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,11,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.08,0.09,Matches
653,Maicon Souza,br BRA,MF,Grêmio,35,1985,4,1,88,1.0,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,2,18,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
