rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Abner,br BRA,"DF,MF",Ath Paranaense,20,2000,21.6,1424,47,315,681,435,35,1424,21,9,42.9,12,57.1,765,3613,1935,42,26,4,30,17,885,146,Matches
2,Luiz Adriano,br BRA,FW,Palmeiras,33,1987,10.4,228,11,17,108,104,38,228,2,0,0.0,2,100.0,124,543,241,3,7,2,5,7,162,42,Matches
3,Adson,br BRA,"FW,MF",Corinthians,20,2000,6.2,391,2,48,173,172,16,391,19,8,42.1,11,57.9,255,1301,605,16,8,1,15,6,317,54,Matches
4,Airton,br BRA,FW,Ceará,21,1999,1.7,49,2,8,19,24,4,49,7,2,28.6,5,71.4,29,281,117,5,5,1,6,4,32,9,Matches
5,Marcelo Ajul,br BRA,DF,Sport Recife,18,2002,0.2,8,0,2,6,0,0,8,0,0,,0,,5,50,39,0,0,0,0,0,5,0,Matches
6,Carlos Alberto,br BRA,"FW,MF",América (MG),18,2002,2.3,57,0,1,19,39,9,57,6,4,66.7,2,33.3,38,352,207,6,6,4,7,6,37,15,Matches
7,Yuri Alberto,br BRA,FW,Internacional,19,2001,29.9,1024,35,89,435,510,136,1024,39,18,46.2,21,53.8,545,2876,1233,47,31,24,84,29,746,217,Matches
8,Ale,br BRA,MF,América (MG),30,1990,22.3,1400,49,254,867,294,40,1400,29,21,72.4,8,27.6,876,4652,2192,41,27,2,38,35,948,74,Matches
9,Alerrandro,br BRA,FW,RB Bragantino,21,2000,8.6,237,12,26,91,120,23,237,10,4,40.0,6,60.0,118,347,111,4,5,4,24,15,172,34,Matches
10,Alesson,br BRA,MF,Bahia,21,1999,0.2,7,0,1,4,2,0,7,0,0,,0,,1,5,0,0,0,0,0,0,3,0,Matches
11,Alison,br BRA,"MF,DF",Santos,27,1993,4.7,446,18,132,292,24,2,446,6,5,83.3,1,16.7,294,1506,954,6,2,0,4,3,352,1,Matches
12,Alisson,br BRA,"FW,MF",Grêmio,27,1993,20.8,1160,14,108,438,625,67,1160,40,18,45.0,22,55.0,770,4215,2290,75,70,22,25,36,881,187,Matches
13,Allan,br BRA,MF,Atlético Mineiro,23,1997,29.8,2269,68,589,1494,204,6,2269,27,22,81.5,5,18.5,1393,6814,3678,31,29,0,23,14,1761,22,Matches
14,Henrique Almeida,br BRA,FW,Chapecoense,29,1991,6.0,219,6,19,118,84,10,219,22,11,50.0,11,50.0,128,540,176,5,7,2,25,10,149,21,Matches
15,Júnior Alonso,py PAR,DF,Atlético Mineiro,27,1993,22.0,1631,184,721,804,115,29,1631,4,4,100.0,0,0.0,890,3834,2278,8,17,1,11,5,1126,22,Matches
16,Jaime Alvarado,co COL,MF,Ath Paranaense,21,1999,0.8,37,1,15,20,2,0,37,0,0,,0,,28,155,73,2,0,0,0,1,33,1,Matches
17,Dani Alves,br BRA,"DF,FW",São Paulo,37,1983,5.5,458,14,71,249,140,8,458,7,3,42.9,4,57.1,259,971,567,9,13,0,7,3,292,27,Matches
18,Diego Alves,br BRA,GK,Flamengo,35,1985,25.3,649,573,647,3,0,0,649,1,1,100.0,0,0.0,354,1633,900,0,0,0,0,0,275,0,Matches
19,Felipe Alves Raymundo,br BRA,GK,Fortaleza,32,1988,19.5,624,466,615,9,0,0,624,1,1,100.0,0,0.0,366,2083,1415,0,0,0,1,0,317,0,Matches
20,Thonny Anderson,br BRA,"MF,FW",Bahia,23,1997,5.2,245,8,35,129,83,13,245,13,8,61.5,5,38.5,144,786,350,13,6,1,22,13,168,30,Matches
21,Yago Andrade,br BRA,FW,Palmeiras,17,2003,0.0,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
22,André,br BRA,MF,Fluminense,19,2001,21.2,1388,44,357,943,111,7,1388,54,41,75.9,13,24.1,848,3857,2020,11,18,3,25,17,964,12,Matches
23,André,br BRA,FW,Sport Recife,30,1990,15.1,534,17,50,285,209,35,533,24,12,50.0,12,50.0,312,1469,515,14,20,4,54,17,400,71,Matches
24,Ângelo,br BRA,"FW,MF",Santos,16,2004,6.5,279,4,28,104,157,22,279,54,28,51.9,26,48.1,205,2528,1004,35,25,13,33,11,205,57,Matches
25,Guilherme Arana,br BRA,DF,Atlético Mineiro,23,1997,25.4,1792,44,394,811,611,41,1792,60,32,53.3,28,46.7,1071,5838,3001,66,50,10,34,10,1210,164,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Willian Arão,br BRA,"MF,DF",Flamengo,28,1992,28.7,2105,141,586,1323,207,20,2105,7,4,57.1,3,42.9,1319,5003,2507,17,20,0,13,13,1551,21,Matches
27,Ángelo Araos,cl CHI,"MF,FW",Corinthians,24,1997,3.7,222,4,46,119,59,3,222,14,9,64.3,5,35.7,135,879,345,8,9,1,15,6,158,20,Matches
28,Lucas Araujo,br BRA,MF,Bahia,21,1999,5.1,228,14,65,142,23,1,228,2,1,50.0,1,50.0,109,457,192,2,3,0,3,4,118,5,Matches
29,Robert Arboleda,ec ECU,DF,São Paulo,29,1991,17.0,1109,135,529,554,33,17,1109,2,1,50.0,1,50.0,585,2596,1482,6,10,1,6,2,671,1,Matches
30,Jhon Arias,co COL,"FW,MF",Fluminense,23,1997,10.1,580,6,81,300,210,30,580,36,29,80.6,7,19.4,371,2379,1150,34,22,6,23,24,423,69,Matches
31,Arnaldo,br BRA,DF,Atl Goianiense,28,1992,14.0,911,69,315,384,229,11,911,29,19,65.5,10,34.5,411,2153,1062,24,16,3,20,9,496,74,Matches
32,Arthur,br BRA,"MF,FW",Atl Goianiense,22,1998,8.0,372,7,58,136,182,18,372,26,18,69.2,8,30.8,232,1642,628,16,10,4,27,10,251,43,Matches
33,Artur,br BRA,"FW,MF",RB Bragantino,22,1998,27.7,1399,15,148,484,793,90,1397,68,40,58.8,28,41.2,916,6141,3177,104,82,31,76,43,1011,226,Matches
34,Felipe Augusto,br BRA,FW,Corinthians,16,2004,0.2,11,0,0,5,7,0,11,0,0,,0,,5,29,6,0,2,0,5,0,7,1,Matches
35,Leo Augusto Pereira,br BRA,"FW,MF",Grêmio,20,2000,6.4,265,5,34,94,143,20,265,23,10,43.5,13,56.5,158,1371,619,28,14,4,22,10,174,65,Matches
36,Renato Augusto,br BRA,"MF,FW",Corinthians,32,1988,16.5,1181,9,141,693,356,48,1181,39,24,61.5,15,38.5,828,3405,1560,36,27,8,21,26,1009,113,Matches
37,Auremir,br BRA,MF,Cuiabá,29,1991,14.3,705,48,204,431,76,8,705,13,7,53.8,6,46.2,366,1802,866,13,9,3,32,12,425,12,Matches
38,Felipe Azevedo,br BRA,"FW,MF",América (MG),34,1987,25.8,1125,22,187,495,463,86,1124,66,35,53.0,31,47.0,683,4204,1636,48,38,15,59,41,782,184,Matches
39,Gui Azevedo,br BRA,FW,Grêmio,19,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
40,Márcio Azevedo,br BRA,"DF,MF",Ath Paranaense,34,1986,4.3,263,9,51,151,65,4,263,4,3,75.0,1,25.0,141,760,368,6,5,1,12,4,167,22,Matches
