rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
41,Koray Altınay,,"DF,MF",Fatih Karagümrük,28,1991,15.5,7,0,0,23,28,4,22,26,20,,,0,Matches
42,Hüseyin Altıntaş,tr TUR,GK,Denizlispor,25,1994,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches
43,Sami Altıparmak,,FW,Gençlerbirliği,19,2001,2.5,0,1,0,3,3,1,0,0,2,,,0,Matches
44,Amilton,br BRA,MF,Antalyaspor,30,1989,31.1,7,1,0,52,60,18,59,32,33,,,0,Matches
45,André,br BRA,FW,Gaziantep FK,29,1990,6.5,1,0,0,7,13,3,2,4,3,,,0,Matches
46,Diego Ângelo,br BRA,DF,Gençlerbirliği,34,1986,19.6,2,0,0,10,10,1,7,41,26,,,0,Matches
47,Marin Aničić,ba BIH,DF,Konyaspor,30,1989,1.3,0,0,0,0,0,0,0,3,2,,,0,Matches
48,Taylan Antalyalı,tr TUR,MF,Galatasaray,25,1995,29.9,8,0,0,43,46,0,10,63,34,,,0,Matches
49,Aaron Appindangoyé,ga GAB,DF,Sivasspor,28,1992,12.7,3,0,0,14,7,0,0,17,4,,,0,Matches
50,Hakan Arslan,tr TUR,MF,Sivasspor,32,1988,34.0,6,2,1,31,50,3,6,28,37,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Ömürcan Artan,,DF,Gençlerbirliği,21,1999,6.8,4,0,0,9,6,2,20,16,5,,,0,Matches
52,Vato Arveladze,ge GEO,MF,Fatih Karagümrük,22,1998,3.3,4,0,0,12,7,0,4,3,7,,,0,Matches
53,Serkan Asan,tr TUR,DF,Trabzonspor,21,1999,23.8,2,1,0,27,36,0,44,58,28,,,1,Matches
54,Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,19,2000,0.4,0,0,0,2,2,0,0,2,0,,,0,Matches
55,Daniel Avramovski,mk MKD,MF,Kayserispor,25,1995,21.3,4,0,0,28,23,0,80,27,24,,,0,Matches
56,Selim Ay,tr TUR,DF,Rizespor,29,1991,17.6,3,0,0,18,14,0,8,21,19,,,0,Matches
57,Hasan Ayaroğlu,tr TUR,"FW,MF",Alanyaspor,25,1995,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
58,Hasan Ayaroğlu,tr TUR,"MF,DF",Denizlispor,25,1995,7.3,2,0,0,13,16,0,19,9,10,,,0,Matches
59,Mirkan Aydın,de GER,FW,Hatayspor,33,1987,1.0,0,0,0,2,2,2,0,0,0,,,0,Matches
60,Soner Aydoğdu,tr TUR,MF,Göztepe,29,1991,35.5,5,0,0,47,21,2,68,32,28,,,0,Matches
61,Ender Aygören,tr TUR,MF,Ankaragücü,20,2000,1.4,2,0,0,4,2,0,2,0,0,,,0,Matches
62,Yavuz Aygün,tr TUR,GK,Fatih Karagümrük,24,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
63,Floyd Ayité,tg TOG,"MF,FW",Gençlerbirliği,31,1988,17.4,7,1,1,34,27,6,19,22,9,,,0,Matches
64,Sakıb Aytaç,tr TUR,DF,Denizlispor,28,1991,14.4,4,0,0,7,6,0,23,20,12,,,0,Matches
65,Embiya Ayyıldız,tr TUR,FW,Ankaragücü,20,2000,0.9,1,0,0,1,0,0,0,0,0,,,0,Matches
66,Serdar Aziz,tr TUR,DF,Fenerbahçe,29,1990,24.9,9,1,1,36,39,2,1,34,21,,,1,Matches
67,Abdul Aziz Tetteh,gh GHA,MF,Gaziantep FK,30,1990,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
68,Demba Ba,sn SEN,"FW,MF",Başakşehir,35,1985,18.7,1,0,0,18,24,6,2,3,2,,,0,Matches
69,Mahamadou Ba,ml MLI,MF,Erzurum BB,20,1999,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
70,Mame Baba Thiam,sn SEN,"MF,FW",Fenerbahçe,27,1992,16.3,2,0,0,33,17,12,12,9,13,,,0,Matches
71,Alperen Babacan,tr TUR,DF,Ankaragücü,23,1997,0.7,0,0,0,1,0,0,1,2,2,,,0,Matches
72,Volkan Babacan,tr TUR,GK,Başakşehir,31,1988,19.0,1,0,0,0,6,0,0,0,0,,,0,Matches
73,Khouma Babacar,sn SEN,"FW,MF",Alanyaspor,27,1993,17.8,7,1,1,44,18,8,17,5,7,,,0,Matches
74,Ryan Babel,nl NED,"MF,FW",Galatasaray,33,1986,17.6,5,0,0,27,12,7,43,8,3,,,0,Matches
75,Aliou Badji,sn SEN,FW,Ankaragücü,22,1997,8.5,3,0,0,11,7,1,1,3,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Fabrício Baiano,br BRA,"MF,DF",Rizespor,28,1992,21.8,10,1,1,48,30,0,53,23,25,,,0,Matches
77,Marvin Bakalorz,de GER,MF,Denizlispor,30,1989,23.1,8,0,0,54,28,4,14,33,30,,,0,Matches
78,Anastasios Bakasetas,gr GRE,"MF,FW",Alanyaspor,27,1993,17.7,5,0,0,27,33,0,107,8,18,,,0,Matches
79,Anastasios Bakasetas,gr GRE,MF,Trabzonspor,27,1993,18.0,3,0,0,23,33,1,75,10,13,,,0,Matches
80,Lewis Baker,eng ENG,MF,Trabzonspor,25,1995,29.5,7,0,0,35,17,0,100,34,16,,,0,Matches
81,Göktuğ Bakırbaş,tr TUR,GK,Erzurum BB,24,1996,2.5,0,0,0,0,0,0,0,0,0,,,0,Matches
82,Bünyamin Balcı,tr TUR,"DF,MF",Antalyaspor,20,2000,33.6,3,0,0,26,36,7,42,59,47,,,0,Matches
83,Jure Balkovec,si SVN,DF,Fatih Karagümrük,25,1994,32.2,6,0,0,16,33,1,159,39,38,,,0,Matches
84,Hélder Barbosa,pt POR,MF,Hatayspor,33,1987,3.1,0,0,0,6,3,1,10,1,3,,,0,Matches
85,Abdülkerim Bardakcı,tr TUR,DF,Konyaspor,25,1994,36.8,9,0,0,43,25,4,11,70,43,,,0,Matches
86,Adam Bareiro,py PAR,FW,Alanyaspor,24,1996,20.4,5,0,0,46,48,11,4,3,9,,,0,Matches
87,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Gaziantep FK,25,1995,1.7,0,0,0,7,1,0,8,1,1,,,0,Matches
88,Bilal Başaçıkoğlu,tr TUR,MF,Trabzonspor,25,1995,2.2,1,0,0,6,6,0,10,4,5,,,0,Matches
89,Yılmaz Basravi,,FW,Göztepe,20,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
90,Emrah Başsan,tr TUR,"MF,FW",Erzurum BB,28,1992,25.4,4,0,0,37,71,13,248,28,20,,,0,Matches
91,Altay Bayındır,tr TUR,GK,Fenerbahçe,22,1998,33.0,2,0,0,0,12,0,0,1,0,,,0,Matches
92,Gökdeniz Bayrakdar,tr TUR,"MF,FW",Antalyaspor,18,2001,20.3,6,0,0,40,11,11,8,11,18,,,0,Matches
93,Emin Bayram,tr TUR,DF,Galatasaray,17,2003,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
94,Ömer Bayram,tr TUR,"DF,MF",Galatasaray,29,1991,15.0,4,0,0,18,22,4,144,16,11,,,0,Matches
95,Aziz Behich,au AUS,DF,Kayserispor,29,1990,33.1,8,0,0,13,34,1,61,40,25,,,0,Matches
96,Efkan Bekiroğlu,,MF,Alanyaspor,24,1995,8.9,2,0,0,6,7,3,7,3,7,,,0,Matches
97,Younès Belhanda,ma MAR,MF,Galatasaray,30,1990,16.4,4,0,0,16,20,1,58,9,15,,,0,Matches
98,Aymen Ben Mohamed,tn TUN,DF,Denizlispor,25,1994,4.3,0,0,0,2,5,1,6,8,10,,,0,Matches
99,Zakarya Bergdich,ma MAR,DF,Denizlispor,31,1989,13.7,4,0,0,19,8,4,23,23,12,,,0,Matches
100,Zakarya Bergdich,ma MAR,DF,Erzurum BB,31,1989,4.6,4,0,0,8,1,0,10,4,13,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Rahmetullah Berişbek,tr TUR,"MF,DF",Gençlerbirliği,21,1999,6.3,1,0,0,5,7,2,14,14,10,,,0,Matches
102,Andrea Bertolacci,it ITA,MF,Fatih Karagümrük,29,1991,17.9,5,0,0,46,44,0,10,20,16,,,0,Matches
103,Lucas Biglia,ar ARG,MF,Fatih Karagümrük,34,1986,32.1,7,0,0,63,69,1,67,62,65,,,0,Matches
104,Jean-Claude Billong,cm CMR,DF,Hatayspor,26,1993,22.3,4,1,1,18,9,0,0,20,19,,,1,Matches
105,Tayfur Bingöl,tr TUR,"DF,MF",Alanyaspor,27,1993,11.7,1,0,0,11,16,0,48,18,15,,,0,Matches
106,Efe Binici,,MF,Göztepe,19,2001,0.3,1,0,0,4,0,0,0,0,0,,,0,Matches
107,Mame Biram Diouf,sn SEN,FW,Hatayspor,32,1987,35.4,4,0,0,73,37,18,11,9,20,,,1,Matches
108,Eray Birniçan,tr TUR,GK,Konyaspor,32,1988,10.0,0,0,0,1,2,0,0,1,0,,,0,Matches
109,Kristijan Bistrović,hr CRO,MF,Kasımpaşa,22,1998,16.1,5,0,0,22,18,0,31,24,15,,,0,Matches
110,André Biyogo Poko,ga GAB,MF,Göztepe,27,1993,0.7,1,0,0,3,1,0,0,0,1,,,0,Matches
111,Ruud Boffin,be BEL,GK,Antalyaspor,32,1987,35.0,6,1,0,1,3,0,0,2,2,,,0,Matches
112,Fernando Boldrin,br BRA,"MF,FW",Rizespor,31,1989,21.2,7,1,1,22,43,4,95,7,8,,,0,Matches
113,Jonathan Bolingi,cd COD,"FW,MF",Ankaragücü,26,1994,12.0,5,1,1,28,26,11,5,8,7,,,0,Matches
114,Boli Bolingoli-Mbombo,be BEL,DF,Başakşehir,25,1995,9.1,3,0,0,17,3,1,19,17,12,,,0,Matches
115,Fabio Borini,it ITA,"MF,FW",Fatih Karagümrük,29,1991,18.6,3,0,0,32,52,10,27,32,13,,,0,Matches
116,Petrus Boumal,cm CMR,MF,Erzurum BB,27,1993,23.3,9,1,1,40,24,0,5,30,22,,,0,Matches
117,Aaron Boupendza,ga GAB,MF,Hatayspor,23,1996,27.8,7,0,0,58,50,25,35,21,21,,,0,Matches
118,Tyler Boyd,us USA,MF,Sivasspor,25,1994,8.1,1,0,0,23,8,1,17,8,4,,,0,Matches
119,Tyler Boyd,us USA,MF,Beşiktaş,25,1994,3.5,1,0,0,10,6,0,9,3,2,,,0,Matches
120,Tomáš Břečka,cz CZE,DF,Kasımpaşa,26,1994,28.1,2,0,0,23,35,0,1,41,22,,,0,Matches
121,Onur Bulut,tr TUR,"DF,MF",Rizespor,26,1994,10.3,0,0,0,14,14,0,32,15,20,,,0,Matches
122,Umut Bulut,tr TUR,"FW,MF",Yeni Mal'spor,37,1983,19.6,2,0,0,14,18,4,11,2,12,,,0,Matches
123,Mustafa Burak Bozan,,GK,Gaziantep FK,19,2000,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
124,Dženan Bureković,ba BIH,DF,Göztepe,25,1995,10.2,1,0,0,17,4,0,27,17,10,,,0,Matches
125,Bohdan Butko,ua UKR,DF,Erzurum BB,29,1991,7.9,1,0,0,7,4,1,14,14,6,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Adem Büyük,tr TUR,"MF,FW",Yeni Mal'spor,32,1987,32.0,10,0,0,61,114,7,39,25,40,,,0,Matches
127,Zymer Bytyqi,no NOR,"MF,FW",Konyaspor,23,1996,11.2,0,0,0,4,3,3,99,2,4,,,0,Matches
128,Torgeir Børven,no NOR,"FW,MF",Ankaragücü,28,1991,17.6,1,0,0,22,6,13,6,7,5,,,0,Matches
129,Musa Çağıran,tr TUR,MF,Konyaspor,27,1992,5.0,2,0,0,9,10,1,4,5,8,,,0,Matches
130,Rahman Çağıran,tr TUR,MF,Erzurum BB,25,1995,3.6,0,0,0,2,5,1,5,4,4,,,0,Matches
131,Oğulcan Çağlayan,tr TUR,"MF,FW",Galatasaray,24,1996,9.4,1,0,0,20,5,7,24,8,9,,,0,Matches
132,Júnior Caiçara,br BRA,DF,Başakşehir,31,1989,5.6,1,0,0,9,8,0,25,11,6,,,0,Matches
133,Uğurcan Çakır,tr TUR,GK,Trabzonspor,24,1996,38.0,2,0,0,0,11,0,0,1,1,,,0,Matches
134,Samba Camara,ml MLI,DF,Sivasspor,27,1992,23.3,2,0,0,17,13,1,0,31,16,,,0,Matches
135,Burak Çamoğlu,tr TUR,DF,Hatayspor,23,1996,7.1,0,0,0,8,14,0,22,10,11,,,0,Matches
136,Gustavo Campanharo,br BRA,MF,Kayserispor,28,1992,21.8,4,0,0,61,44,0,33,46,52,,,0,Matches
137,Gastón Campi,ar ARG,DF,Fatih Karagümrük,29,1991,14.5,4,0,0,15,2,0,0,33,10,,,0,Matches
138,Gastón Campi,ar ARG,DF,Trabzonspor,29,1991,2.7,0,0,0,2,0,0,0,6,1,,,0,Matches
139,Mücahit Can Akçay,tr TUR,FW,Ankaragücü,22,1998,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
140,İrfan Can Eğribayat,tr TUR,GK,Göztepe,22,1998,35.0,3,0,0,1,3,0,0,1,0,,,0,Matches
141,Faruk Can Genç,,DF,Trabzonspor,20,2000,1.0,1,0,0,2,1,0,1,1,2,,,0,Matches
142,Görkem Can,tr TUR,DF,Denizlispor,20,2000,1.4,0,0,0,2,2,0,0,7,3,,,0,Matches
143,Ahmet Canbaz,tr TUR,MF,Trabzonspor,22,1998,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
144,Daniel Candeias,pt POR,MF,Gençlerbirliği,32,1988,33.6,7,0,0,45,31,7,291,25,40,,,0,Matches
145,Atakan Çankaya,tr TUR,"DF,MF",Ankaragücü,22,1998,18.7,6,0,0,29,41,2,8,40,52,,,0,Matches
146,Abdurrahman Canlı,,MF,Hatayspor,23,1997,2.1,2,0,0,5,3,0,2,2,2,,,0,Matches
147,Erdem Canpolat,de GER,GK,Kasımpaşa,19,2001,1.0,1,0,0,1,0,0,0,0,0,,,0,Matches
148,Oğuzhan Çapar,,DF,Kayserispor,23,1996,2.1,1,0,0,0,5,0,0,4,2,,,1,Matches
149,José Carlos Marafona,pt POR,GK,Alanyaspor,33,1987,37.0,3,0,0,1,5,0,0,0,2,,,0,Matches
150,Lucas Castro,ar ARG,MF,Fatih Karagümrük,31,1989,11.2,3,0,0,8,11,1,11,12,15,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Steven Caulker,sl SLE,DF,Alanyaspor,28,1991,32.0,5,0,0,17,9,0,6,40,10,,,1,Matches
152,Mesut Çaytemel,tr TUR,DF,Hatayspor,36,1984,18.6,4,0,0,18,10,0,79,16,17,,,0,Matches
153,Mustafa Çeçenoğlu,,DF,Gençlerbirliği,26,1994,2.3,0,0,0,2,2,0,14,4,2,,,0,Matches
154,Özgür Çek,tr TUR,DF,Denizlispor,29,1991,1.2,0,0,0,1,3,0,9,2,2,,,0,Matches
155,Endri Çekiçi,al ALB,MF,Ankaragücü,23,1996,23.8,6,1,0,39,55,9,90,28,24,,,0,Matches
156,Alpay Çelebi,tr TUR,DF,Alanyaspor,21,1999,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
157,Muğdat Çelik,tr TUR,"FW,MF",Kayserispor,30,1990,6.0,5,1,1,16,6,3,9,2,1,,,0,Matches
158,Osman Çelik,tr TUR,"MF,DF",Erzurum BB,28,1991,16.3,5,0,0,20,16,1,3,41,23,,,1,Matches
159,Korcan Çelikay,tr TUR,GK,Ankaragücü,32,1987,16.0,1,0,0,0,2,0,0,0,0,,,0,Matches
160,Sahverdi Cetin,de GER,MF,Ankaragücü,19,2000,4.6,3,0,0,11,4,0,12,9,6,,,0,Matches
161,Tarık Çetin,tr TUR,GK,Rizespor,23,1997,6.7,0,0,0,0,2,0,0,0,0,,,0,Matches
162,Bülent Cevahir,tr TUR,DF,Yeni Mal'spor,28,1992,4.6,0,0,0,2,7,0,23,9,5,,,0,Matches
163,Oğuz Ceylan,tr TUR,"DF,MF",Gaziantep FK,29,1990,22.3,4,1,1,26,18,3,84,40,30,,,0,Matches
164,Nacer Chadli,be BEL,"MF,FW",Başakşehir,30,1989,12.0,2,0,0,7,6,5,21,12,6,,,0,Matches
165,Aatif Chahechouhe,ma MAR,"MF,FW",Erzurum BB,34,1986,14.4,3,0,0,23,22,1,22,6,14,,,0,Matches
166,Aatif Chahechouhe,ma MAR,MF,Fatih Karagümrük,34,1986,6.1,0,0,0,12,11,0,8,4,12,,,0,Matches
167,Dimitris Chatziisaias,gr GRE,DF,Rizespor,27,1992,1.0,0,0,0,0,2,0,0,3,0,,,0,Matches
168,Issam Chebake,ma MAR,DF,Yeni Mal'spor,30,1989,32.8,7,0,0,50,51,2,81,56,36,,,0,Matches
169,Nadir Çiftçi,nl NED,FW,Rizespor,28,1992,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
170,Uğur Çiftçi,tr TUR,DF,Sivasspor,28,1992,33.1,6,0,0,58,22,4,99,41,62,,,0,Matches
171,Sadık Çiftpınar,tr TUR,DF,Fenerbahçe,27,1993,4.9,0,0,0,4,5,0,0,12,6,,,0,Matches
172,Tolga Ciğerci,tr TUR,MF,Fenerbahçe,28,1992,2.0,0,0,0,1,6,0,3,4,3,,,0,Matches
173,Tolga Ciğerci,tr TUR,MF,Başakşehir,28,1992,10.3,3,0,0,14,15,2,5,15,9,,,0,Matches
174,Mirza Cihan,,FW,Gaziantep FK,19,2000,0.5,0,0,0,0,1,0,2,0,1,,,0,Matches
175,Sokol Cikalleshi,al ALB,"FW,MF",Konyaspor,30,1990,27.3,3,0,0,61,50,18,23,12,18,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Orkan Çınar,tr TUR,MF,Ankaragücü,24,1996,3.2,0,0,0,5,6,0,26,3,4,,,0,Matches
177,İsmail Çipe,tr TUR,GK,Kayserispor,25,1995,4.5,0,0,0,1,0,0,0,1,0,,,0,Matches
178,Papiss Cissé,sn SEN,FW,Fenerbahçe,35,1985,8.6,2,0,0,14,7,4,2,3,4,,,0,Matches
179,Ramazan Civelek,tr TUR,"DF,MF",Kayserispor,24,1996,7.1,0,0,0,3,12,0,28,18,8,,,0,Matches
180,Ramazan Civelek,tr TUR,"DF,MF",Fatih Karagümrük,24,1996,9.6,1,0,0,7,13,0,18,11,15,,,0,Matches
181,Isaac Cofie,gh GHA,MF,Sivasspor,28,1991,16.2,5,0,0,24,10,0,3,24,21,,,0,Matches
