squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Alanyaspor,27,28.6,61.5,40,440,3600,40.0,57,31,88,49,8,9,85,2,1.42,0.77,2.2,1.22,2.0
Ankaragücü,35,26.8,44.3,40,440,3600,40.0,42,23,65,34,8,9,106,7,1.05,0.57,1.62,0.85,1.42
Antalyaspor,28,29.6,45.3,40,440,3600,40.0,41,26,67,36,5,5,100,11,1.02,0.65,1.67,0.9,1.55
Başakşehir,35,29.1,57.6,40,440,3600,40.0,41,25,66,38,3,8,73,7,1.02,0.62,1.65,0.95,1.58
Beşiktaş,29,27.6,60.5,40,440,3600,40.0,86,65,151,77,9,11,76,5,2.15,1.62,3.77,1.92,3.55
Denizlispor,40,28.7,47.6,40,440,3600,40.0,38,23,61,35,3,5,94,6,0.95,0.57,1.52,0.87,1.45
Erzurum BB,40,30.0,47.2,40,440,3600,40.0,43,30,73,38,5,6,95,7,1.07,0.75,1.82,0.95,1.7
Fatih Karagümrük,37,29.0,51.8,40,440,3600,40.0,63,45,108,56,7,10,100,6,1.58,1.13,2.7,1.4,2.52
Fenerbahçe,35,28.3,55.4,40,440,3600,40.0,69,47,116,60,9,12,83,4,1.72,1.17,2.9,1.5,2.67
Galatasaray,35,27.7,57.4,40,440,3600,40.0,77,43,120,62,15,16,82,8,1.92,1.07,3.0,1.55,2.62
Gaziantep FK,31,29.9,45.7,40,440,3600,40.0,58,34,92,47,11,11,94,5,1.45,0.85,2.3,1.17,2.03
Gençlerbirliği,30,28.6,45.6,40,440,3600,40.0,41,30,71,36,5,7,97,4,1.02,0.75,1.77,0.9,1.65
Göztepe,33,27.2,48.2,40,440,3600,40.0,57,42,99,53,4,5,78,2,1.42,1.05,2.48,1.32,2.37
Hatayspor,26,28.5,48.8,40,440,3600,40.0,59,41,100,50,9,9,93,10,1.47,1.02,2.5,1.25,2.27
Kasımpaşa,34,27.1,48.5,40,440,3600,40.0,45,29,74,41,4,7,85,7,1.13,0.72,1.85,1.02,1.75
Kayserispor,38,28.5,43.0,40,440,3600,40.0,33,25,58,31,2,3,90,7,0.82,0.62,1.45,0.77,1.4
Konyaspor,34,27.4,50.5,40,440,3600,40.0,49,38,87,43,6,8,91,1,1.22,0.95,2.17,1.07,2.03
Rizespor,35,28.4,49.5,40,440,3600,40.0,51,29,80,41,10,11,94,7,1.27,0.72,2.0,1.02,1.75
Sivasspor,27,30.2,46.5,40,440,3600,40.0,52,36,88,47,5,9,73,4,1.3,0.9,2.2,1.17,2.07
Trabzonspor,34,25.9,52.9,40,440,3600,40.0,48,28,76,45,3,4,73,7,1.2,0.7,1.9,1.13,1.82
Yeni Mal'spor,31,27.5,43.4,40,440,3600,40.0,46,29,75,37,9,10,77,4,1.15,0.72,1.87,0.92,1.65
