rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,28,1992,39,39,3241,36.0,3,4,7,3,0,0,6,0,0.08,0.11,0.19,0.08,0.19,Matches
2,Yusuf Abdioğlu,tr TUR,DF,Hatayspor,30,1989,21,19,1668,18.5,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Vincent Aboubakar,cm CMR,FW,Beşiktaş,28,1992,26,25,2124,23.6,15,5,20,11,4,4,0,0,0.64,0.21,0.85,0.47,0.68,Matches
4,Yaw Ackah,gh GHA,MF,Kayserispor,21,1999,11,6,478,5.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Yaw Ackah,gh GHA,MF,Erzurum BB,21,1999,2,1,54,0.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,28,1992,33,30,2457,27.3,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches
7,Kemal Ademi,ch SUI,FW,Fenerbahçe,24,1996,7,1,178,2.0,0,1,1,0,0,0,1,0,0.00,0.51,0.51,0.00,0.51,Matches
8,Kemal Ademi,ch SUI,FW,Fatih Karagümrük,24,1996,6,4,275,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Übeyd Adıyaman,tr TUR,GK,Gençlerbirliği,22,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Luka Adžić,rs SRB,MF,Ankaragücü,21,1998,11,4,397,4.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Benik Afobe,cd COD,FW,Trabzonspor,27,1993,28,10,1022,11.4,5,0,5,5,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches
12,Cenk Ahmet Alkılıç,tr TUR,"MF,DF",Erzurum BB,32,1987,29,27,2100,23.3,3,4,7,3,0,0,5,0,0.13,0.17,0.30,0.13,0.30,Matches
13,Serhat Ahmetoğlu,,"DF,MF",Fatih Karagümrük,18,2002,8,5,487,5.4,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches
14,Ismaïl Aissati,ma MAR,MF,Denizlispor,31,1988,13,11,981,10.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Emre Akbaba,tr TUR,MF,Galatasaray,27,1992,27,18,1398,15.5,5,2,7,5,0,1,2,0,0.32,0.13,0.45,0.32,0.45,Matches
16,Mustafa Akbaş,tr TUR,DF,Gençlerbirliği,30,1990,6,5,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Halil Akbunar,tr TUR,MF,Göztepe,26,1993,40,39,3349,37.2,9,10,19,9,0,0,3,0,0.24,0.27,0.51,0.24,0.51,Matches
18,Murat Akça,tr TUR,DF,Yeni Mal'spor,30,1990,4,3,280,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,İbrahim Akdağ,tr TUR,MF,Erzurum BB,29,1991,12,11,1000,11.1,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
20,İbrahim Akdağ,tr TUR,MF,Ankaragücü,29,1991,18,17,1367,15.2,2,0,2,0,2,2,6,0,0.13,0.00,0.13,0.00,0.00,Matches
21,Babajide Akintola,ng NGA,MF,Hatayspor,24,1996,35,34,2916,32.4,6,7,13,4,2,2,9,0,0.19,0.22,0.40,0.12,0.34,Matches
22,Gökhan Akkan,tr TUR,GK,Rizespor,25,1995,32,32,2815,31.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
23,Joseph Akomadi,gh GHA,MF,Hatayspor,20,1999,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,22,1997,25,18,1620,18.0,1,1,2,1,0,0,1,0,0.06,0.06,0.11,0.06,0.11,Matches
25,Aksel Aktas,tr TUR,MF,Fatih Karagümrük,21,1999,9,4,440,4.9,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Kubilay Aktaş,tr TUR,"MF,DF",Denizlispor,25,1995,14,9,951,10.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Kubilay Aktaş,tr TUR,DF,Gaziantep FK,25,1995,5,2,249,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,21,1998,27,6,860,9.6,6,2,8,5,1,1,1,0,0.63,0.21,0.84,0.52,0.73,Matches
29,Ufuk Akyol,de GER,MF,Antalyaspor,22,1997,15,6,615,6.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
30,Eren Albayrak,tr TUR,"DF,MF",Antalyaspor,29,1991,33,23,2207,24.5,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,Matches
31,Mücahit Albayrak,tr TUR,DF,Erzurum BB,29,1991,7,2,249,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Danijel Aleksić,rs SRB,MF,Başakşehir,29,1991,31,21,1827,20.3,6,2,8,5,1,1,6,0,0.30,0.10,0.39,0.25,0.34,Matches
33,Doğan Alemdar,tr TUR,GK,Kayserispor,17,2002,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Hasan Ali Kaldırım,tr TUR,DF,Başakşehir,30,1989,23,21,1796,20.0,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
35,Ömer Ali Şahiner,tr TUR,"MF,FW",Konyaspor,28,1992,12,10,892,9.9,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
36,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,28,1992,16,14,1206,13.4,2,0,2,2,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches
37,Mehmet Ali Ulaman,,MF,Denizlispor,17,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Denis Alibec,ro ROU,"FW,MF",Kayserispor,29,1991,15,8,667,7.4,2,1,3,2,0,1,3,0,0.27,0.13,0.40,0.27,0.40,Matches
39,Kerim Alıcı,tr TUR,DF,Göztepe,23,1997,5,4,316,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Akın Alkan,,GK,Hatayspor,31,1989,4,3,316,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Koray Altınay,,"DF,MF",Fatih Karagümrük,28,1991,25,16,1394,15.5,0,2,2,0,0,0,7,0,0.00,0.13,0.13,0.00,0.13,Matches
42,Hüseyin Altıntaş,tr TUR,GK,Denizlispor,25,1994,3,2,229,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Sami Altıparmak,,FW,Gençlerbirliği,19,2001,15,1,224,2.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
44,Amilton,br BRA,MF,Antalyaspor,30,1989,35,33,2800,31.1,5,4,9,5,0,0,7,1,0.16,0.13,0.29,0.16,0.29,Matches
45,André,br BRA,FW,Gaziantep FK,29,1990,19,4,589,6.5,2,0,2,2,0,0,1,0,0.31,0.00,0.31,0.31,0.31,Matches
46,Diego Ângelo,br BRA,DF,Gençlerbirliği,34,1986,25,21,1768,19.6,3,1,4,3,0,0,2,0,0.15,0.05,0.20,0.15,0.20,Matches
47,Marin Aničić,ba BIH,DF,Konyaspor,30,1989,2,2,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Taylan Antalyalı,tr TUR,MF,Galatasaray,25,1995,34,30,2688,29.9,1,2,3,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,Matches
49,Aaron Appindangoyé,ga GAB,DF,Sivasspor,28,1992,13,13,1147,12.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Hakan Arslan,tr TUR,MF,Sivasspor,32,1988,36,35,3061,34.0,7,2,9,7,0,0,6,2,0.21,0.06,0.26,0.21,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ömürcan Artan,,DF,Gençlerbirliği,21,1999,10,7,614,6.8,0,1,1,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches
52,Vato Arveladze,ge GEO,MF,Fatih Karagümrük,22,1998,16,2,293,3.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Serkan Asan,tr TUR,DF,Trabzonspor,21,1999,28,25,2146,23.8,1,2,3,1,0,0,2,1,0.04,0.08,0.13,0.04,0.13,Matches
54,Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,19,2000,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Daniel Avramovski,mk MKD,MF,Kayserispor,25,1995,24,24,1916,21.3,2,3,5,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,Matches
56,Selim Ay,tr TUR,DF,Rizespor,29,1991,19,18,1586,17.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Hasan Ayaroğlu,tr TUR,"FW,MF",Alanyaspor,25,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Hasan Ayaroğlu,tr TUR,"MF,DF",Denizlispor,25,1995,19,6,661,7.3,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
59,Mirkan Aydın,de GER,FW,Hatayspor,33,1987,8,0,87,1.0,1,0,1,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,Matches
60,Soner Aydoğdu,tr TUR,MF,Göztepe,29,1991,39,38,3191,35.5,4,5,9,4,0,0,5,0,0.11,0.14,0.25,0.11,0.25,Matches
61,Ender Aygören,tr TUR,MF,Ankaragücü,20,2000,3,2,125,1.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Yavuz Aygün,tr TUR,GK,Fatih Karagümrük,24,1996,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Floyd Ayité,tg TOG,"MF,FW",Gençlerbirliği,31,1988,30,17,1569,17.4,3,1,4,3,0,0,7,1,0.17,0.06,0.23,0.17,0.23,Matches
64,Sakıb Aytaç,tr TUR,DF,Denizlispor,28,1991,17,15,1294,14.4,1,1,2,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
65,Embiya Ayyıldız,tr TUR,FW,Ankaragücü,20,2000,5,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Serdar Aziz,tr TUR,DF,Fenerbahçe,29,1990,27,26,2244,24.9,3,1,4,3,0,0,9,1,0.12,0.04,0.16,0.12,0.16,Matches
67,Abdul Aziz Tetteh,gh GHA,MF,Gaziantep FK,30,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Demba Ba,sn SEN,"FW,MF",Başakşehir,35,1985,26,17,1681,18.7,5,1,6,5,0,1,1,0,0.27,0.05,0.32,0.27,0.32,Matches
69,Mahamadou Ba,ml MLI,MF,Erzurum BB,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Mame Baba Thiam,sn SEN,"MF,FW",Fenerbahçe,27,1992,30,19,1469,16.3,6,2,8,6,0,0,2,0,0.37,0.12,0.49,0.37,0.49,Matches
71,Alperen Babacan,tr TUR,DF,Ankaragücü,23,1997,1,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Volkan Babacan,tr TUR,GK,Başakşehir,31,1988,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Khouma Babacar,sn SEN,"FW,MF",Alanyaspor,27,1993,25,21,1606,17.8,8,1,9,6,2,2,7,1,0.45,0.06,0.50,0.34,0.39,Matches
