squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América (MG),46,29.1,43.0,38,418,3420,38.0,42,30,72,38,4,6,89,10,46.6,42.0,34.4,76.4,638,1387,1.11,0.79,1.89,1.0,1.79,1.23,0.9,2.13,1.11,2.01
Ath Paranaense,40,26.1,48.5,38,418,3420,38.0,51,38,89,47,4,4,109,4,51.1,48.2,38.9,87.1,592,1362,1.34,1.0,2.34,1.24,2.24,1.34,1.02,2.37,1.27,2.29
Atlético Mineiro,31,28.7,52.7,38,418,3420,38.0,51,35,86,45,6,6,113,5,46.5,42.3,32.9,75.2,669,1399,1.34,0.92,2.26,1.18,2.11,1.22,0.87,2.09,1.11,1.98
Bahia,35,26.9,49.6,38,418,3420,38.0,48,28,76,44,4,4,100,5,50.6,47.5,31.8,79.3,688,1502,1.26,0.74,2.0,1.16,1.89,1.33,0.84,2.17,1.25,2.09
Botafogo (RJ),36,28.5,48.1,38,418,3420,38.0,56,40,96,51,5,7,93,4,50.1,44.6,33.1,77.6,658,1438,1.47,1.05,2.53,1.34,2.39,1.32,0.87,2.19,1.17,2.04
Corinthians,36,27.4,48.8,38,418,3420,38.0,45,28,73,39,6,7,91,3,40.5,35.1,27.0,62.1,649,1377,1.18,0.74,1.92,1.03,1.76,1.07,0.71,1.77,0.92,1.63
Coritiba,47,27.1,43.9,38,418,3420,38.0,40,25,65,32,8,9,124,5,39.3,32.2,25.6,57.8,551,1147,1.05,0.66,1.71,0.84,1.5,1.03,0.67,1.71,0.85,1.52
Cruzeiro,38,27.8,51.4,38,418,3420,38.0,32,26,58,30,2,4,101,4,48.9,45.7,35.7,81.4,636,1650,0.84,0.68,1.53,0.79,1.47,1.29,0.94,2.22,1.2,2.14
Cuiabá,30,28.1,43.7,38,418,3420,38.0,39,24,63,32,7,8,91,3,38.7,32.7,24.8,57.5,577,1361,1.03,0.63,1.66,0.84,1.47,1.02,0.65,1.67,0.86,1.51
Flamengo,32,26.7,57.4,38,418,3420,38.0,55,39,94,47,8,9,85,5,50.4,43.4,34.4,77.8,713,1953,1.45,1.03,2.47,1.24,2.26,1.33,0.91,2.23,1.14,2.05
Fluminense,37,29.1,61.5,38,418,3420,38.0,51,36,87,48,3,5,124,9,50.4,46.4,36.4,82.8,847,1624,1.34,0.95,2.29,1.26,2.21,1.33,0.96,2.28,1.22,2.18
Fortaleza,32,29.7,46.6,38,418,3420,38.0,44,29,73,39,5,7,97,1,51.5,46.0,35.1,81.1,695,1451,1.16,0.76,1.92,1.03,1.79,1.36,0.92,2.28,1.21,2.13
Goiás,42,27.7,44.6,38,418,3420,38.0,35,22,57,30,5,5,107,6,36.7,32.8,24.6,57.4,523,1284,0.92,0.58,1.5,0.79,1.37,0.96,0.65,1.61,0.86,1.51
Grêmio,44,27.9,46.7,38,418,3420,38.0,61,45,106,56,5,7,103,5,50.0,44.6,36.5,81.1,541,1541,1.61,1.18,2.79,1.47,2.66,1.31,0.96,2.28,1.17,2.13
Internacional,35,28.4,51.6,38,418,3420,38.0,45,30,75,42,3,4,111,6,42.4,39.1,29.0,68.1,618,1389,1.18,0.79,1.97,1.11,1.89,1.11,0.76,1.88,1.03,1.79
Palmeiras,33,26.9,52.7,38,418,3420,38.0,62,44,106,60,2,4,96,4,57.2,54.1,43.1,97.2,788,1593,1.63,1.16,2.79,1.58,2.74,1.5,1.13,2.64,1.42,2.56
RB Bragantino,35,24.2,56.5,38,418,3420,38.0,48,30,78,45,3,3,109,6,57.9,55.5,39.2,94.7,721,1768,1.26,0.79,2.05,1.18,1.97,1.52,1.03,2.55,1.46,2.49
Santos,46,26.5,44.4,38,418,3420,38.0,37,26,63,31,6,6,105,8,42.6,37.9,28.9,66.8,709,1237,0.97,0.68,1.66,0.82,1.5,1.12,0.76,1.88,1.0,1.76
São Paulo,38,26.7,59.5,38,418,3420,38.0,40,27,67,35,5,9,107,5,49.5,42.1,33.1,75.2,694,1665,1.05,0.71,1.76,0.92,1.63,1.3,0.87,2.17,1.11,1.98
Vasco da Gama,38,26.2,48.8,38,418,3420,38.0,41,30,71,37,4,4,101,6,47.6,44.5,32.4,76.9,664,1358,1.08,0.79,1.87,0.97,1.76,1.25,0.85,2.1,1.17,2.02
