rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Palmeiras,38,20,10,8,64,33,31,70,1.84,57.2,39.4,17.8,0.47,33220,Endrick - 11,Wéverton,→ Copa Libertadores via league finish
2,Grêmio,38,21,5,12,63,56,7,68,1.79,50.0,55.4,-5.4,-0.14,34585,Luis Suárez - 17,Gabriel Chapecó,→ Copa Libertadores via league finish
3,Atlético Mineiro,38,19,9,10,52,32,20,66,1.74,46.5,40.9,5.5,0.15,33068,Paulinho - 20,Éverson,→ Copa Libertadores via league finish
4,Flamengo,38,19,9,10,56,42,14,66,1.74,50.4,45.3,5.2,0.14,57486,Pedro - 13,Matheus Cunha,→ Copa Libertadores via league finish
5,Botafogo (RJ),38,18,10,10,58,37,21,64,1.68,50.1,49.0,1.0,0.03,27290,Tiquinho Soares - 17,Lucas Perri,→ Copa Libertadores via league finish
6,RB Bragantino,38,17,11,10,49,35,14,62,1.63,57.9,42.9,15.1,0.4,6051,Eduardo Sasha - 11,Cleiton Schwengber,→ Copa Libertadores via league finish
7,Fluminense,38,16,8,14,51,47,4,56,1.47,50.4,48.7,1.7,0.04,34431,Germán Cano - 10,Fábio,→ Copa Libertadores
8,Ath Paranaense,38,14,14,10,51,43,8,56,1.47,51.1,46.6,4.5,0.12,22378,Vitor Roque - 12,Bento,→ Copa Sudamericana via league finish
9,Internacional,38,15,10,13,46,45,1,55,1.45,42.4,47.2,-4.8,-0.13,26675,Enner Valencia - 9,Sergio Rochet,→ Copa Sudamericana via league finish
10,Fortaleza,38,15,9,14,45,44,1,54,1.42,51.5,43.7,7.8,0.2,33540,Juan Martín Lucero - 9,João Ricardo Riedi,→ Copa Sudamericana via league finish
11,São Paulo,38,14,11,13,40,38,2,53,1.39,49.5,36.7,12.7,0.33,43800,"Luciano, Jonathan Calleri - 9",Rafael Pires,→ Copa Libertadores via cup win
12,Cuiabá,38,14,9,15,40,39,1,51,1.34,38.7,42.1,-3.4,-0.09,16859,Deyverson - 12,Walter,→ Copa Sudamericana via league finish
13,Corinthians,38,12,14,12,47,48,-1,50,1.32,40.5,49.6,-9.1,-0.24,36565,"Ángel Romero, Yuri Alberto - 8",Cássio,→ Copa Sudamericana via league finish
14,Cruzeiro,38,11,14,13,35,32,3,47,1.24,48.9,42.2,6.7,0.18,30527,Bruno Nascimento - 8,Rafael Cabral,→ Copa Sudamericana via league finish
15,Vasco da Gama,38,12,9,17,41,51,-10,45,1.18,47.6,46.2,1.3,0.03,21746,Pablo Vegetti - 10,Léo Jardim,
16,Bahia,38,12,8,18,50,53,-3,44,1.16,50.6,51.2,-0.6,-0.02,36970,Everaldo Stum - 9,Marcos Felipe,
17,Santos,38,11,10,17,39,64,-25,43,1.13,42.6,51.5,-8.9,-0.23,8196,Marcos Leonardo - 13,João Paulo,Relegated
18,Goiás,38,9,11,18,36,53,-17,38,1.0,36.7,45.9,-9.3,-0.24,10026,Guilherme - 6,Tadeu,Relegated
19,Coritiba,38,8,6,24,41,73,-32,30,0.79,39.3,60.8,-21.6,-0.57,20770,Robson - 12,Gabriel,Relegated
20,América (MG),38,5,9,24,42,81,-39,24,0.63,46.6,62.8,-16.2,-0.43,6373,Gonzalo Mastriani - 11,Matheus Cavichioli,Relegated
