rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
2,Saleh Al Abbas,sa KSA,"FW,MF",Al-Riyadh SC,29,1993,17.5,8,31,17,54.8,1.77,0.97,0.26,0.47,,0,1,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Khaleej,23,2000,1.2,0,0,0,,0.00,0.00,,,,0,0,Matches
4,Ahmed Abdu,sa KSA,FW,Al-Shabab,26,1996,1.0,1,4,1,25.0,4.00,1.00,0.25,1.00,,0,0,Matches
5,Ahmed Abdu,sa KSA,FW,Abha,26,1996,10.7,3,23,6,26.1,2.16,0.56,0.13,0.50,,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Hilal,24,1999,28.6,3,19,8,42.1,0.66,0.28,0.16,0.38,,0,0,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,37,1986,3.7,0,0,0,,0.00,0.00,,,,0,0,Matches
8,Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ettifaq,20,2003,15.2,0,1,1,100.0,0.07,0.07,0.00,0.00,,0,0,Matches
9,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,,,9.7,0,3,0,0.0,0.31,0.00,0.00,,,0,0,Matches
10,Hassan Abo Shararah,sa KSA,MF,Damac,26,1997,1.4,0,3,1,33.3,2.16,0.72,0.00,0.00,,0,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,FW,Al-Ettifaq,28,1995,1.9,0,2,0,0.0,1.08,0.00,0.00,,,0,0,Matches
12,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,28,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Hazem,33,1990,8.3,0,4,1,25.0,0.48,0.12,0.00,0.00,,0,0,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Hazem,22,2001,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,,0,0,Matches
15,Mohammed Al Absi,sa KSA,GK,Al-Shabab,20,2002,6.0,0,0,0,,0.00,0.00,,,,0,0,Matches
16,Talal Al-Absi,sa KSA,DF,Al-Hazem,30,1993,11.3,0,2,1,50.0,0.18,0.09,0.00,0.00,,0,0,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Nassr,28,1995,0.2,0,2,0,0.0,9.00,0.00,0.00,,,0,0,Matches
18,Abdulfattah Adam,sa KSA,"FW,MF",Al-Taawoun,28,1995,8.4,6,18,7,38.9,2.15,0.84,0.33,0.86,,0,0,Matches
19,Mo Adams,eng ENG,MF,Al-Khaleej,26,1996,2.3,0,0,0,,0.00,0.00,,,,0,0,Matches
20,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,24,1999,19.2,2,13,5,38.5,0.68,0.26,0.15,0.40,,0,0,Matches
21,Sultan Al Akouz,sa KSA,MF,Al-Wehda,22,2001,1.4,0,3,0,0.0,2.11,0.00,0.00,,,0,0,Matches
