rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,25,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Saleh Al Abbas,sa KSA,"FW,MF",Al-Riyadh SC,29,1993,27,18,1578,17.5,8,3,11,8,0,1,2,0,0.46,0.17,0.63,0.46,0.63,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Khaleej,23,2000,7,1,110,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Ahmed Abdu,sa KSA,FW,Al-Shabab,26,1996,2,0,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
5,Ahmed Abdu,sa KSA,FW,Abha,26,1996,24,10,959,10.7,3,2,5,3,0,0,2,0,0.28,0.19,0.47,0.28,0.47,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Hilal,24,1999,32,29,2573,28.6,3,4,7,3,0,0,5,0,0.10,0.14,0.24,0.10,0.24,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,37,1986,4,3,335,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Mohamed Abdulrahman,sa KSA,"DF,MF",Al-Ettifaq,20,2003,26,17,1369,15.2,0,1,1,0,0,0,5,1,0.00,0.07,0.07,0.00,0.07,Matches
9,Fahad Al Abdulraziq,sa KSA,"DF,MF",Al-Taawoun,,,19,7,870,9.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Hassan Abo Shararah,sa KSA,MF,Damac,26,1997,3,2,125,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Abdulrahman Al-Aboud,sa KSA,FW,Al-Ettifaq,28,1995,7,1,167,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,28,1995,3,0,74,0.8,0,1,1,0,0,0,0,0,0.00,1.22,1.22,0.00,1.22,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Hazem,33,1990,13,8,748,8.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Hazem,22,2001,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Mohammed Al Absi,sa KSA,GK,Al-Shabab,20,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Talal Al-Absi,sa KSA,DF,Al-Hazem,30,1993,14,11,1017,11.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Nassr,28,1995,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Abdulfattah Adam,sa KSA,"FW,MF",Al-Taawoun,28,1995,21,6,752,8.4,6,0,6,6,0,0,1,1,0.72,0.00,0.72,0.72,0.72,Matches
19,Mo Adams,eng ENG,MF,Al-Khaleej,26,1996,6,2,210,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Waleed Al Ahmad,sa KSA,DF,Al-Taawoun,24,1999,23,20,1730,19.2,2,0,2,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
21,Sultan Al Akouz,sa KSA,MF,Al-Wehda,22,2001,7,0,128,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
