rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Abner,br BRA,DF,Juventude,21-192,2004,14.2,708,117,448,254,12,6,708,6,4,66.7,2,33.3,411,2061,1035,6,0,0,4,1,443,1,Matches
2,Nicolás Acevedo,uy URU,MF,Bahia,26-197,1999,13.2,1040,55,276,595,187,9,1040,29,14,48.3,12,41.4,624,2974,1593,20,20,6,19,25,722,10,Matches
3,Luciano Acosta,ar ARG,"MF,FW",Fluminense,31-150,1994,7.4,394,3,32,179,188,25,394,23,9,39.1,11,47.8,206,857,471,16,12,5,17,14,286,32,Matches
4,Adson,br BRA,"FW,MF",Vasco da Gama,25-022,2000,2.3,181,3,21,80,82,5,181,15,3,20.0,10,66.7,128,637,252,6,9,1,1,1,149,17,Matches
5,Braian Aguirre,ar ARG,DF,Internacional,25-092,2000,23.4,1570,68,407,746,422,15,1570,25,13,52.0,12,48.0,797,3285,1782,32,31,3,25,9,894,126,Matches
6,Carlos Alberto,br BRA,"FW,MF",Sport Recife,23-197,2002,3.7,115,4,19,47,52,13,115,13,4,30.8,9,69.2,52,394,181,5,3,4,11,2,61,20,Matches
7,Yuri Alberto,br BRA,FW,Corinthians,24-224,2001,16.4,389,9,19,175,200,70,387,20,9,45.0,11,55.0,237,1251,611,21,11,13,41,11,303,92,Matches
8,José Aldo,br BRA,MF,Mirassol,27-095,1998,11.9,769,30,151,454,173,23,769,27,12,44.4,15,55.6,416,1908,856,12,7,3,24,16,508,37,Matches
9,Alesson,br BRA,FW,Mirassol,26-254,1999,11.0,426,8,61,156,219,40,426,54,23,42.6,29,53.7,261,1669,801,34,23,7,30,30,298,91,Matches
10,Caio Alexandre,br BRA,MF,Bahia,26-246,1999,13.1,1078,68,269,599,216,5,1078,22,9,40.9,10,45.5,670,3105,1478,11,15,2,15,7,829,16,Matches
11,Matheus Alexandre,br BRA,DF,Sport Recife,26-204,1999,14.4,767,39,225,334,224,19,767,20,9,45.0,7,35.0,363,2150,1104,37,23,2,15,9,398,58,Matches
12,Alexsander,br BRA,MF,Atlético Mineiro,22-020,2003,4.0,237,0,28,150,63,8,237,12,4,33.3,7,58.3,158,857,433,10,5,4,12,12,164,7,Matches
13,Alisson,br BRA,MF,São Paulo,32-125,1993,19.2,1329,47,245,848,240,12,1329,9,3,33.3,5,55.6,881,3922,2010,25,20,2,14,8,1013,31,Matches
14,Allan,br BRA,MF,Flamengo,28-239,1997,7.6,621,23,107,420,95,1,621,8,4,50.0,3,37.5,387,1825,852,7,14,0,11,4,490,7,Matches
15,Allan,br BRA,"MF,FW",Palmeiras,21-192,2004,6.3,308,5,67,145,105,23,308,26,11,42.3,13,50.0,161,980,485,14,10,6,18,12,171,29,Matches
