rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Jeff Attinella,us USA,GK,Portland Timbers,31,1988,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches
2,Joe Bendik,us USA,GK,Philadelphia Union,30,1989,2,1,91,1.0,2,1.98,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
3,David Bingham,us USA,GK,LA Galaxy,30,1989,18,18,1620,18.0,35,1.94,87,50,63.2,5,4,9,3,16.7,5,3,2,0,40.0,Matches
4,Andre Blake,jm JAM,GK,Philadelphia Union,29,1990,21,21,1889,21.0,18,0.86,81,63,79.0,13,5,3,8,38.1,2,1,0,1,0.0,Matches
5,Alex Bono,us USA,GK,Toronto FC,25,1994,3,3,270,3.0,0,0.00,16,16,100.0,2,1,0,3,100.0,1,0,0,1,,Matches
6,Evan Bush,us USA,GK,Vancouver W'caps,33,1986,8,8,720,8.0,10,1.25,32,22,71.9,4,0,4,1,12.5,1,1,0,0,0.0,Matches
7,Steve Clark,us USA,GK,Portland Timbers,33,1986,20,20,1800,20.0,29,1.45,93,63,69.9,10,6,4,5,25.0,2,1,1,0,50.0,Matches
8,Maxime Crépeau,ca CAN,GK,Vancouver W'caps,25,1994,4,4,327,3.6,10,2.75,22,12,59.1,1,0,3,1,25.0,1,1,0,0,0.0,Matches
9,Mario Daniel Vega,ar ARG,GK,SJ Earthquakes,35,1984,12,12,1080,12.0,37,3.08,77,41,55.8,2,4,6,3,25.0,4,3,1,0,25.0,Matches
10,Clément Diop,sn SEN,GK,Montreal Impact,26,1993,20,20,1800,20.0,36,1.80,108,72,68.5,7,2,11,3,15.0,3,2,1,0,33.3,Matches
11,Bobby Edwards,us USA,GK,FC Cincinnati,24,1995,2,2,180,2.0,3,1.50,6,3,66.7,1,0,1,0,0.0,1,1,0,0,0.0,Matches
12,Matt Freese,us USA,GK,Philadelphia Union,21,1998,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
13,Stefan Frei,ch SUI,GK,Seattle Sounders,33,1986,22,22,1980,22.0,23,1.05,82,60,74.4,11,6,5,6,27.3,2,2,0,0,0.0,Matches
14,Pedro Gallese,pe PER,GK,Orlando City,29,1990,19,19,1710,19.0,20,1.05,71,51,73.2,11,5,3,3,15.8,2,1,1,0,50.0,Matches
15,Jesse Gonzalez,mx MEX,GK,FC Dallas,24,1995,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,1,50.0,0,0,0,0,,Matches
16,Brad Guzan,us USA,GK,Atlanta Utd,35,1984,23,23,2070,23.0,30,1.30,89,59,66.3,6,4,13,6,26.1,0,0,0,0,,Matches
17,Bill Hamid,us USA,GK,D.C. United,29,1990,17,17,1530,17.0,32,1.88,86,55,65.1,3,4,10,2,11.8,3,2,0,1,0.0,Matches
