squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Atlanta Utd,27,25.6,54.7,23,253,2070,23.0,23,17,40,20,3,4,49,3,22.5,19.4,15.4,34.7,418,898,1.0,0.74,1.74,0.87,1.61,0.98,0.67,1.65,0.84,1.51
Chicago Fire,25,26.7,51.2,23,253,2070,23.0,33,26,59,31,2,4,40,1,39.6,36.4,29.2,65.6,347,873,1.43,1.13,2.57,1.35,2.48,1.72,1.27,2.99,1.58,2.85
Colorado Rapids,22,25.8,52.0,18,198,1620,18.0,30,26,56,30,0,0,30,2,24.3,24.3,20.9,45.2,358,730,1.67,1.44,3.11,1.67,3.11,1.35,1.16,2.51,1.35,2.51
Columbus Crew,26,27.4,52.0,23,253,2070,23.0,34,26,60,33,1,4,45,0,32.2,29.0,24.2,53.2,405,957,1.48,1.13,2.61,1.43,2.57,1.4,1.05,2.46,1.26,2.31
D.C. United,26,26.6,46.0,23,253,2070,23.0,24,12,36,20,4,4,44,3,23.4,20.4,15.5,35.9,265,666,1.04,0.52,1.57,0.87,1.39,1.02,0.67,1.69,0.89,1.56
FC Cincinnati,30,27.5,49.3,23,253,2070,23.0,11,5,16,10,1,2,40,0,21.3,19.7,14.4,34.1,314,661,0.48,0.22,0.7,0.43,0.65,0.93,0.63,1.55,0.86,1.48
FC Dallas,27,27.0,51.2,22,242,1980,22.0,28,18,46,25,3,3,41,1,34.1,31.7,26.6,58.4,444,828,1.27,0.82,2.09,1.14,1.95,1.55,1.21,2.76,1.44,2.65
Houston Dynamo,26,27.7,48.7,23,253,2070,23.0,30,20,50,28,2,4,55,3,35.7,32.6,24.9,57.5,410,1016,1.3,0.87,2.17,1.22,2.09,1.55,1.08,2.63,1.42,2.5
Inter Miami,28,26.8,47.3,23,253,2070,23.0,24,18,42,23,1,2,57,4,30.2,28.6,23.8,52.4,387,921,1.04,0.78,1.83,1.0,1.78,1.31,1.04,2.35,1.24,2.28
LA Galaxy,25,27.2,45.3,22,242,1980,22.0,26,17,43,23,3,4,42,4,28.6,25.4,20.7,46.1,342,812,1.18,0.77,1.95,1.05,1.82,1.3,0.94,2.24,1.16,2.1
LAFC,28,24.8,57.6,22,242,1980,22.0,45,32,77,43,2,2,36,1,43.3,41.7,32.7,74.5,469,1238,2.05,1.45,3.5,1.95,3.41,1.97,1.49,3.46,1.9,3.39
