rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Brenden Aaronson,us USA,MF,Philadelphia Union,19,2000,21.2,4,36,16,44.4,1.70,0.76,0.11,0.25,15.7,0,0,0,4.6,4.6,0.13,-0.6,-0.6,Matches
2,Saad Abdul-Salaam,us USA,DF,FC Cincinnati,28,1991,4.7,0,2,0,0.0,0.42,0.00,0.00,,19.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
3,Mohammed Abu,gh GHA,MF,D.C. United,28,1991,3.7,0,1,0,0.0,0.27,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
4,Lalas Abubakar,gh GHA,DF,Colorado Rapids,25,1994,16.8,1,4,1,25.0,0.24,0.06,0.25,1.00,9.7,0,0,0,0.7,0.7,0.19,+0.3,+0.3,Matches
5,David Accam,gh GHA,"FW,MF",Nashville SC,29,1990,2.3,1,6,3,50.0,2.61,1.30,0.17,0.33,23.0,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
6,Nicolás Acevedo,uy URU,MF,NYCFC,20,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Ifunanyachi Achara,us USA,MF,Toronto FC,22,1997,1.0,1,2,2,100.0,2.02,2.02,0.50,0.50,13.2,0,0,0,0.9,0.9,0.45,+0.1,+0.1,Matches
8,Bryan Acosta,hn HON,MF,FC Dallas,26,1993,8.4,0,17,8,47.1,2.03,0.96,0.00,0.00,23.3,1,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
9,Kellyn Acosta,us USA,MF,Colorado Rapids,24,1995,12.7,2,27,11,40.7,2.12,0.86,0.07,0.18,21.1,0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
10,Mo Adams,eng ENG,MF,Atlanta Utd,23,1996,8.7,0,1,0,0.0,0.12,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Fanendo Adi,ng NGA,FW,Columbus Crew,29,1990,2.0,0,5,1,20.0,2.49,0.50,0.00,0.00,12.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
