round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Regular Season,,Sat,2020-02-29,13:00 (19:00),D.C. United,1.6,1–2,1.9,Colorado Rapids,16932,Audi Field,Nima Saghafi,Match Report,
Regular Season,,Sat,2020-02-29,14:30 (21:30),Houston Dynamo,0.7,1–1,0.8,LA Galaxy,22039,BBVA Stadium,Jair Marrufo,Match Report,
Regular Season,,Sat,2020-02-29,14:30 (23:30),SJ Earthquakes,0.7,2–2,1.7,Toronto FC,18000,Earthquakes Stadium,Armando Villarreal,Match Report,
Regular Season,,Sat,2020-02-29,15:00 (21:00),Montreal Impact,1.6,2–1,1.6,NE Revolution,21006,Stade Olympique,Chris Penso,Match Report,
Regular Season,,Sat,2020-02-29,17:00 (00:00),FC Dallas,0.9,2–0,0.7,Philadelphia Union,16219,Toyota Stadium,Robert Sibiga,Match Report,
Regular Season,,Sat,2020-02-29,18:00 (00:00),Orlando City,0.9,0–0,0.2,Real Salt Lake,25527,Exploria Stadium,Rubiel Vazquez,Match Report,
Regular Season,,Sun,2020-03-01,12:00 (21:00),Seattle Sounders,3.8,2–1,0.5,Chicago Fire,40126,Lumen Field,Alex Chilowicz,Match Report,
Regular Season,,Sun,2020-03-01,12:30 (18:30),Columbus Crew,1.7,1–0,0.3,NYCFC,17473,MAPFRE Stadium,Ramy Touchan,Match Report,
Regular Season,,Sun,2020-03-01,13:00 (19:00),NY Red Bulls,2.4,3–2,2.1,FC Cincinnati,15703,Red Bull Arena,Dave Gantar,Match Report,
Regular Season,,Sun,2020-03-01,14:30 (23:30),LAFC,2.5,1–0,1.7,Inter Miami,22121,Banc of California Stadium,Allen Chapman,Match Report,
Regular Season,,Sat,2020-02-29,19:00 (02:00),Nashville SC,0.9,1–2,0.3,Atlanta Utd,59069,Nissan Stadium,Drew Fischer,Match Report,
Regular Season,,Sat,2020-02-29,19:30 (04:30),Vancouver W'caps,2.2,1–3,0.5,Sporting KC,22120,BC Place Stadium,Ted Unkel,Match Report,
Regular Season,,Sun,2020-03-01,16:30 (01:30),Portland Timbers,2.0,1–3,2.5,Minnesota Utd,25218,Providence Park,Ismail Elfath,Match Report,
Regular Season,,Sat,2020-03-07,12:00 (20:00),Real Salt Lake,3.5,1–1,0.2,NY Red Bulls,18093,Rio Tinto Stadium,Rosendo Mendoza,Match Report,
Regular Season,,Sat,2020-03-07,13:30 (19:30),NE Revolution,3.1,1–1,1.1,Chicago Fire,15289,Gillette Stadium,Fotis Bazakos,Match Report,
Regular Season,,Sat,2020-03-07,14:00 (21:00),FC Dallas,2.5,2–2,1.5,Montreal Impact,15865,Toyota Stadium,Victor Rivas,Match Report,
Regular Season,,Sat,2020-03-07,15:30 (21:30),D.C. United,1.3,2–1,1.6,Inter Miami,17183,Audi Field,Rubiel Vazquez,Match Report,
Regular Season,,Sat,2020-03-07,17:00 (23:00),Toronto FC,2.4,1–0,0.7,NYCFC,26171,BMO Field,Ted Unkel,Match Report,
