rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Saminu Abdullahi,ng NGA,MF,FC Juárez,23,2001,0.5,23,3,6,9,9,0,23,0,0,,0,,15,109,58,1,1,0,1,1,16,4,Matches
2,José Abella,mx MEX,DF,Santos,30,1994,16.8,1053,62,306,513,246,16,1053,9,5,55.6,4,44.4,465,1708,763,9,10,1,15,4,565,55,Matches
3,José Abella,mx MEX,DF,FC Juárez,30,1994,11.3,674,34,240,336,101,6,674,2,2,100.0,0,0.0,280,954,449,5,8,0,9,4,346,10,Matches
4,Diego Abitia,mx MEX,FW,Atlético,21,2003,3.6,100,3,7,46,48,13,100,2,1,50.0,1,50.0,67,511,152,7,4,3,13,7,77,15,Matches
5,Carlos Acevedo,mx MEX,GK,Santos,28,1996,33.0,1238,1072,1231,7,1,1,1238,1,1,100.0,0,0.0,625,3197,2087,0,0,0,1,0,466,0,Matches
6,Alonso Aceves,mx MEX,DF,Pachuca,23,2001,14.8,928,79,460,387,88,12,928,6,2,33.3,4,66.7,515,2815,1554,11,10,2,8,0,549,22,Matches
7,Gilberto Adame,mx MEX,"DF,MF",Mazatlán,19,2004,4.6,214,14,60,64,91,8,214,11,5,45.5,6,54.5,111,739,351,17,8,3,17,7,124,33,Matches
8,Sergio Aguayo,us USA,FW,Pachuca,21,2002,1.8,65,2,5,25,37,11,65,3,0,0.0,3,100.0,38,183,60,2,1,0,6,4,52,10,Matches
9,Eduardo Águila,mx MEX,DF,Atlético,22,2002,30.0,1857,285,1106,724,37,22,1857,11,10,90.9,1,9.1,1028,4764,2240,14,7,3,15,10,1254,2,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,25,1998,24.4,717,23,56,293,375,80,717,29,9,31.0,20,69.0,411,1884,626,19,24,3,73,54,523,113,Matches
11,Érick Aguirre,mx MEX,DF,Monterrey,27,1997,10.4,749,29,174,357,220,12,749,12,8,66.7,4,33.3,387,1691,769,21,13,7,10,3,453,67,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,28,1996,11.7,722,94,354,303,69,10,722,4,1,25.0,3,75.0,311,1473,735,6,3,0,8,1,356,8,Matches
13,Rodrigo Aguirre,uy URU,"FW,MF",América,29,1994,9.8,338,9,33,146,164,50,338,25,10,40.0,14,56.0,192,1136,440,15,7,8,40,20,229,51,Matches
