squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,40,26.8,56.6,34,374,3060,34.0,60,48,108,58,2,2,49,3,57.2,55.7,44.9,100.6,714,1424,1.76,1.41,3.18,1.71,3.12,1.68,1.32,3.01,1.64,2.96
Atlas,31,28.1,46.2,34,374,3060,34.0,41,28,69,37,4,5,74,4,37.1,33.2,25.2,58.3,361,1000,1.21,0.82,2.03,1.09,1.91,1.09,0.74,1.83,0.98,1.72
Atlético,33,26.5,52.8,34,374,3060,34.0,46,29,75,41,5,6,50,1,37.2,32.5,25.5,58.0,522,1285,1.35,0.85,2.21,1.21,2.06,1.09,0.75,1.84,0.96,1.71
Cruz Azul,33,27.1,57.1,34,374,3060,34.0,65,47,112,59,6,8,76,3,54.9,48.8,37.8,86.6,530,1537,1.91,1.38,3.29,1.74,3.12,1.61,1.11,2.73,1.43,2.55
FC Juárez,36,26.1,46.9,34,374,3060,34.0,38,27,65,36,2,3,85,3,34.1,31.8,24.5,56.3,511,1132,1.12,0.79,1.91,1.06,1.85,1.0,0.72,1.72,0.93,1.65
Guadalajara,38,25.5,51.7,34,374,3060,34.0,40,30,70,37,3,4,75,6,41.4,38.2,31.4,69.6,581,1284,1.18,0.88,2.06,1.09,1.97,1.22,0.92,2.14,1.12,2.05
León,36,28.5,49.2,34,374,3060,34.0,45,33,78,42,3,6,77,8,39.6,34.9,29.4,64.3,479,1111,1.32,0.97,2.29,1.24,2.21,1.17,0.86,2.03,1.03,1.89
Mazatlán,35,27.4,47.4,34,374,3060,34.0,25,13,38,23,2,3,96,3,36.4,33.9,28.1,62.0,562,1201,0.74,0.38,1.12,0.68,1.06,1.07,0.83,1.9,1.0,1.82
Monterrey,34,28.7,55.6,34,374,3060,34.0,58,36,94,50,8,9,65,6,53.2,46.2,36.5,82.7,571,1645,1.71,1.06,2.76,1.47,2.53,1.57,1.07,2.64,1.36,2.43
Necaxa,33,26.0,43.9,34,374,3060,34.0,56,34,90,52,4,4,61,2,45.1,42.0,30.4,72.5,490,1139,1.65,1.0,2.65,1.53,2.53,1.33,0.9,2.22,1.24,2.13
Pachuca,38,25.6,50.8,34,374,3060,34.0,46,36,82,45,1,2,83,11,44.0,42.5,33.5,76.0,721,1449,1.35,1.06,2.41,1.32,2.38,1.3,0.99,2.28,1.25,2.24
Puebla,37,27.7,39.2,34,374,3060,34.0,29,12,41,24,5,6,78,6,32.9,28.3,21.0,49.3,411,900,0.85,0.35,1.21,0.71,1.06,0.97,0.62,1.58,0.83,1.45
Querétaro,41,29.1,39.7,34,374,3060,34.0,30,22,52,29,1,2,80,9,26.7,25.1,19.1,44.2,397,907,0.88,0.65,1.53,0.85,1.5,0.79,0.56,1.35,0.74,1.3
Santos,40,25.4,47.9,34,374,3060,34.0,27,18,45,24,3,3,81,6,35.2,32.8,24.4,57.2,441,1000,0.79,0.53,1.32,0.71,1.24,1.03,0.72,1.75,0.97,1.68
Tijuana,35,26.6,58.2,34,374,3060,34.0,53,35,88,46,7,7,67,2,44.7,39.2,31.4,70.7,531,1397,1.56,1.03,2.59,1.35,2.38,1.31,0.92,2.24,1.15,2.08
Toluca,32,27.3,53.7,34,374,3060,34.0,75,56,131,73,2,3,67,2,53.7,51.4,40.7,92.1,615,1351,2.21,1.65,3.85,2.15,3.79,1.58,1.2,2.78,1.51,2.71
UANL,31,29.4,53.6,34,374,3060,34.0,46,33,79,41,5,6,64,6,48.9,44.2,34.8,78.9,587,1560,1.35,0.97,2.32,1.21,2.18,1.44,1.02,2.46,1.3,2.32
UNAM,32,25.9,49.6,34,374,3060,34.0,43,28,71,37,6,8,76,1,45.7,39.4,30.4,69.9,528,1319,1.26,0.82,2.09,1.09,1.91,1.34,0.9,2.24,1.16,2.06
