rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Cruz Azul,34,22,9,3,65,28,37,75,2.21,54.9,30.8,24.1,0.71,23140,Ángel Sepúlveda - 13,Kevin Mier,
2,Toluca,34,21,9,4,79,38,41,72,2.12,53.7,37.2,16.5,0.49,26213,Paulinho - 25,Tiago Volpi,
3,UANL,34,20,7,7,49,29,20,67,1.97,48.9,35.5,13.3,0.39,38657,Juan Brunetta - 10,Nahuel Guzmán,
4,América,34,18,7,9,61,31,30,61,1.79,57.2,27.9,29.3,0.86,25287,Henry Martín - 9,Luis Ángel Malagón,
5,Monterrey,34,17,8,9,58,42,16,59,1.74,53.2,39.4,13.9,0.41,44134,Sergio Canales - 14,Esteban Andrada,
6,UNAM,34,15,7,12,44,39,5,52,1.53,45.7,32.8,12.9,0.38,21124,Guillermo Martínez Ayala - 8,Julio José González,
7,León,34,12,12,10,45,44,1,48,1.41,39.6,44.7,-5.0,-0.15,21061,Jhonder Cádiz - 12,Alfonso Blanco Antúnez,
8,Atlético,34,15,3,16,47,52,-5,48,1.41,37.2,47.6,-10.5,-0.31,22688,Sebastien Salles-Lamonge - 11,Andrés Sánchez,
9,Tijuana,34,14,6,14,53,60,-7,48,1.41,44.7,57.6,-12.9,-0.38,20563,José Zúñiga - 16,José Antonio Rodríguez,
10,Guadalajara,34,12,10,12,42,36,6,46,1.35,41.4,33.9,7.4,0.22,34624,Roberto Alvarado - 9,José Rangel Aguilar,
11,Necaxa,34,13,7,14,56,55,1,46,1.35,45.1,48.3,-3.1,-0.09,17252,Diber Cambindo - 16,Ezequiel Unsain,
12,Pachuca,34,11,8,15,49,52,-3,41,1.21,44.0,35.5,8.6,0.25,13492,Salomón Rondón - 14,Carlos Moreno,
13,FC Juárez,34,11,8,15,38,57,-19,41,1.21,34.1,51.9,-17.8,-0.52,9502,Oscar Estupiñan - 9,Sebastián Jurado,
14,Atlas,34,9,13,12,42,55,-13,40,1.18,37.1,38.5,-1.4,-0.04,30444,Uroš Đurđević - 12,Camilo Vargas,
15,Querétaro,34,9,5,20,30,55,-25,32,0.94,26.7,53.0,-26.3,-0.77,14240,Pablo Barrera - 5,Guillermo Allison,
16,Mazatlán,34,6,13,15,26,45,-19,31,0.91,36.4,44.2,-7.8,-0.23,9539,Nicolás Benedetti - 4,Hugo González Durán,
17,Puebla,34,6,5,23,29,56,-27,23,0.68,32.9,47.0,-14.1,-0.42,15439,Emiliano Gómez - 5,Miguel Jiménez Ponce,
18,Santos,34,4,5,25,27,66,-39,17,0.5,35.2,62.3,-27.1,-0.8,11605,Bruno Barticciotto - 6,Carlos Acevedo,
